WN18RR, _synset_domain_topic_of_WN18_generic_PPO_simple_embedding_100
([('03464757', 'NO_OP', '03464757'), ('03464757', '_hypernym', '03504420'), ('03504420', '_synset_domain_topic_of', '08199025')], '08199025')
([('01199365', '_hypernym', '01195867'), ('01195867', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06558277')], '08441203')
([('01164081', '_hypernym', '01163620'), ('01163620', '_synset_domain_topic_of', '00922327'), ('00922327', '¬_derivationally_related_form', '01310660')], '00922327')
([('01741446', '_derivationally_related_form', '03146846'), ('03146846', '¬_derivationally_related_form', '01740608'), ('01740608', '_synset_domain_topic_of', '00916464')], '00916464')
([('09894143', '¬_member_meronym', '08085824'), ('08085824', '_synset_domain_topic_of', '08083599'), ('08083599', '¬_synset_domain_topic_of', '06628450')], '08083599')
([('01942347', '_derivationally_related_form', '00303495'), ('00303495', '_hypernym', '00302394'), ('00302394', '_hypernym', '00300441')], '00300441')
([('06667792', '¬_hypernym', '06539178'), ('06539178', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '00232863')], '08441203')
([('03324928', 'NO_OP', '03324928'), ('03324928', '_hypernym', '03763968'), ('03763968', '_synset_domain_topic_of', '08199025')], '08199025')
([('04566561', '_hypernym', '04170037'), ('04170037', '¬_hypernym', '04062807'), ('04062807', '_synset_domain_topic_of', '08199025')], '08199025')
([('01191975', '_hypernym', '01187810'), ('01187810', '¬_hypernym', '01188783'), ('01188783', '_synset_domain_topic_of', '08441203')], '08441203')
([('09937250', '_hypernym', '09943239'), ('09943239', '¬_hypernym', '10283170'), ('10283170', '_synset_domain_topic_of', '08199025')], '08199025')
([('00082714', 'NO_OP', '00082714'), ('00082714', '¬_hypernym', '00083124'), ('00083124', '_synset_domain_topic_of', '00612160')], '00612160')
([('06533039', '_hypernym', '06532330'), ('06532330', '¬_has_part', '08441203'), ('08441203', '¬_synset_domain_topic_of', '10087736')], '08441203')
([('15264363', '_hypernym', '15122011'), ('15122011', '_synset_domain_topic_of', '07020895'), ('07020895', '¬_synset_domain_topic_of', '06857726')], '07020895')
([('10329789', '_hypernym', '10470779'), ('10470779', '¬_hypernym', '10024621'), ('10024621', '_synset_domain_topic_of', '08083599')], '08083599')
([('10205457', '¬_hypernym', '09901143'), ('09901143', '_synset_domain_topic_of', '00471613'), ('00471613', '¬_hypernym', '00475787')], '00471613')
([('06551784', '¬_hypernym', '06552320'), ('06552320', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06532330')], '08441203')
([('06105314', '_hypernym', '06104073'), ('06104073', '_synset_domain_topic_of', '06090869'), ('06090869', '¬_synset_domain_topic_of', '13465530')], '06090869')
([('09251407', '_has_part', '09375223'), ('09375223', 'NO_OP', '09375223'), ('09375223', '_synset_domain_topic_of', '06095022')], '06095022')
([('09544876', 'NO_OP', '09544876'), ('09544876', '_hypernym', '09544433'), ('09544433', '_synset_domain_topic_of', '06234825')], '06234825')
([('15264363', '_hypernym', '15122011'), ('15122011', '_synset_domain_topic_of', '07020895'), ('07020895', '¬_synset_domain_topic_of', '10339966')], '07020895')
([('00968155', '¬_hypernym', '00968479'), ('00968479', 'NO_OP', '00968479'), ('00968479', '_synset_domain_topic_of', '08199025')], '08199025')
([('00575169', '¬_verb_group', '00574996'), ('00574996', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '14682133')], '06084469')
([('06805128', '¬_hypernym', '06805497'), ('06805497', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '10208950')], '08199025')
([('01164081', '_hypernym', '01163620'), ('01163620', '_synset_domain_topic_of', '00922327'), ('00922327', 'NO_OP', '00922327')], '00922327')
([('09809538', '¬_hypernym', '10551576'), ('10551576', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '07340249')], '08199025')
([('00446885', 'NO_OP', '00446885'), ('00446885', '¬_derivationally_related_form', '01928608'), ('01928608', '_synset_domain_topic_of', '06084469')], '06084469')
([('01164081', 'NO_OP', '01164081'), ('01164081', '_hypernym', '01163620'), ('01163620', '_synset_domain_topic_of', '00922327')], '00922327')
([('05957428', '_hypernym', '05956651'), ('05956651', '¬_hypernym', '05957238'), ('05957238', '_synset_domain_topic_of', '08441203')], '08441203')
([('10317007', '¬_hypernym', '09917214'), ('09917214', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '02749479')], '08199025')
([('10225787', '_hypernym', '10644839'), ('10644839', 'NO_OP', '10644839'), ('10644839', '_synset_domain_topic_of', '08199025')], '08199025')
([('04567222', 'NO_OP', '04567222'), ('04567222', '_has_part', '08589351'), ('08589351', '_synset_domain_topic_of', '06118563')], '06118563')
([('01698271', '¬_hypernym', '01701152'), ('01701152', '_hypernym', '01698271'), ('01698271', '¬_derivationally_related_form', '00929718')], '00929718')
([('13838386', '¬_hypernym', '13839662'), ('13839662', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06736405')], '08441203')
([('05176846', '¬_hypernym', '05182563'), ('05182563', 'NO_OP', '05182563'), ('05182563', '_synset_domain_topic_of', '08441203')], '08441203')
([('00620554', '_derivationally_related_form', '02838592'), ('02838592', '¬_derivationally_related_form', '00903559'), ('00903559', '¬_hypernym', '00904428')], '00903559')
([('01183497', '_hypernym', '01182654'), ('01182654', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '02789770')], '08441203')
([('03478589', '_hypernym', '04464852'), ('04464852', '¬_hypernym', '04389033'), ('04389033', '_synset_domain_topic_of', '08199025')], '08199025')
([('06356515', '¬_hypernym', '06356299'), ('06356299', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '00343600')], '06128570')
([('08026904', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08012384'), ('08012384', '_synset_domain_topic_of', '00759694')], '00759694')
([('07300092', '_hypernym', '07299569'), ('07299569', 'NO_OP', '07299569'), ('07299569', '_synset_domain_topic_of', '06128570')], '06128570')
([('01815471', '¬_derivationally_related_form', '00253395'), ('00253395', '_synset_domain_topic_of', '00704305'), ('00704305', '¬_synset_domain_topic_of', '05613625')], '00704305')
([('08397856', '_hypernym', '08397255'), ('08397255', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '07339653')], '08199025')
([('01940248', '_hypernym', '01938426'), ('01938426', '_derivationally_related_form', '00440747'), ('00440747', '_hypernym', '00523513')], '00523513')
([('03209666', '_hypernym', '03243218'), ('03243218', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '07299569')], '06128570')
([('08331525', 'NO_OP', '08331525'), ('08331525', '¬_hypernym', '08331357'), ('08331357', '_synset_domain_topic_of', '08199025')], '08199025')
([('01936753', '¬_hypernym', '01937795'), ('01937795', '_synset_domain_topic_of', '00523513'), ('00523513', '¬_hypernym', '00433661')], '00523513')
([('01249315', '_derivationally_related_form', '00905677'), ('00905677', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06554981')], '08441203')
([('05126849', '_hypernym', '04987620'), ('04987620', '_derivationally_related_form', '02437148'), ('02437148', '_synset_domain_topic_of', '07020895')], '07020895')
([('10227985', '_derivationally_related_form', '08441203'), ('08441203', '¬_synset_domain_topic_of', '13963970'), ('13963970', '¬_hypernym', '13965049')], '08441203')
([('01068012', '¬_derivationally_related_form', '02466496'), ('02466496', '_synset_domain_topic_of', '01125693'), ('01125693', '_synset_domain_topic_of', '08441203')], '08441203')
([('00969506', '_derivationally_related_form', '06277280'), ('06277280', '_has_part', '06278136'), ('06278136', '¬_derivationally_related_form', '02176268')], '06277280')
([('00915722', '¬_derivationally_related_form', '01741446'), ('01741446', '¬_hypernym', '01741692'), ('01741692', '_synset_domain_topic_of', '00916464')], '00916464')
([('10249950', '_derivationally_related_form', '00611143'), ('00611143', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '01187810')], '08441203')
([('10022111', '¬_instance_hypernym', '10827155'), ('10827155', '_synset_domain_topic_of', '08083599'), ('08083599', '¬_synset_domain_topic_of', '09857200')], '08083599')
([('06574473', 'NO_OP', '06574473'), ('06574473', '_hypernym', '06581410'), ('06581410', '_synset_domain_topic_of', '06128570')], '06128570')
([('02326795', '_hypernym', '02326355'), ('02326355', '_synset_domain_topic_of', '01090446'), ('01090446', '¬_synset_domain_topic_of', '15299585')], '01090446')
([('00567685', '_synset_domain_topic_of', '00479887'), ('00479887', '¬_synset_domain_topic_of', '00565809'), ('00565809', '_synset_domain_topic_of', '00482298')], '00482298')
([('01957529', '¬_hypernym', '01960296'), ('01960296', '_synset_domain_topic_of', '00299217'), ('00299217', '¬_synset_domain_topic_of', '01960296')], '00299217')
([('15146545', '_hypernym', '15290337'), ('15290337', '¬_hypernym', '15146260'), ('15146260', '_synset_domain_topic_of', '00704305')], '00704305')
([('07999699', '¬_hypernym', '08000304'), ('08000304', 'NO_OP', '08000304'), ('08000304', '_synset_domain_topic_of', '06000644')], '06000644')
([('07426406', '_hypernym', '07425011'), ('07425011', '_synset_domain_topic_of', '06075527'), ('06075527', '¬_synset_domain_topic_of', '00850425')], '06075527')
([('00634286', '¬_derivationally_related_form', '06168855'), ('06168855', 'NO_OP', '06168855'), ('06168855', '_hypernym', '06172789')], '06172789')
([('09590495', 'NO_OP', '09590495'), ('09590495', '_synset_domain_topic_of', '07983856'), ('07983856', '_hypernym', '07978423')], '07978423')
([('04031884', '¬_derivationally_related_form', '02653159'), ('02653159', '¬_derivationally_related_form', '02944826'), ('02944826', '_synset_domain_topic_of', '08199025')], '08199025')
([('06027051', '_hypernym', '06026635'), ('06026635', '_synset_domain_topic_of', '06018465'), ('06018465', '¬_synset_domain_topic_of', '06026088')], '06018465')
([('08028397', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08026539'), ('08026539', '_synset_domain_topic_of', '00759694')], '00759694')
([('01096245', '_hypernym', '01095753'), ('01095753', 'NO_OP', '01095753'), ('01095753', '¬_has_part', '01094725')], '01094725')
([('04058239', '¬_hypernym', '03294604'), ('03294604', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '04932278')], '06128570')
([('13291614', '_hypernym', '13290676'), ('13290676', '¬_hypernym', '13291356'), ('13291356', '_synset_domain_topic_of', '08441203')], '08441203')
([('01684899', '¬_hypernym', '01681048'), ('01681048', 'NO_OP', '01681048'), ('01681048', '_synset_domain_topic_of', '00933420')], '00933420')
([('09893191', '_derivationally_related_form', '00589769'), ('00589769', '¬_derivationally_related_form', '09892831'), ('09892831', '_synset_domain_topic_of', '08199025')], '08199025')
([('05039106', '¬_hypernym', '05039709'), ('05039709', '_derivationally_related_form', '00025728'), ('00025728', '_synset_domain_topic_of', '06084469')], '06084469')
([('01027662', '¬_member_of_domain_region', '08806897'), ('08806897', '_member_of_domain_region', '10479135'), ('10479135', '_synset_domain_topic_of', '15253139')], '15253139')
([('01707306', '¬_hypernym', '01707128'), ('01707128', '_synset_domain_topic_of', '05718556'), ('05718556', 'NO_OP', '05718556')], '05718556')
([('13501059', '_hypernym', '13459322'), ('13459322', '¬_hypernym', '13461951'), ('13461951', '_synset_domain_topic_of', '06055946')], '06055946')
([('00790135', '_hypernym', '00789448'), ('00789448', '¬_derivationally_related_form', '06272290'), ('06272290', '¬_synset_domain_topic_of', '00790135')], '06272290')
([('01742726', '_derivationally_related_form', '00915722'), ('00915722', '¬_hypernym', '00916464'), ('00916464', '¬_hypernym', '00917614')], '00916464')
([('00083809', '_hypernym', '00078760'), ('00078760', '¬_hypernym', '00086077'), ('00086077', '_synset_domain_topic_of', '00612160')], '00612160')
([('01655763', '_hypernym', '01654628'), ('01654628', '¬_derivationally_related_form', '00911048'), ('00911048', '¬_hypernym', '00912822')], '00911048')
([('08021464', '¬_member_of_domain_region', '08957381'), ('08957381', '_member_of_domain_region', '08037503'), ('08037503', '_synset_domain_topic_of', '00759694')], '00759694')
([('08594286', '¬_hypernym', '08594714'), ('08594714', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '10259527')], '08199025')
([('10347593', '_hypernym', '10317007'), ('10317007', '¬_hypernym', '10069869'), ('10069869', '_synset_domain_topic_of', '08199025')], '08199025')
([('08389710', 'NO_OP', '08389710'), ('08389710', '¬_hypernym', '08390012'), ('08390012', '_synset_domain_topic_of', '08199025')], '08199025')
([('01174555', '_derivationally_related_form', '02399000'), ('02399000', '_has_part', '02399648'), ('02399648', '¬_has_part', '02399000')], '02399000')
([('08191701', '_hypernym', '08198137'), ('08198137', '¬_hypernym', '08196024'), ('08196024', '_synset_domain_topic_of', '08199025')], '08199025')
([('08085648', '¬_has_part', '08083599'), ('08083599', '¬_synset_domain_topic_of', '10815648'), ('10815648', '_instance_hypernym', '10022111')], '08083599')
([('01174555', '¬_derivationally_related_form', '02399000'), ('02399000', '_has_part', '02399424'), ('02399424', '_hypernym', '05395690')], '02399000')
([('08040257', '¬_has_part', '08022259'), ('08022259', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08033829')], '00759694')
([('06027264', '_hypernym', '06020737'), ('06020737', 'NO_OP', '06020737'), ('06020737', '_synset_domain_topic_of', '06018465')], '06018465')
([('00302130', '_verb_group', '00301856'), ('00301856', '_synset_domain_topic_of', '00015388'), ('00015388', '¬_synset_domain_topic_of', '05551318')], '00015388')
([('06481156', '_hypernym', '06479665'), ('06479665', '¬_hypernym', '06551627'), ('06551627', '_synset_domain_topic_of', '08441203')], '08441203')
([('09830194', '¬_hypernym', '10498816'), ('10498816', '_synset_domain_topic_of', '00468480'), ('00468480', '¬_hypernym', '00478262')], '00468480')
([('08589351', '¬_has_part', '04567222'), ('04567222', '_synset_domain_topic_of', '06118563'), ('06118563', '¬_synset_domain_topic_of', '11524662')], '06118563')
([('01684663', '¬_derivationally_related_form', '00936620'), ('00936620', '_hypernym', '00933420'), ('00933420', 'NO_OP', '00933420')], '00933420')
([('01665507', '_hypernym', '01664172'), ('01664172', '¬_hypernym', '01665836'), ('01665836', '_synset_domain_topic_of', '00243918')], '00243918')
([('07046543', 'NO_OP', '07046543'), ('07046543', '_hypernym', '07037465'), ('07037465', '_hypernym', '07020895')], '07020895')
([('06544432', 'NO_OP', '06544432'), ('06544432', '¬_derivationally_related_form', '02465297'), ('02465297', '_synset_domain_topic_of', '08441203')], '08441203')
([('01183638', 'NO_OP', '01183638'), ('01183638', '_hypernym', '01182654'), ('01182654', '_synset_domain_topic_of', '08441203')], '08441203')
([('11529603', '_member_meronym', '00017222'), ('00017222', '_synset_domain_topic_of', '06066555'), ('06066555', '¬_synset_domain_topic_of', '02937720')], '06066555')
([('00108181', '_hypernym', '00106272'), ('00106272', '_synset_domain_topic_of', '00471613'), ('00471613', '¬_synset_domain_topic_of', '00471437')], '00471613')
([('13291831', '_hypernym', '13290676'), ('13290676', '¬_hypernym', '13291356'), ('13291356', '_synset_domain_topic_of', '08441203')], '08441203')
([('01003885', '_hypernym', '01003249'), ('01003249', '¬_derivationally_related_form', '03925226'), ('03925226', '_derivationally_related_form', '00903559')], '00903559')
([('00567418', '_synset_domain_topic_of', '00479887'), ('00479887', '¬_synset_domain_topic_of', '00565809'), ('00565809', '_synset_domain_topic_of', '00480508')], '00480508')
([('00209598', 'NO_OP', '00209598'), ('00209598', '¬_derivationally_related_form', '13467700'), ('13467700', '_synset_domain_topic_of', '06084469')], '06084469')
([('08014615', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08018983'), ('08018983', '_synset_domain_topic_of', '00759694')], '00759694')
([('05994935', '¬_has_part', '06149484'), ('06149484', '¬_synset_domain_topic_of', '00913705'), ('00913705', '¬_hypernym', '00915722')], '06149484')
([('02260362', '¬_derivationally_related_form', '01091905'), ('01091905', '_hypernym', '01090446'), ('01090446', '¬_synset_domain_topic_of', '02244956')], '01090446')
([('00301856', '¬_verb_group', '00302130'), ('00302130', '_synset_domain_topic_of', '00015388'), ('00015388', '¬_synset_domain_topic_of', '01576478')], '00015388')
([('00399074', '_verb_group', '00399368'), ('00399368', '_synset_domain_topic_of', '06090869'), ('06090869', '¬_synset_domain_topic_of', '00638194')], '06090869')
([('00128638', '¬_hypernym', '00128976'), ('00128976', '_synset_domain_topic_of', '00471613'), ('00471613', '¬_synset_domain_topic_of', '00106272')], '00471613')
([('01707128', '_hypernym', '01707306'), ('01707306', 'NO_OP', '01707306'), ('01707306', '_synset_domain_topic_of', '05718556')], '05718556')
([('04050600', '_hypernym', '03243218'), ('03243218', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '06575227')], '06128570')
([('14553590', '_hypernym', '14096724'), ('14096724', '_synset_domain_topic_of', '06054446'), ('06054446', '¬_synset_domain_topic_of', '14553290')], '06054446')
([('01085337', '¬_has_part', '00488225'), ('00488225', '_has_part', '00803394'), ('00803394', '_derivationally_related_form', '00246217')], '00488225')
([('01546349', '¬_derivationally_related_form', '14570330'), ('14570330', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '00237877')], '06084469')
([('08454818', '_hypernym', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06536227'), ('06536227', 'NO_OP', '06536227')], '08441203')
([('01007222', '¬_derivationally_related_form', '04400499'), ('04400499', '_derivationally_related_form', '10697519'), ('10697519', '_derivationally_related_form', '06274921')], '06274921')
([('01815471', 'NO_OP', '01815471'), ('01815471', '_derivationally_related_form', '00253395'), ('00253395', '_synset_domain_topic_of', '00704305')], '00704305')
([('13607187', 'NO_OP', '13607187'), ('13607187', '¬_has_part', '13607405'), ('13607405', '_synset_domain_topic_of', '06128570')], '06128570')
([('02949511', '_derivationally_related_form', '06117855'), ('06117855', '_hypernym', '06117562'), ('06117562', '_hypernym', '06115701')], '06115701')
([('02789770', '¬_has_part', '03120778'), ('03120778', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06500937')], '08441203')
([('03324928', '_hypernym', '03763968'), ('03763968', '¬_hypernym', '03402188'), ('03402188', '_synset_domain_topic_of', '08199025')], '08199025')
([('00483656', '_hypernym', '00482180'), ('00482180', '_synset_domain_topic_of', '05718935'), ('05718935', '¬_synset_domain_topic_of', '00482180')], '05718935')
([('06736405', '_hypernym', '06734467'), ('06734467', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06545528')], '08441203')
([('06104073', '¬_hypernym', '06105314'), ('06105314', '_synset_domain_topic_of', '06090869'), ('06090869', '_derivationally_related_form', '10428004')], '06090869')
([('06559365', '¬_hypernym', '06562993'), ('06562993', 'NO_OP', '06562993'), ('06562993', '_synset_domain_topic_of', '08441203')], '08441203')
([('13472125', '_hypernym', '13458268'), ('13458268', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '13467700')], '06084469')
([('06013741', '¬_hypernym', '06014043'), ('06014043', '_synset_domain_topic_of', '06000644'), ('06000644', '¬_synset_domain_topic_of', '02909168')], '06000644')
([('05862721', 'NO_OP', '05862721'), ('05862721', '_hypernym', '05861855'), ('05861855', '_synset_domain_topic_of', '06000644')], '06000644')
([('06558088', '_hypernym', '06539502'), ('06539502', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06540284')], '08441203')
([('13263779', '_hypernym', '13262913'), ('13262913', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '01258251')], '08441203')
([('00789448', '_derivationally_related_form', '09888017'), ('09888017', '_derivationally_related_form', '00789448'), ('00789448', '_derivationally_related_form', '06272290')], '06272290')
([('13838386', '¬_hypernym', '13839662'), ('13839662', 'NO_OP', '13839662'), ('13839662', '_synset_domain_topic_of', '08441203')], '08441203')
([('00239024', '¬_has_part', '00463543'), ('00463543', '¬_synset_domain_topic_of', '15258281'), ('15258281', '_hypernym', '05867413')], '00463543')
([('08389572', '_hypernym', '08389297'), ('08389297', '_hypernym', '08190754'), ('08190754', '_synset_domain_topic_of', '08199025')], '08199025')
([('14964129', '¬_has_part', '14830364'), ('14830364', '_synset_domain_topic_of', '06079620'), ('06079620', 'NO_OP', '06079620')], '06079620')
([('01472251', 'NO_OP', '01472251'), ('01472251', '_hypernym', '01471825'), ('01471825', '_synset_domain_topic_of', '00766234')], '00766234')
([('02794779', '_hypernym', '03763727'), ('03763727', '¬_hypernym', '04550676'), ('04550676', '_synset_domain_topic_of', '08199025')], '08199025')
([('04987620', '¬_hypernym', '05126849'), ('05126849', '_synset_domain_topic_of', '07020895'), ('07020895', '¬_derivationally_related_form', '10340312')], '07020895')
([('08191701', '_hypernym', '08198137'), ('08198137', '¬_hypernym', '08191230'), ('08191230', '_synset_domain_topic_of', '08199025')], '08199025')
([('09913824', '_derivationally_related_form', '06084469'), ('06084469', '¬_derivationally_related_form', '09913824'), ('09913824', '_hypernym', '10560637')], '06084469')
([('03324928', '_hypernym', '03763968'), ('03763968', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '15173353')], '08199025')
([('10069869', 'NO_OP', '10069869'), ('10069869', '_hypernym', '10317007'), ('10317007', '_synset_domain_topic_of', '08199025')], '08199025')
([('09943541', '¬_hypernym', '10259997'), ('10259997', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '10314703')], '08199025')
([('02789770', '¬_has_part', '03120778'), ('03120778', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '07194950')], '08441203')
([('09572825', '_instance_hypernym', '09551356'), ('09551356', '¬_instance_hypernym', '09572425'), ('09572425', '_synset_domain_topic_of', '07979425')], '07979425')
([('08197742', '_hypernym', '08198398'), ('08198398', '¬_hypernym', '07986381'), ('07986381', '_synset_domain_topic_of', '08199025')], '08199025')
([('00969769', '_hypernym', '00969506'), ('00969506', '_derivationally_related_form', '04404412'), ('04404412', '_synset_domain_topic_of', '06277280')], '06277280')
([('10205457', '¬_hypernym', '10092488'), ('10092488', '_synset_domain_topic_of', '00471613'), ('00471613', '¬_synset_domain_topic_of', '00130093')], '00471613')
([('09886540', 'NO_OP', '09886540'), ('09886540', '¬_hypernym', '10314703'), ('10314703', '_synset_domain_topic_of', '08199025')], '08199025')
([('00130347', '_derivationally_related_form', '01154175'), ('01154175', '_synset_domain_topic_of', '00471613'), ('00471613', '¬_synset_domain_topic_of', '00128477')], '00471613')
([('01740969', '¬_derivationally_related_form', '00918383'), ('00918383', '_derivationally_related_form', '01740969'), ('01740969', 'NO_OP', '01740969')], '00918383')
([('02802544', '_has_part', '08590909'), ('08590909', '_synset_domain_topic_of', '00480993'), ('00480993', 'NO_OP', '00480993')], '00480993')
([('01194331', '_hypernym', '01181475'), ('01181475', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '13952601')], '08441203')
([('08191532', 'NO_OP', '08191532'), ('08191532', '¬_member_meronym', '08191701'), ('08191701', '_synset_domain_topic_of', '08199025')], '08199025')
([('01701152', 'NO_OP', '01701152'), ('01701152', '_hypernym', '01698271'), ('01698271', '_derivationally_related_form', '00929718')], '00929718')
([('08334087', '¬_hypernym', '08334693'), ('08334693', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08390012')], '08199025')
([('04099649', '_hypernym', '02798290'), ('02798290', 'NO_OP', '02798290'), ('02798290', '_synset_domain_topic_of', '08199025')], '08199025')
([('08395298', 'NO_OP', '08395298'), ('08395298', '¬_has_part', '08394922'), ('08394922', '_synset_domain_topic_of', '08199025')], '08199025')
([('06736529', '_hypernym', '06479665'), ('06479665', '¬_hypernym', '06543781'), ('06543781', '_synset_domain_topic_of', '08441203')], '08441203')
([('06804847', '_hypernym', '06804199'), ('06804199', '¬_hypernym', '06805497'), ('06805497', '_synset_domain_topic_of', '08199025')], '08199025')
([('00560293', 'NO_OP', '00560293'), ('00560293', '_hypernym', '00558883'), ('00558883', '_synset_domain_topic_of', '00469651')], '00469651')
([('03511786', '¬_has_part', '03446268'), ('03446268', 'NO_OP', '03446268'), ('03446268', '_synset_domain_topic_of', '00464894')], '00464894')
([('13498404', '¬_hypernym', '13575226'), ('13575226', 'NO_OP', '13575226'), ('13575226', '_synset_domain_topic_of', '06043075')], '06043075')
([('09546453', '_hypernym', '09540430'), ('09540430', '¬_hypernym', '09540739'), ('09540739', '_synset_domain_topic_of', '05985602')], '05985602')
([('06533039', '_hypernym', '06532330'), ('06532330', '¬_hypernym', '06533648'), ('06533648', '_synset_domain_topic_of', '08441203')], '08441203')
([('01665638', '_derivationally_related_form', '00243918'), ('00243918', '¬_synset_domain_topic_of', '01665638'), ('01665638', '¬_derivationally_related_form', '09963320')], '00243918')
([('08132637', '_derivationally_related_form', '02387486'), ('02387486', '¬_derivationally_related_form', '00883297'), ('00883297', '¬_hypernym', '00886807')], '00883297')
([('06547059', '¬_hypernym', '06548498'), ('06548498', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06558277')], '08441203')
([('01166517', '_synset_domain_topic_of', '00479887'), ('00479887', '¬_synset_domain_topic_of', '00568813'), ('00568813', '_synset_domain_topic_of', '00482298')], '00482298')
([('13446390', '¬_hypernym', '13467700'), ('13467700', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '00209598')], '06084469')
([('00086077', '_derivationally_related_form', '00698609'), ('00698609', '_derivationally_related_form', '00084107'), ('00084107', '_synset_domain_topic_of', '00612160')], '00612160')
([('03930087', '_hypernym', '03764276'), ('03764276', '¬_hypernym', '03919096'), ('03919096', '_synset_domain_topic_of', '08199025')], '08199025')
([('06790845', '_hypernym', '06789411'), ('06789411', '¬_hypernym', '06790235'), ('06790235', '_synset_domain_topic_of', '06226057')], '06226057')
([('06545960', '_hypernym', '06545137'), ('06545137', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06546408')], '08441203')
([('06564387', '_has_part', '06394564'), ('06394564', '¬_has_part', '06536853'), ('06536853', '_synset_domain_topic_of', '08441203')], '08441203')
([('01726172', '¬_verb_group', '01725051'), ('01725051', '_synset_domain_topic_of', '07020895'), ('07020895', '¬_hypernym', '07057196')], '07020895')
([('08001685', '_hypernym', '07999699'), ('07999699', '_synset_domain_topic_of', '06000644'), ('06000644', '¬_synset_domain_topic_of', '00575561')], '06000644')
([('00969769', '_hypernym', '00969506'), ('00969506', '¬_derivationally_related_form', '06277280'), ('06277280', '_derivationally_related_form', '00969506')], '06277280')
([('13459322', '¬_hypernym', '13541798'), ('13541798', '_synset_domain_topic_of', '06055946'), ('06055946', '¬_synset_domain_topic_of', '13459322')], '06055946')
([('10386984', '_synset_domain_topic_of', '00475787'), ('00475787', '_hypernym', '00471613'), ('00471613', '¬_synset_domain_topic_of', '00564177')], '00471613')
([('08028397', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08018666'), ('08018666', '_synset_domain_topic_of', '00759694')], '00759694')
([('01062739', '_hypernym', '00790703'), ('00790703', '_derivationally_related_form', '06271778'), ('06271778', '_derivationally_related_form', '00790703')], '06271778')
([('01199035', '_hypernym', '01198750'), ('01198750', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '05956651')], '08441203')
([('05973198', '_hypernym', '06167328'), ('06167328', '¬_hypernym', '05974564'), ('05974564', '_synset_domain_topic_of', '06158346')], '06158346')
([('10301261', '_derivationally_related_form', '06000644'), ('06000644', '¬_synset_domain_topic_of', '13784906'), ('13784906', '_synset_domain_topic_of', '06090869')], '06000644')
