WN18RR, _hypernym_WN18_generic_PPO_simple_embedding_100
([('02851099', '¬_derivationally_related_form', '01130169'), ('01130169', '_derivationally_related_form', '04192858'), ('04192858', '_hypernym', '04014297')], '04014297')
([('09906986', '_derivationally_related_form', '00596692'), ('00596692', '_derivationally_related_form', '09907196'), ('09907196', '_hypernym', '10164747')], '10164747')
([('01421496', '_member_meronym', '01426784'), ('01426784', '_hypernym', '08103777'), ('08103777', '¬_hypernym', '01919504')], '08103777')
([('07012534', '¬_has_part', '07052291'), ('07052291', 'NO_OP', '07052291'), ('07052291', '_hypernym', '06387980')], '06387980')
([('04248851', 'NO_OP', '04248851'), ('04248851', '¬_derivationally_related_form', '01480770'), ('01480770', '_derivationally_related_form', '04474466')], '04474466')
([('07644382', '_has_part', '07648267'), ('07648267', '_has_part', '07650637'), ('07650637', '_hypernym', '07649854')], '07649854')
([('00926472', '¬_derivationally_related_form', '10102506'), ('10102506', '_derivationally_related_form', '00917772'), ('00917772', '_derivationally_related_form', '06749881')], '00917772')
([('11956208', '¬_member_meronym', '11911591'), ('11911591', '_member_meronym', '12026764'), ('12026764', '_hypernym', '11579418')], '11579418')
([('06837679', '¬_member_meronym', '06498569'), ('06498569', '_member_meronym', '06836822'), ('06836822', '_hypernym', '06828818')], '06828818')
([('02306087', '_also_see', '02281093'), ('02281093', '_derivationally_related_form', '00811355'), ('00811355', '_derivationally_related_form', '02282506')], '02281093')
([('02057656', '_derivationally_related_form', '03244388'), ('03244388', '¬_derivationally_related_form', '01930874'), ('01930874', '_verb_group', '02408281')], '01930874')
([('08394922', '_has_part', '02741681'), ('02741681', '_instance_hypernym', '08337324'), ('08337324', '¬_hypernym', '08143321')], '08337324')
([('14857897', 'NO_OP', '14857897'), ('14857897', '_derivationally_related_form', '02223238'), ('02223238', '¬_derivationally_related_form', '14857497')], '14857497')
([('01797180', '¬_member_meronym', '01794813'), ('01794813', '_member_meronym', '01797767'), ('01797767', '_hypernym', '01507175')], '01507175')
([('15226046', '¬_has_part', '15203565'), ('15203565', '_has_part', '15225249'), ('15225249', '¬_hypernym', '15226046')], '15225249')
([('02194495', '_derivationally_related_form', '00882702'), ('00882702', '_derivationally_related_form', '02194286'), ('02194286', '_derivationally_related_form', '00882702')], '02194286')
([('08856945', '¬_has_part', '08853741'), ('08853741', '_has_part', '08856266'), ('08856266', '_instance_hypernym', '08524735')], '08524735')
([('08704822', '¬_has_part', '08713772'), ('08713772', '_has_part', '08698126'), ('08698126', '¬_instance_hypernym', '08704822')], '08698126')
([('01768402', '_member_meronym', '01768969'), ('01768969', '_hypernym', '08103777'), ('08103777', '¬_hypernym', '01919504')], '08103777')
([('13722522', 'NO_OP', '13722522'), ('13722522', '_has_part', '13722340'), ('13722340', '_hypernym', '13716878')], '13716878')
([('00215800', '_derivationally_related_form', '14535431'), ('14535431', '_derivationally_related_form', '00217956'), ('00217956', '_derivationally_related_form', '14535431')], '00217956')
([('13621190', '¬_has_part', '13621418'), ('13621418', 'NO_OP', '13621418'), ('13621418', '_hypernym', '13615557')], '13615557')
([('00340662', '¬_derivationally_related_form', '01418959'), ('01418959', '_hypernym', '01418667'), ('01418667', '¬_derivationally_related_form', '00340463')], '00340463')
([('00443231', '_derivationally_related_form', '01904293'), ('01904293', 'NO_OP', '01904293'), ('01904293', '_derivationally_related_form', '00442115')], '00442115')
([('08191987', '_has_part', '03812541'), ('03812541', 'NO_OP', '03812541'), ('03812541', '_instance_hypernym', '08337324')], '08337324')
([('00900583', '_derivationally_related_form', '10146927'), ('10146927', '¬_derivationally_related_form', '00897241'), ('00897241', 'NO_OP', '00897241')], '00897241')
([('09069752', '¬_has_part', '09068444'), ('09068444', '_has_part', '09068921'), ('09068921', '_instance_hypernym', '08524735')], '08524735')
([('00615421', '_derivationally_related_form', '05707269'), ('05707269', '_derivationally_related_form', '00615774'), ('00615774', '_hypernym', '00471711')], '00615774')
([('12879719', '¬_member_meronym', '12876032'), ('12876032', '_member_meronym', '12888733'), ('12888733', '_hypernym', '11579418')], '11579418')
([('00429048', '¬_derivationally_related_form', '02492362'), ('02492362', '¬_derivationally_related_form', '00426928'), ('00426928', '¬_hypernym', '00429048')], '00426928')
([('08793489', '¬_has_part', '08792548'), ('08792548', '_has_part', '08794574'), ('08794574', '_instance_hypernym', '08574314')], '08574314')
([('08783812', '¬_has_part', '08783286'), ('08783286', '_instance_hypernym', '08782627'), ('08782627', '_hypernym', '09316454')], '08782627')
([('02249995', '¬_member_meronym', '02248147'), ('02248147', 'NO_OP', '02248147'), ('02248147', '_hypernym', '01759182')], '01759182')
([('15127507', 'NO_OP', '15127507'), ('15127507', '¬_has_part', '15127307'), ('15127307', '_instance_hypernym', '15247518')], '15247518')
([('02277448', '¬_derivationally_related_form', '00781912'), ('00781912', '_hypernym', '00781685'), ('00781685', '¬_derivationally_related_form', '02321391')], '02321391')
([('15128711', '_has_part', '15129220'), ('15129220', 'NO_OP', '15129220'), ('15129220', '_instance_hypernym', '15243730')], '15243730')
([('03394480', '_member_meronym', '03393912'), ('03393912', '_hypernym', '02959942'), ('02959942', '¬_member_meronym', '04468005')], '04468005')
([('12457519', '¬_member_meronym', '12423565'), ('12423565', '_member_meronym', '12455342'), ('12455342', '_hypernym', '11561228')], '11561228')
([('07426406', '_synset_domain_topic_of', '06075527'), ('06075527', '¬_synset_domain_topic_of', '07425011'), ('07425011', '¬_hypernym', '07426406')], '07425011')
([('12772419', '¬_member_meronym', '12772081'), ('12772081', '_member_meronym', '12773488'), ('12773488', '_hypernym', '11567411')], '11567411')
([('10119200', '¬_derivationally_related_form', '02544348'), ('02544348', '¬_derivationally_related_form', '09606009'), ('09606009', '_derivationally_related_form', '00796315')], '09606009')
([('07376257', '¬_derivationally_related_form', '01237398'), ('01237398', '_derivationally_related_form', '07379963'), ('07379963', '_hypernym', '07387509')], '07387509')
([('01828714', '¬_member_meronym', '01825417'), ('01825417', '_member_meronym', '01830183'), ('01830183', '_hypernym', '01504437')], '01504437')
([('08733415', '¬_has_part', '08732116'), ('08732116', '_has_part', '08732807'), ('08732807', '_instance_hypernym', '08633957')], '08633957')
([('01917611', '¬_member_meronym', '01917434'), ('01917434', '¬_member_meronym', '01916738'), ('01916738', '_member_meronym', '01916925')], '01916925')
([('02226172', '_derivationally_related_form', '03789946'), ('03789946', '¬_derivationally_related_form', '02226013'), ('02226013', '_hypernym', '02339413')], '02339413')
([('09945905', '¬_derivationally_related_form', '13929588'), ('13929588', '_hypernym', '13931145'), ('13931145', '_derivationally_related_form', '10112591')], '10112591')
([('02029243', '¬_member_meronym', '02025530'), ('02025530', '_member_meronym', '02028556'), ('02028556', '_hypernym', '01507175')], '01507175')
([('06310237', 'NO_OP', '06310237'), ('06310237', '_synset_domain_topic_of', '06174404'), ('06174404', '¬_synset_domain_topic_of', '06312966')], '06312966')
([('01976089', '¬_also_see', '01974062'), ('01974062', '¬_hypernym', '01975587'), ('01975587', '_hypernym', '01974062')], '01974062')
([('08964474', '¬_has_part', '08964099'), ('08964099', '_has_part', '08964288'), ('08964288', '_instance_hypernym', '08552138')], '08552138')
([('15298011', '¬_has_part', '15171857'), ('15171857', '_hypernym', '15269513'), ('15269513', '¬_hypernym', '15297672')], '15297672')
([('04821802', '¬_derivationally_related_form', '00103696'), ('00103696', '_also_see', '00428404'), ('00428404', '¬_derivationally_related_form', '04820258')], '04820258')
([('05607001', '_synset_domain_topic_of', '06057539'), ('06057539', '¬_synset_domain_topic_of', '05611062'), ('05611062', '_hypernym', '05225602')], '05225602')
([('00636279', '¬_derivationally_related_form', '06743506'), ('06743506', '_derivationally_related_form', '00634906'), ('00634906', '_hypernym', '00588888')], '00634906')
([('02367678', '¬_member_meronym', '02367131'), ('02367131', '_member_meronym', '02368280'), ('02368280', '_hypernym', '01864707')], '01864707')
([('12725738', '¬_member_meronym', '12724201'), ('12724201', '_member_meronym', '12730370'), ('12730370', '_hypernym', '12724942')], '12724942')
([('05764197', 'NO_OP', '05764197'), ('05764197', '_derivationally_related_form', '00713167'), ('00713167', '¬_derivationally_related_form', '05763916')], '05763916')
([('01496843', 'NO_OP', '01496843'), ('01496843', '¬_verb_group', '01496630'), ('01496630', '_hypernym', '01494310')], '01494310')
([('00247442', 'NO_OP', '00247442'), ('00247442', '¬_derivationally_related_form', '00324560'), ('00324560', '_synset_domain_topic_of', '00243918')], '00243918')
([('13723470', 'NO_OP', '13723470'), ('13723470', '_has_part', '13723304'), ('13723304', '_hypernym', '13717155')], '13717155')
([('08042183', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08041106'), ('08041106', '_instance_hypernym', '08392137')], '08392137')
([('11770526', '¬_member_meronym', '11766609'), ('11766609', '_member_meronym', '11772154'), ('11772154', '_hypernym', '11567411')], '11567411')
([('01728445', '¬_member_meronym', '01726960'), ('01726960', '_member_meronym', '01736256'), ('01736256', '_hypernym', '01657723')], '01657723')
([('00036362', '¬_derivationally_related_form', '00255710'), ('00255710', '_derivationally_related_form', '00036178'), ('00036178', '_hypernym', '00035758')], '00035758')
([('05602548', 'NO_OP', '05602548'), ('05602548', '¬_has_part', '05600637'), ('05600637', '_has_part', '05601758')], '05601758')
([('01174251', '_has_part', '01174645'), ('01174645', '_hypernym', '01173965'), ('01173965', '_derivationally_related_form', '02062212')], '01173965')
([('12976985', '¬_member_meronym', '12994979'), ('12994979', '_hypernym', '08220891'), ('08220891', '¬_hypernym', '11544769')], '08220891')
([('14122053', '¬_hypernym', '14145501'), ('14145501', '_hypernym', '14145095'), ('14145095', '_hypernym', '14070360')], '14070360')
([('08184217', '¬_derivationally_related_form', '02028366'), ('02028366', '_hypernym', '02027612'), ('02027612', '_derivationally_related_form', '08182379')], '08182379')
([('04216634', '¬_derivationally_related_form', '01460029'), ('01460029', '_derivationally_related_form', '04332243'), ('04332243', '¬_hypernym', '04216634')], '04332243')
([('13619920', '_has_part', '13622209'), ('13622209', '_hypernym', '13615557'), ('13615557', '¬_hypernym', '13621190')], '13615557')
([('01633949', '_member_meronym', '01634092'), ('01634092', '_hypernym', '01626600'), ('01626600', '¬_hypernym', '01644245')], '01626600')
([('02194138', '¬_derivationally_related_form', '05715864'), ('05715864', '_derivationally_related_form', '02191766'), ('02191766', '¬_derivationally_related_form', '05715864')], '02191766')
([('02579247', '_derivationally_related_form', '00516086'), ('00516086', '_derivationally_related_form', '02578510'), ('02578510', '¬_derivationally_related_form', '00428000')], '02578510')
([('11600671', '¬_member_meronym', '11600139'), ('11600139', '_member_meronym', '11601487'), ('11601487', '_hypernym', '11553763')], '11553763')
([('02799593', '_has_part', '04204619'), ('04204619', '_hypernym', '08673395'), ('08673395', '_hypernym', '08574314')], '08673395')
([('11863467', '¬_member_meronym', '11862598'), ('11862598', '_member_meronym', '11863242'), ('11863242', '_hypernym', '11862835')], '11862835')
([('02009015', '_member_meronym', '02009750'), ('02009750', '¬_member_meronym', '02009620'), ('02009620', '_hypernym', '01507175')], '01507175')
([('06687178', '¬_derivationally_related_form', '00803815'), ('00803815', '¬_derivationally_related_form', '06686736'), ('06686736', '¬_hypernym', '06687178')], '06686736')
([('12235263', '¬_member_meronym', '12226322'), ('12226322', '_member_meronym', '12240715'), ('12240715', '_hypernym', '11575425')], '11575425')
([('01708778', '¬_member_meronym', '01708332'), ('01708332', '¬_member_meronym', '01707895'), ('01707895', '_hypernym', '01342529')], '01342529')
([('07244949', 'NO_OP', '07244949'), ('07244949', '_derivationally_related_form', '00828003'), ('00828003', '_derivationally_related_form', '07243837')], '07243837')
([('11757190', '¬_member_meronym', '11755694'), ('11755694', '_member_meronym', '11756092'), ('11756092', 'NO_OP', '11756092')], '11756092')
([('13912992', '_derivationally_related_form', '00304422'), ('00304422', '¬_derivationally_related_form', '05071027'), ('05071027', '_derivationally_related_form', '00304422')], '05071027')
([('14624369', '¬_hypernym', '14661274'), ('14661274', '_hypernym', '14622893'), ('14622893', '¬_hypernym', '14641397')], '14622893')
([('01661404', '¬_member_meronym', '01660719'), ('01660719', '_member_meronym', '01672767'), ('01672767', '_hypernym', '08103777')], '08103777')
([('12556030', '¬_member_meronym', '12501745'), ('12501745', '_member_meronym', '12518725'), ('12518725', '_hypernym', '11585340')], '11585340')
([('01219004', '¬_derivationally_related_form', '01017550'), ('01017550', '_hypernym', '01017320'), ('01017320', '¬_derivationally_related_form', '01217043')], '01217043')
([('02448200', '¬_member_meronym', '02440705'), ('02440705', '_member_meronym', '02450992'), ('02450992', '_hypernym', '01864707')], '01864707')
([('04534520', '¬_derivationally_related_form', '01003049'), ('01003049', '_derivationally_related_form', '04391838'), ('04391838', '¬_derivationally_related_form', '00998399')], '04391838')
([('13196942', '¬_member_meronym', '13192025'), ('13192025', '_member_meronym', '13194328'), ('13194328', '_hypernym', '13167078')], '13167078')
([('11167952', '¬_member_meronym', '08369920'), ('08369920', '_member_meronym', '11126783'), ('11126783', '_instance_hypernym', '10624540')], '10624540')
([('01497878', '¬_member_meronym', '01496617'), ('01496617', '_member_meronym', '01499898'), ('01499898', '_hypernym', '01429349')], '01429349')
([('01384439', '¬_derivationally_related_form', '01014066'), ('01014066', '¬_derivationally_related_form', '02304982'), ('02304982', '¬_derivationally_related_form', '01014066')], '02304982')
([('15214840', '¬_has_part', '15177866'), ('15177866', '_has_part', '15214419'), ('15214419', '_hypernym', '15214068')], '15214068')
([('13632164', '_has_part', '13631512'), ('13631512', '_hypernym', '13601596'), ('13601596', '¬_hypernym', '13632007')], '13601596')
([('06764244', '¬_derivationally_related_form', '01704953'), ('01704953', 'NO_OP', '01704953'), ('01704953', '_derivationally_related_form', '06763273')], '06763273')
([('08759420', '_has_part', '09371151'), ('09371151', '¬_has_part', '08973330'), ('08973330', '_instance_hypernym', '08698379')], '08698379')
([('02577877', '¬_derivationally_related_form', '02776205'), ('02776205', '_derivationally_related_form', '00782527'), ('00782527', '_derivationally_related_form', '04689660')], '00782527')
([('02283324', '¬_also_see', '02202384'), ('02202384', '_derivationally_related_form', '00810598'), ('00810598', 'NO_OP', '00810598')], '02202384')
([('12714949', '¬_member_meronym', '12714550'), ('12714550', '_member_meronym', '12714755'), ('12714755', '_hypernym', '13104059')], '12714755')
([('12796617', '¬_member_meronym', '12792041'), ('12792041', '_member_meronym', '12792638'), ('12792638', '_hypernym', '11585340')], '11585340')
([('02317488', 'NO_OP', '02317488'), ('02317488', '_member_meronym', '02317653'), ('02317653', '_hypernym', '08103777')], '08103777')
([('02592397', '¬_derivationally_related_form', '10299250'), ('10299250', '_derivationally_related_form', '01194418'), ('01194418', '¬_hypernym', '02592397')], '01194418')
([('07047804', '_hypernym', '07044917'), ('07044917', '¬_hypernym', '07039770'), ('07039770', '_hypernym', '07037465')], '07037465')
([('12887713', '¬_member_meronym', '12884523'), ('12884523', '_member_meronym', '12887293'), ('12887293', '_hypernym', '11672400')], '11672400')
([('03294604', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '04058239'), ('04058239', '¬_hypernym', '03294604')], '04058239')
([('13623054', '_has_part', '13622591'), ('13622591', 'NO_OP', '13622591'), ('13622591', '_hypernym', '13615557')], '13615557')
([('02342109', '¬_member_meronym', '02335349'), ('02335349', '_member_meronym', '02336451'), ('02336451', '_hypernym', '01864707')], '01864707')
([('12825061', '¬_member_meronym', '12824909'), ('12824909', '¬_member_meronym', '12823164'), ('12823164', '_member_meronym', '12823859')], '12823859')
([('12457250', '¬_member_meronym', '12423565'), ('12423565', '_member_meronym', '12436260'), ('12436260', '_hypernym', '11556187')], '11556187')
([('02306087', '_also_see', '02281093'), ('02281093', '_hypernym', '02202384'), ('02202384', '_verb_group', '02283716')], '02281093')
([('00139758', '_synset_domain_topic_of', '00469651'), ('00469651', '¬_synset_domain_topic_of', '00139544'), ('00139544', '_hypernym', '00138956')], '00138956')
([('06721604', '_derivationally_related_form', '00847870'), ('00847870', '¬_derivationally_related_form', '06715223'), ('06715223', '_derivationally_related_form', '00847870')], '06715223')
([('08040762', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08041106'), ('08041106', '_instance_hypernym', '08392137')], '08392137')
([('12283147', '¬_member_meronym', '12280886'), ('12280886', '_member_meronym', '12283542'), ('12283542', '_hypernym', '12281241')], '12281241')
([('08766667', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08850741'), ('08850741', '_instance_hypernym', '08524735')], '08524735')
([('11432508', '¬_has_part', '13850674'), ('13850674', '_has_part', '11432387'), ('11432387', '_hypernym', '11431754')], '11431754')
([('06352782', 'NO_OP', '06352782'), ('06352782', '_hypernym', '06361770'), ('06361770', '_hypernym', '06351613')], '06351613')
([('07731767', '¬_has_part', '11953339'), ('11953339', '_has_part', '07731587'), ('07731587', '_hypernym', '07723330')], '07731587')
([('00670105', '¬_derivationally_related_form', '00176874'), ('00176874', '_synset_domain_topic_of', '00671351'), ('00671351', '¬_hypernym', '00670250')], '00671351')
([('02648769', '¬_member_meronym', '02648456'), ('02648456', '_member_meronym', '02649082'), ('02649082', '_hypernym', '01432517')], '01432517')
([('15128711', '_has_part', '15128997'), ('15128997', '_instance_hypernym', '15243730'), ('15243730', '_has_part', '15248020')], '15243730')
([('02549847', '¬_derivationally_related_form', '00654885'), ('00654885', '_derivationally_related_form', '02549581'), ('02549581', '¬_hypernym', '02549847')], '02549581')
([('13627516', '¬_has_part', '13628056'), ('13628056', '¬_has_part', '13628761'), ('13628761', '_hypernym', '13601596')], '13601596')
([('01283935', '¬_has_part', '01302086'), ('01302086', '_has_part', '01288272'), ('01288272', '_instance_hypernym', '00956485')], '00956485')
([('02760855', '_hypernym', '03701391'), ('03701391', '_hypernym', '02760429'), ('02760429', '¬_hypernym', '03701391')], '02760429')
([('01541579', 'NO_OP', '01541579'), ('01541579', '¬_verb_group', '01542207'), ('01542207', '_hypernym', '01850315')], '01850315')
([('12674685', '¬_member_meronym', '12673755'), ('12673755', '_member_meronym', '12674120'), ('12674120', '¬_hypernym', '12674685')], '12674120')
([('12430471', '¬_member_meronym', '12429942'), ('12429942', '_member_meronym', '12430675'), ('12430675', '_hypernym', '12430198')], '12430198')
([('15128711', 'NO_OP', '15128711'), ('15128711', '_has_part', '15128997'), ('15128997', '_instance_hypernym', '15243730')], '15243730')
([('02643316', '¬_member_meronym', '02642935'), ('02642935', '_member_meronym', '02643112'), ('02643112', 'NO_OP', '02643112')], '02643112')
([('01028748', '¬_verb_group', '00971015'), ('00971015', '_hypernym', '01029852'), ('01029852', '¬_hypernym', '00990812')], '01029852')
([('11702428', '¬_member_meronym', '11692952'), ('11692952', '_member_meronym', '11719468'), ('11719468', '_hypernym', '11564258')], '11564258')
([('01501347', '_verb_group', '01500873'), ('01500873', 'NO_OP', '01500873'), ('01500873', '_derivationally_related_form', '13135832')], '01500873')
([('10812550', '¬_member_of_domain_region', '09002814'), ('09002814', '_member_of_domain_region', '10812800'), ('10812800', '_instance_hypernym', '09987239')], '09987239')
([('08798382', '_has_part', '08799706'), ('08799706', '_instance_hypernym', '08574314'), ('08574314', '¬_instance_hypernym', '08970833')], '08574314')
([('01587148', '¬_member_meronym', '01586541'), ('01586541', '_member_meronym', '01586791'), ('01586791', '_hypernym', '01507175')], '01507175')
([('04010348', '_hypernym', '02719750'), ('02719750', '¬_hypernym', '03198951'), ('03198951', '_hypernym', '02720725')], '02720725')
([('12098665', '¬_member_meronym', '12097927'), ('12097927', '_member_meronym', '12098227'), ('12098227', '_hypernym', '11567411')], '11567411')
([('13629482', '_has_part', '13628761'), ('13628761', '_hypernym', '13601596'), ('13601596', '¬_hypernym', '13630707')], '13601596')
([('06825399', '¬_member_meronym', '06825273'), ('06825273', '_hypernym', '06825120'), ('06825120', '_derivationally_related_form', '01004692')], '06825120')
([('09752381', '_synset_domain_topic_of', '05778131'), ('05778131', '¬_synset_domain_topic_of', '09753792'), ('09753792', '_hypernym', '00007846')], '00007846')
([('00431826', '¬_hypernym', '00432683'), ('00432683', '_derivationally_related_form', '05111835'), ('05111835', '¬_derivationally_related_form', '00151689')], '00151689')
([('02994219', 'NO_OP', '02994219'), ('02994219', '¬_has_part', '03859717'), ('03859717', '_hypernym', '08673395')], '08673395')
([('00510364', '_derivationally_related_form', '04682462'), ('04682462', '_derivationally_related_form', '00509607'), ('00509607', '¬_derivationally_related_form', '04682462')], '00509607')
([('09361517', '¬_has_part', '09359803'), ('09359803', '_hypernym', '09366317'), ('09366317', '_has_part', '09437454')], '09437454')
([('15233047', '¬_has_part', '15232406'), ('15232406', '_has_part', '15232899'), ('15232899', '_instance_hypernym', '15113229')], '15113229')
([('12136944', '¬_member_meronym', '12100538'), ('12100538', '_member_meronym', '12116881'), ('12116881', '_hypernym', '11556857')], '11556857')
([('01526925', '¬_member_meronym', '01524885'), ('01524885', '_member_meronym', '01598432'), ('01598432', '_hypernym', '01504437')], '01504437')
([('12742041', '¬_member_meronym', '12740514'), ('12740514', '_member_meronym', '12745160'), ('12745160', '_hypernym', '11567411')], '11567411')
([('13630036', '¬_has_part', '13630707'), ('13630707', '_hypernym', '13601596'), ('13601596', '¬_hypernym', '13630545')], '13601596')
([('08918248', '¬_has_part', '08917503'), ('08917503', '_instance_hypernym', '08574314'), ('08574314', '¬_instance_hypernym', '08857682')], '08574314')
([('01747466', '¬_member_meronym', '01744657'), ('01744657', '_member_meronym', '01750598'), ('01750598', '_hypernym', '01657723')], '01657723')
([('01728445', '¬_member_meronym', '01726960'), ('01726960', '_member_meronym', '01733094'), ('01733094', '_hypernym', '01657723')], '01657723')
([('02693070', '_has_part', '04120842'), ('04120842', 'NO_OP', '04120842'), ('04120842', '¬_has_part', '02687992')], '02687992')
([('01728445', '¬_member_meronym', '01726960'), ('01726960', '_member_meronym', '01735062'), ('01735062', '_hypernym', '01657723')], '01657723')
([('11078982', '_instance_hypernym', '09798811'), ('09798811', '¬_instance_hypernym', '11094055'), ('11094055', '_instance_hypernym', '10547145')], '10547145')
([('14426449', '¬_derivationally_related_form', '01493897'), ('01493897', '¬_derivationally_related_form', '14425974'), ('14425974', '¬_hypernym', '14427239')], '14425974')
([('12148253', '¬_member_meronym', '12148079'), ('12148079', '¬_member_meronym', '12147031'), ('12147031', '_member_meronym', '12147226')], '12147226')
([('06838868', '¬_has_part', '06498569'), ('06498569', '_member_meronym', '06837037'), ('06837037', '_hypernym', '06828818')], '06828818')
([('01246095', '_derivationally_related_form', '04955160'), ('04955160', '¬_derivationally_related_form', '01245637'), ('01245637', '¬_hypernym', '01246095')], '01245637')
([('00332017', '_derivationally_related_form', '00358290'), ('00358290', '¬_derivationally_related_form', '00331082'), ('00331082', '¬_derivationally_related_form', '11460063')], '00331082')
([('12935982', '¬_member_meronym', '12930044'), ('12930044', '_member_meronym', '12940060'), ('12940060', '_hypernym', '11585340')], '11585340')
([('12501537', '¬_member_meronym', '11746776'), ('11746776', '_hypernym', '11566682'), ('11566682', '¬_hypernym', '11746776')], '11566682')
([('12676703', '¬_member_meronym', '12673755'), ('12673755', '_member_meronym', '12674120'), ('12674120', '_hypernym', '13112664')], '12674120')
([('02651193', '_derivationally_related_form', '01054876'), ('01054876', '_hypernym', '01054545'), ('01054545', '¬_derivationally_related_form', '02649830')], '02649830')
([('13631512', '_has_part', '13630864'), ('13630864', '_hypernym', '13601596'), ('13601596', '¬_hypernym', '13631355')], '13601596')
([('02338592', '¬_member_meronym', '02335349'), ('02335349', '_member_meronym', '02345213'), ('02345213', '_hypernym', '01864707')], '01864707')
([('13012613', '¬_member_meronym', '12998349'), ('12998349', '_member_meronym', '12986084'), ('12986084', '_hypernym', '11590783')], '11590783')
([('02662688', '¬_member_meronym', '02660769'), ('02660769', '_member_meronym', '02663086'), ('02663086', '_hypernym', '01432517')], '01432517')
([('02606590', '¬_member_meronym', '02606194'), ('02606194', '_member_meronym', '02606926'), ('02606926', '_hypernym', '01432517')], '01432517')
([('01960779', 'NO_OP', '01960779'), ('01960779', '_synset_domain_topic_of', '00450335'), ('00450335', '_derivationally_related_form', '01958615')], '01958615')
([('12064996', '¬_member_meronym', '12039743'), ('12039743', '_member_meronym', '12068824'), ('12068824', '_hypernym', '11556857')], '11556857')
([('01868780', '¬_derivationally_related_form', '07351909'), ('07351909', '_derivationally_related_form', '01868370'), ('01868370', '_hypernym', '01831531')], '01868370')
([('01454246', '¬_derivationally_related_form', '09897696'), ('09897696', '_derivationally_related_form', '01432601'), ('01432601', '_hypernym', '01449974')], '01449974')
([('12219065', '¬_member_meronym', '12218621'), ('12218621', '_member_meronym', '12218868'), ('12218868', '_hypernym', '13112664')], '13112664')
([('08877807', '¬_has_part', '08871007'), ('08871007', '_has_part', '08877382'), ('08877382', '_instance_hypernym', '08524735')], '08524735')
([('01733634', '¬_member_meronym', '01726960'), ('01726960', '_member_meronym', '01728738'), ('01728738', '_hypernym', '01657723')], '01657723')
([('12807251', '¬_member_meronym', '12806455'), ('12806455', '_member_meronym', '12808007'), ('12808007', '_hypernym', '12806732')], '12806732')
([('01085677', 'NO_OP', '01085677'), ('01085677', '_derivationally_related_form', '06201908'), ('06201908', '_derivationally_related_form', '00680145')], '00680145')
([('12598247', '¬_member_meronym', '11665781'), ('11665781', '_member_meronym', '12300441'), ('12300441', '_hypernym', '11534677')], '11534677')
([('12471825', '¬_member_meronym', '12423565'), ('12423565', '_member_meronym', '12428915'), ('12428915', '_hypernym', '11561228')], '11561228')
([('12711817', 'NO_OP', '12711817'), ('12711817', '_hypernym', '12711596'), ('12711596', '¬_member_meronym', '12707432')], '12707432')
([('11889473', '¬_member_meronym', '11867525'), ('11867525', '_member_meronym', '11897760'), ('11897760', '_hypernym', '11575425')], '11575425')
([('08129621', '¬_has_part', '08129268'), ('08129268', '_has_part', '08129883'), ('08129883', '_hypernym', '08337324')], '08337324')
([('08027518', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08019913'), ('08019913', '_instance_hypernym', '08392137')], '08392137')
([('02652922', 'NO_OP', '02652922'), ('02652922', '_derivationally_related_form', '01056411'), ('01056411', '¬_derivationally_related_form', '01862918')], '01862918')
([('02317488', '_member_meronym', '02317983'), ('02317983', '_hypernym', '08103777'), ('08103777', '¬_hypernym', '02318915')], '08103777')
([('13989863', '¬_derivationally_related_form', '01319874'), ('01319874', '_derivationally_related_form', '13989627'), ('13989627', '¬_derivationally_related_form', '01319874')], '13989627')
([('01775535', 'NO_OP', '01775535'), ('01775535', '¬_derivationally_related_form', '09622302'), ('09622302', '¬_derivationally_related_form', '01775164')], '01775164')
([('11810559', '¬_member_meronym', '11804604'), ('11804604', '_member_meronym', '11813830'), ('11813830', '_hypernym', '11573660')], '11573660')
([('01388813', '_verb_group', '01389007'), ('01389007', '_hypernym', '01387786'), ('01387786', '¬_hypernym', '01389186')], '01387786')
([('15297069', '¬_has_part', '15171857'), ('15171857', '_hypernym', '15269513'), ('15269513', '¬_hypernym', '15297069')], '15269513')
([('02637337', '¬_member_meronym', '02636666'), ('02636666', '_member_meronym', '02637046'), ('02637046', '_hypernym', '01432517')], '01432517')
([('08567072', '¬_has_part', '09198106'), ('09198106', '_has_part', '08628414'), ('08628414', '_instance_hypernym', '08574314')], '08574314')
([('01636675', '¬_member_meronym', '01635659'), ('01635659', '_member_meronym', '01635964'), ('01635964', '_hypernym', '01626600')], '01626600')
([('02416751', '_verb_group', '02416278'), ('02416278', '¬_derivationally_related_form', '00411384'), ('00411384', 'NO_OP', '00411384')], '02416278')
([('11888271', '¬_member_meronym', '11867525'), ('11867525', '_member_meronym', '11893808'), ('11893808', '_hypernym', '11575425')], '11575425')
([('12078954', '¬_member_meronym', '12039743'), ('12039743', '_member_meronym', '12081851'), ('12081851', '_hypernym', '11556857')], '11556857')
