WN18RR, _verb_group_WN18_generic_PPO_simple_embedding_100
([('01496630', '¬_verb_group', '01496843'), ('01496843', '¬_verb_group', '01496630'), ('01496630', '¬_verb_group', '01496843')], '01496843')
([('00557686', '¬_verb_group', '01535742'), ('01535742', '¬_verb_group', '00557686'), ('00557686', '¬_verb_group', '01535742')], '01535742')
([('00253761', '¬_verb_group', '00171852'), ('00171852', '¬_verb_group', '00253761'), ('00253761', '¬_verb_group', '00171852')], '00171852')
([('01071632', 'NO_OP', '01071632'), ('01071632', '¬_verb_group', '01071474'), ('01071474', '¬_verb_group', '01071632')], '01071474')
([('00365188', '¬_verb_group', '00365647'), ('00365647', '¬_verb_group', '00365188'), ('00365188', '¬_verb_group', '00365647')], '00365647')
([('00574996', '¬_verb_group', '00575169'), ('00575169', '¬_verb_group', '00574996'), ('00574996', '¬_verb_group', '00575169')], '00575169')
([('01448100', '¬_verb_group', '02103162'), ('02103162', '¬_verb_group', '01448100'), ('01448100', '¬_verb_group', '01609287')], '02103162')
([('00575169', '¬_verb_group', '00574996'), ('00574996', '¬_verb_group', '00575169'), ('00575169', 'NO_OP', '00575169')], '00574996')
([('01767949', '¬_verb_group', '01649999'), ('01649999', '_derivationally_related_form', '00045250'), ('00045250', '_derivationally_related_form', '01643657')], '01649999')
([('02676054', '¬_verb_group', '01026728'), ('01026728', '¬_verb_group', '02676054'), ('02676054', '¬_verb_group', '01026728')], '01026728')
([('01323338', '¬_verb_group', '01323793'), ('01323793', '¬_verb_group', '01323338'), ('01323338', '¬_verb_group', '01323793')], '01323793')
([('01336635', '¬_verb_group', '01332730'), ('01332730', '¬_hypernym', '01363648'), ('01363648', '_derivationally_related_form', '02730265')], '01332730')
([('02145543', '¬_derivationally_related_form', '01074694'), ('01074694', '¬_derivationally_related_form', '02145543'), ('02145543', '¬_verb_group', '01478002')], '01478002')
([('02311387', '¬_verb_group', '01854132'), ('01854132', '¬_verb_group', '01995211'), ('01995211', '¬_verb_group', '00571596')], '01854132')
([('00378664', '¬_verb_group', '00378042'), ('00378042', '¬_derivationally_related_form', '02923129'), ('02923129', '¬_derivationally_related_form', '00378042')], '00378042')
([('02672859', '¬_derivationally_related_form', '13529616'), ('13529616', '¬_derivationally_related_form', '02672859'), ('02672859', '¬_verb_group', '00891216')], '00891216')
([('01436139', '¬_verb_group', '02085573'), ('02085573', '_derivationally_related_form', '11512992'), ('11512992', '¬_derivationally_related_form', '01436139')], '02085573')
([('02410855', '¬_verb_group', '02413480'), ('02413480', '¬_hypernym', '02447001'), ('02447001', '_hypernym', '02413480')], '02413480')
([('02609203', '¬_verb_group', '00348746'), ('00348746', '_derivationally_related_form', '15265518'), ('15265518', '¬_derivationally_related_form', '01650610')], '00348746')
([('02236124', 'NO_OP', '02236124'), ('02236124', '¬_verb_group', '02210119'), ('02210119', '¬_verb_group', '02236124')], '02210119')
([('01740320', '¬_verb_group', '01203074'), ('01203074', '¬_verb_group', '01740320'), ('01740320', 'NO_OP', '01740320')], '01203074')
([('01609953', '¬_verb_group', '01424948'), ('01424948', '¬_verb_group', '01609953'), ('01609953', '¬_verb_group', '01424948')], '01424948')
([('01350971', '¬_verb_group', '01350699'), ('01350699', '¬_verb_group', '01350971'), ('01350971', 'NO_OP', '01350971')], '01350699')
([('00796976', '¬_verb_group', '02237338'), ('02237338', '¬_derivationally_related_form', '00203342'), ('00203342', '¬_hypernym', '00206302')], '02237338')
([('01179865', '¬_verb_group', '01168468'), ('01168468', '¬_derivationally_related_form', '10042300'), ('10042300', '_derivationally_related_form', '01168468')], '01168468')
([('00476965', '¬_verb_group', '01278817'), ('01278817', '¬_verb_group', '00476965'), ('00476965', '¬_verb_group', '01278817')], '01278817')
([('01984902', 'NO_OP', '01984902'), ('01984902', '¬_verb_group', '01543123'), ('01543123', 'NO_OP', '01543123')], '01543123')
([('02155493', '¬_verb_group', '02155799'), ('02155799', '¬_verb_group', '02155493'), ('02155493', '¬_derivationally_related_form', '07308889')], '02155799')
([('02582042', '¬_verb_group', '02582450'), ('02582450', '¬_verb_group', '02582042'), ('02582042', '¬_derivationally_related_form', '01181902')], '02582450')
([('01436139', 'NO_OP', '01436139'), ('01436139', '¬_verb_group', '02085573'), ('02085573', '_derivationally_related_form', '11512992')], '02085573')
([('01879579', '¬_verb_group', '01879251'), ('01879251', '_derivationally_related_form', '07401726'), ('07401726', 'NO_OP', '07401726')], '01879251')
([('02437465', '¬_verb_group', '00711932'), ('00711932', '¬_verb_group', '02437465'), ('02437465', '¬_verb_group', '00711932')], '00711932')
([('00309792', '¬_derivationally_related_form', '07390400'), ('07390400', '_derivationally_related_form', '00309582'), ('00309582', '_derivationally_related_form', '07390400')], '00309582')
([('01609953', '¬_verb_group', '01424948'), ('01424948', '¬_verb_group', '01609953'), ('01609953', '¬_verb_group', '01424948')], '01424948')
([('00443384', '¬_verb_group', '00443116'), ('00443116', '¬_verb_group', '00443384'), ('00443384', '¬_verb_group', '00443116')], '00443116')
([('00781652', '_derivationally_related_form', '00161044'), ('00161044', '_derivationally_related_form', '00781652'), ('00781652', '¬_verb_group', '00783042')], '00783042')
([('01629000', '¬_verb_group', '01629403'), ('01629403', 'NO_OP', '01629403'), ('01629403', '¬_verb_group', '01629000')], '01629403')
([('01629403', '¬_verb_group', '01629000'), ('01629000', '¬_verb_group', '01629403'), ('01629403', '¬_verb_group', '01629000')], '01629000')
([('01205696', '¬_hypernym', '01250908'), ('01250908', '_hypernym', '01205696'), ('01205696', '¬_verb_group', '02710402')], '02710402')
([('00812298', '¬_verb_group', '01066433'), ('01066433', '¬_verb_group', '00812298'), ('00812298', 'NO_OP', '00812298')], '01066433')
([('01863410', '¬_verb_group', '01863158'), ('01863158', 'NO_OP', '01863158'), ('01863158', '¬_verb_group', '01863410')], '01863158')
([('02177976', '¬_verb_group', '02187922'), ('02187922', '¬_derivationally_related_form', '09229709'), ('09229709', '¬_derivationally_related_form', '02187922')], '02187922')
([('00258665', '¬_verb_group', '00434374'), ('00434374', '¬_verb_group', '00258665'), ('00258665', 'NO_OP', '00258665')], '00434374')
([('01101913', '¬_hypernym', '01104018'), ('01104018', '_hypernym', '01101913'), ('01101913', '¬_verb_group', '01104852')], '01104852')
([('00637259', '¬_verb_group', '00638585'), ('00638585', '_verb_group', '00637259'), ('00637259', '¬_derivationally_related_form', '05121418')], '00638585')
([('00407146', '¬_verb_group', '00605783'), ('00605783', '¬_verb_group', '00407146'), ('00407146', '¬_verb_group', '00605783')], '00605783')
([('01270199', '¬_verb_group', '01536344'), ('01536344', '¬_verb_group', '01270199'), ('01270199', '¬_verb_group', '01536344')], '01536344')
([('00010435', '¬_verb_group', '01721556'), ('01721556', '¬_verb_group', '00010435'), ('00010435', 'NO_OP', '00010435')], '01721556')
([('01870043', '¬_verb_group', '01240720'), ('01240720', '¬_verb_group', '01870043'), ('01870043', '_hypernym', '01831531')], '01240720')
([('01088547', '¬_verb_group', '02420991'), ('02420991', '¬_derivationally_related_form', '10745332'), ('10745332', '_derivationally_related_form', '02420991')], '02420991')
([('00044149', '¬_verb_group', '00051761'), ('00051761', '¬_verb_group', '00044149'), ('00044149', '¬_verb_group', '00051761')], '00051761')
([('02244956', '¬_verb_group', '02727883'), ('02727883', 'NO_OP', '02727883'), ('02727883', '¬_verb_group', '02244956')], '02727883')
([('00698104', '¬_verb_group', '00698256'), ('00698256', '¬_verb_group', '00698104'), ('00698104', '¬_verb_group', '00698256')], '00698256')
([('00411020', '¬_verb_group', '00171852'), ('00171852', '_hypernym', '00205885'), ('00205885', '¬_hypernym', '00171586')], '00171852')
([('02127613', '¬_verb_group', '01210352'), ('01210352', '¬_derivationally_related_form', '04946553'), ('04946553', '_derivationally_related_form', '01209678')], '01210352')
([('01129201', '¬_verb_group', '02687916'), ('02687916', '_derivationally_related_form', '05123416'), ('05123416', '¬_hypernym', '05128519')], '02687916')
([('01880673', '¬_verb_group', '01880113'), ('01880113', '¬_verb_group', '01880673'), ('01880673', '¬_verb_group', '02174830')], '02174830')
([('02113850', '¬_verb_group', '02114433'), ('02114433', 'NO_OP', '02114433'), ('02114433', '¬_verb_group', '02114056')], '02114056')
([('00949288', 'NO_OP', '00949288'), ('00949288', '¬_verb_group', '00640828'), ('00640828', '_also_see', '02645007')], '00640828')
([('00229280', '¬_verb_group', '00229026'), ('00229026', '¬_verb_group', '00229280'), ('00229280', '¬_verb_group', '00229026')], '00229026')
([('02672859', '_derivationally_related_form', '13450636'), ('13450636', '¬_derivationally_related_form', '02672859'), ('02672859', '¬_verb_group', '00891216')], '00891216')
([('02582042', '¬_verb_group', '02582450'), ('02582450', '_derivationally_related_form', '01186810'), ('01186810', '_derivationally_related_form', '02582042')], '02582450')
([('02541251', '¬_verb_group', '02670890'), ('02670890', '¬_verb_group', '02541251'), ('02541251', '¬_verb_group', '02670890')], '02670890')
([('00154141', '¬_verb_group', '00487748'), ('00487748', '¬_verb_group', '00154141'), ('00154141', '¬_verb_group', '00487748')], '00487748')
([('02522319', '¬_derivationally_related_form', '07317764'), ('07317764', '_derivationally_related_form', '02522319'), ('02522319', '¬_verb_group', '02523521')], '02523521')
([('00890590', '¬_verb_group', '00890100'), ('00890100', '¬_hypernym', '01019472'), ('01019472', '¬_verb_group', '01018928')], '00890100')
([('00597385', '¬_verb_group', '01224744'), ('01224744', '¬_verb_group', '00597385'), ('00597385', '¬_verb_group', '01224744')], '01224744')
([('00445711', '¬_verb_group', '00374135'), ('00374135', '¬_verb_group', '00445711'), ('00445711', '¬_verb_group', '00374135')], '00374135')
([('00971999', '¬_verb_group', '00715239'), ('00715239', '¬_verb_group', '00971999'), ('00971999', '¬_verb_group', '00715239')], '00715239')
([('02525447', '¬_verb_group', '01629589'), ('01629589', '¬_verb_group', '02525447'), ('02525447', 'NO_OP', '02525447')], '01629589')
([('00720063', '¬_verb_group', '00719734'), ('00719734', '¬_verb_group', '00720063'), ('00720063', '¬_verb_group', '00719734')], '00719734')
([('02635659', '¬_verb_group', '02730135'), ('02730135', 'NO_OP', '02730135'), ('02730135', '¬_verb_group', '02635659')], '02730135')
([('01871979', '¬_verb_group', '01872645'), ('01872645', '¬_verb_group', '01872877'), ('01872877', '¬_verb_group', '01872645')], '01872645')
([('01926984', '¬_verb_group', '02099829'), ('02099829', '¬_verb_group', '02421921'), ('02421921', '¬_verb_group', '02099829')], '02099829')
([('00114837', '¬_derivationally_related_form', '03099945'), ('03099945', '_derivationally_related_form', '00115157'), ('00115157', '¬_verb_group', '00114837')], '00115157')
([('00594621', '¬_verb_group', '00595630'), ('00595630', '_verb_group', '00594621'), ('00594621', '_derivationally_related_form', '01374582')], '00595630')
([('01551871', '¬_derivationally_related_form', '04157320'), ('04157320', '_derivationally_related_form', '01684337'), ('01684337', '_derivationally_related_form', '00937656')], '01684337')
([('01838651', '¬_verb_group', '01904293'), ('01904293', '_verb_group', '01838651'), ('01838651', '¬_verb_group', '01904293')], '01904293')
([('01209135', '¬_verb_group', '01123887'), ('01123887', '¬_verb_group', '01209135'), ('01209135', '¬_verb_group', '01123887')], '01123887')
([('00654015', '¬_verb_group', '00654258'), ('00654258', 'NO_OP', '00654258'), ('00654258', '¬_verb_group', '00654015')], '00654258')
([('01647672', '¬_verb_group', '01629000'), ('01629000', '¬_verb_group', '01647672'), ('01647672', '¬_hypernym', '01647867')], '01629000')
([('01255355', '¬_verb_group', '01255222'), ('01255222', 'NO_OP', '01255222'), ('01255222', '¬_verb_group', '01255355')], '01255222')
([('00332672', '¬_verb_group', '00334803'), ('00334803', 'NO_OP', '00334803'), ('00334803', 'NO_OP', '00334803')], '00334803')
([('01977080', '_derivationally_related_form', '07434209'), ('07434209', '_derivationally_related_form', '01967373'), ('01967373', '¬_verb_group', '01977080')], '01967373')
([('00365446', 'NO_OP', '00365446'), ('00365446', '¬_verb_group', '00364868'), ('00364868', '_derivationally_related_form', '13451348')], '00364868')
([('02657219', '¬_verb_group', '02700104'), ('02700104', '¬_verb_group', '02657219'), ('02657219', '¬_verb_group', '02700104')], '02700104')
([('02261642', 'NO_OP', '02261642'), ('02261642', '¬_verb_group', '01176232'), ('01176232', '¬_verb_group', '02261642')], '01176232')
([('01872877', '¬_verb_group', '01872645'), ('01872645', '¬_verb_group', '01872877'), ('01872877', '¬_verb_group', '01872645')], '01872645')
([('00663353', '¬_verb_group', '00662589'), ('00662589', '_verb_group', '02520997'), ('02520997', '¬_derivationally_related_form', '05798569')], '00662589')
([('00571596', '¬_verb_group', '01995211'), ('01995211', '¬_verb_group', '01854132'), ('01854132', '¬_verb_group', '01995211')], '01995211')
([('01525666', '¬_verb_group', '01526290'), ('01526290', '¬_verb_group', '01525666'), ('01525666', '¬_verb_group', '02444159')], '02444159')
([('00002573', '¬_verb_group', '00001740'), ('00001740', '¬_hypernym', '00002573'), ('00002573', '¬_verb_group', '00001740')], '00001740')
([('01719921', '¬_verb_group', '01716882'), ('01716882', '¬_derivationally_related_form', '07007945'), ('07007945', '¬_derivationally_related_form', '01719921')], '01716882')
([('02242256', '¬_verb_group', '01864038'), ('01864038', '¬_verb_group', '02242256'), ('02242256', '¬_verb_group', '01864038')], '01864038')
([('00364868', '¬_verb_group', '00366547'), ('00366547', '_derivationally_related_form', '00357680'), ('00357680', 'NO_OP', '00357680')], '00366547')
([('02055267', '¬_verb_group', '02061495'), ('02061495', 'NO_OP', '02061495'), ('02061495', '¬_hypernym', '01834053')], '02061495')
([('00654258', '¬_verb_group', '00654015'), ('00654015', '¬_verb_group', '00654258'), ('00654258', '¬_verb_group', '00654015')], '00654015')
([('01925694', '¬_verb_group', '01881180'), ('01881180', '¬_derivationally_related_form', '10176111'), ('10176111', '¬_derivationally_related_form', '01920698')], '01881180')
([('00767334', '¬_verb_group', '01808218'), ('01808218', '¬_verb_group', '00767334'), ('00767334', '¬_verb_group', '01808218')], '01808218')
([('01866610', '¬_verb_group', '01866192'), ('01866192', '_derivationally_related_form', '07441619'), ('07441619', '¬_derivationally_related_form', '01866610')], '01866192')
([('00056930', '¬_verb_group', '00059019'), ('00059019', '¬_verb_group', '00059376'), ('00059376', '_hypernym', '00720063')], '00059019')
([('02346895', '¬_verb_group', '02542280'), ('02542280', '_verb_group', '00351406'), ('00351406', '_hypernym', '00350461')], '02542280')
([('01894649', '¬_verb_group', '01708676'), ('01708676', 'NO_OP', '01708676'), ('01708676', '¬_derivationally_related_form', '07020538')], '01708676')
([('01732921', '¬_verb_group', '01733213'), ('01733213', '¬_verb_group', '01732921'), ('01732921', '¬_verb_group', '01733213')], '01733213')
([('01079480', '¬_verb_group', '01079873'), ('01079873', '¬_verb_group', '01149470'), ('01149470', '¬_verb_group', '01080064')], '01080064')
([('01731353', '¬_verb_group', '01730384'), ('01730384', '¬_derivationally_related_form', '06867675'), ('06867675', '¬_derivationally_related_form', '01731353')], '01730384')
([('01547390', '¬_verb_group', '01547641'), ('01547641', 'NO_OP', '01547641'), ('01547641', 'NO_OP', '01547641')], '01547641')
([('01168468', '¬_verb_group', '01166351'), ('01166351', '¬_hypernym', '01168468'), ('01168468', '¬_verb_group', '01166351')], '01166351')
([('02129289', '¬_derivationally_related_form', '05710860'), ('05710860', '_derivationally_related_form', '02129289'), ('02129289', '¬_verb_group', '02150948')], '02150948')
([('00570205', '¬_verb_group', '00570003'), ('00570003', '¬_verb_group', '00570205'), ('00570205', '_derivationally_related_form', '13463490')], '00570003')
([('00100551', '¬_verb_group', '00099721'), ('00099721', '¬_derivationally_related_form', '00624738'), ('00624738', '¬_hypernym', '00625993')], '00099721')
([('00411020', '¬_derivationally_related_form', '00250259'), ('00250259', '_derivationally_related_form', '00411020'), ('00411020', '¬_verb_group', '00171852')], '00171852')
([('01926984', '¬_verb_group', '02099829'), ('02099829', '¬_verb_group', '02421921'), ('02421921', '_hypernym', '02421374')], '02099829')
([('02030764', '¬_verb_group', '02073233'), ('02073233', 'NO_OP', '02073233'), ('02073233', '¬_verb_group', '02030764')], '02073233')
([('02103162', '¬_verb_group', '01448100'), ('01448100', '_hypernym', '01850315'), ('01850315', '_derivationally_related_form', '10336234')], '01448100')
([('01643464', '¬_verb_group', '01582645'), ('01582645', '¬_verb_group', '01643464'), ('01643464', '¬_verb_group', '01582645')], '01582645')
([('01909397', '¬_derivationally_related_form', '00348312'), ('00348312', 'NO_OP', '00348312'), ('00348312', '¬_derivationally_related_form', '01909978')], '01909978')
([('01129201', '¬_verb_group', '02687916'), ('02687916', 'NO_OP', '02687916'), ('02687916', '¬_verb_group', '01129201')], '02687916')
([('01629589', '¬_verb_group', '02525447'), ('02525447', '¬_derivationally_related_form', '04599396'), ('04599396', '_hypernym', '04007894')], '02525447')
([('02729632', '¬_verb_group', '00652900'), ('00652900', '¬_verb_group', '02729632'), ('02729632', '¬_verb_group', '00652900')], '00652900')
([('00252990', '¬_verb_group', '00226882'), ('00226882', '¬_verb_group', '00252990'), ('00252990', '¬_verb_group', '00226882')], '00226882')
([('00508032', '¬_verb_group', '01588493'), ('01588493', 'NO_OP', '01588493'), ('01588493', '¬_derivationally_related_form', '07272172')], '01588493')
([('02045043', '_also_see', '02676496'), ('02676496', '¬_also_see', '02045043'), ('02045043', '¬_verb_group', '02045790')], '02045790')
([('00719734', 'NO_OP', '00719734'), ('00719734', '¬_verb_group', '00720063'), ('00720063', '¬_verb_group', '00719734')], '00720063')
([('01137138', '_verb_group', '01134781'), ('01134781', '¬_verb_group', '01137138'), ('01137138', '¬_verb_group', '02484570')], '02484570')
([('02114433', '¬_verb_group', '02113850'), ('02113850', '¬_verb_group', '02114433'), ('02114433', '¬_verb_group', '02114056')], '02114056')
([('00720063', '¬_verb_group', '00719734'), ('00719734', '¬_hypernym', '00631737'), ('00631737', 'NO_OP', '00631737')], '00719734')
([('01864038', '¬_verb_group', '02242256'), ('02242256', '¬_verb_group', '01864038'), ('01864038', '¬_verb_group', '02242256')], '02242256')
([('00500055', '¬_verb_group', '00499812'), ('00499812', '¬_verb_group', '00500055'), ('00500055', '¬_verb_group', '00499812')], '00499812')
([('01984119', '_derivationally_related_form', '00076884'), ('00076884', '_derivationally_related_form', '01984317'), ('01984317', 'NO_OP', '01984317')], '01984317')
([('01282142', '¬_verb_group', '01540693'), ('01540693', '¬_verb_group', '01282142'), ('01282142', '¬_also_see', '01539063')], '01540693')
([('00366547', '¬_verb_group', '00366275'), ('00366275', '_derivationally_related_form', '03087643'), ('03087643', '_hypernym', '02727825')], '00366275')
([('02145543', '¬_verb_group', '01478002'), ('01478002', '¬_derivationally_related_form', '02982790'), ('02982790', '_derivationally_related_form', '01131473')], '01478002')
([('00575169', 'NO_OP', '00575169'), ('00575169', '¬_verb_group', '00574996'), ('00574996', '¬_verb_group', '00575169')], '00574996')
([('01871979', '¬_verb_group', '01872645'), ('01872645', '¬_verb_group', '01871979'), ('01871979', '¬_verb_group', '01872645')], '01872645')
([('01863158', '¬_verb_group', '01863410'), ('01863410', '_synset_domain_topic_of', '00298497'), ('00298497', '¬_synset_domain_topic_of', '01956708')], '01863410')
([('01995549', '¬_verb_group', '02679899'), ('02679899', '¬_verb_group', '01995549'), ('01995549', '¬_verb_group', '02679899')], '02679899')
([('02729023', '_derivationally_related_form', '08482271'), ('08482271', '_derivationally_related_form', '01999423'), ('01999423', '¬_derivationally_related_form', '09623038')], '01999423')
([('00686447', '¬_verb_group', '00719231'), ('00719231', '¬_verb_group', '00686447'), ('00686447', '_derivationally_related_form', '14412725')], '00719231')
([('00114837', '¬_verb_group', '00115157'), ('00115157', '¬_hypernym', '00993892'), ('00993892', 'NO_OP', '00993892')], '00115157')
([('01060746', '¬_verb_group', '01069638'), ('01069638', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '07209089')], '01069638')
([('01817574', '¬_verb_group', '02116980'), ('02116980', '_hypernym', '02116118'), ('02116118', '¬_derivationally_related_form', '14037011')], '02116980')
([('00908621', '¬_verb_group', '02684254'), ('02684254', '¬_verb_group', '00908621'), ('00908621', 'NO_OP', '00908621')], '02684254')
([('02553697', '¬_verb_group', '02387034'), ('02387034', '¬_verb_group', '02553697'), ('02553697', '¬_derivationally_related_form', '10722385')], '02387034')
([('00668099', '¬_verb_group', '01794668'), ('01794668', '_derivationally_related_form', '07496463'), ('07496463', '_derivationally_related_form', '01794668')], '01794668')
([('01560731', '¬_verb_group', '01560984'), ('01560984', '_verb_group', '01560731'), ('01560731', '¬_verb_group', '01560984')], '01560984')
([('02384686', '_derivationally_related_form', '07186661'), ('07186661', '_derivationally_related_form', '02384686'), ('02384686', '¬_verb_group', '01469770')], '01469770')
([('00729109', '¬_verb_group', '02455407'), ('02455407', '¬_hypernym', '02456031'), ('02456031', '_derivationally_related_form', '10150071')], '02455407')
([('00561714', '¬_verb_group', '00561571'), ('00561571', '_verb_group', '00561714'), ('00561714', '¬_verb_group', '00561571')], '00561571')
([('02321046', '¬_verb_group', '02320374'), ('02320374', '¬_derivationally_related_form', '07190941'), ('07190941', '¬_derivationally_related_form', '02321046')], '02320374')
([('01930482', '¬_verb_group', '01930117'), ('01930117', '_verb_group', '01930482'), ('01930482', '¬_verb_group', '01930117')], '01930117')
([('02405390', '¬_verb_group', '00162688'), ('00162688', '¬_derivationally_related_form', '05696425'), ('05696425', '_derivationally_related_form', '02405390')], '00162688')
([('01602318', '¬_verb_group', '02673134'), ('02673134', '¬_verb_group', '01602318'), ('01602318', '¬_verb_group', '02673134')], '02673134')
([('01853696', '¬_verb_group', '01915365'), ('01915365', '¬_hypernym', '01915730'), ('01915730', 'NO_OP', '01915730')], '01915365')
([('01609287', '¬_verb_group', '01448100'), ('01448100', '¬_derivationally_related_form', '00114431'), ('00114431', '¬_derivationally_related_form', '01448100')], '01448100')
([('00752764', '¬_hypernym', '00808343'), ('00808343', '_hypernym', '00752764'), ('00752764', '¬_verb_group', '01063695')], '01063695')
([('00874175', '¬_verb_group', '00901103'), ('00901103', '¬_derivationally_related_form', '07217349'), ('07217349', 'NO_OP', '07217349')], '00901103')
([('01984119', '_hypernym', '01983771'), ('01983771', '¬_hypernym', '01984317'), ('01984317', '¬_verb_group', '01984119')], '01984317')
([('00414627', '¬_verb_group', '00414409'), ('00414409', '¬_verb_group', '00414627'), ('00414627', '¬_derivationally_related_form', '00168658')], '00414409')
([('00765977', '¬_verb_group', '02406916'), ('02406916', '¬_verb_group', '00765977'), ('00765977', '¬_verb_group', '02406916')], '02406916')
([('00431117', '¬_verb_group', '00431327'), ('00431327', '¬_verb_group', '00431117'), ('00431117', '¬_derivationally_related_form', '00357906')], '00431327')
([('02150948', '¬_verb_group', '02129289'), ('02129289', '¬_derivationally_related_form', '10576071'), ('10576071', 'NO_OP', '10576071')], '02129289')
([('01430952', '¬_derivationally_related_form', '00855674'), ('00855674', '_derivationally_related_form', '01430633'), ('01430633', '¬_derivationally_related_form', '10717196')], '01430633')
([('02045043', '¬_verb_group', '02045790'), ('02045790', '¬_verb_group', '02045043'), ('02045043', '_also_see', '02676496')], '02045790')
([('00012267', '¬_verb_group', '02289295'), ('02289295', '¬_verb_group', '00012267'), ('00012267', '¬_verb_group', '02289295')], '02289295')
([('01138911', '¬_verb_group', '01156115'), ('01156115', '¬_derivationally_related_form', '00430140'), ('00430140', '¬_hypernym', '00506658')], '01156115')
([('01914947', '¬_verb_group', '01926311'), ('01926311', '¬_hypernym', '01927447'), ('01927447', '_hypernym', '01926311')], '01926311')
([('00317888', 'NO_OP', '00317888'), ('00317888', '¬_verb_group', '00235110'), ('00235110', '_derivationally_related_form', '00318735')], '00235110')
([('01967373', '¬_verb_group', '01977080'), ('01977080', '_derivationally_related_form', '07434209'), ('07434209', '¬_derivationally_related_form', '01977080')], '01977080')
([('01541579', '¬_verb_group', '01542207'), ('01542207', '¬_verb_group', '01541579'), ('01541579', '¬_verb_group', '01542207')], '01542207')
([('00969873', '¬_verb_group', '00968211'), ('00968211', '_derivationally_related_form', '06619428'), ('06619428', '¬_derivationally_related_form', '00968211')], '00968211')
([('01955984', '¬_verb_group', '02102398'), ('02102398', '¬_verb_group', '01955984'), ('01955984', '_verb_group', '02742232')], '02102398')
([('01984902', '¬_verb_group', '01543123'), ('01543123', '_verb_group', '01984902'), ('01984902', '¬_verb_group', '01543123')], '01543123')
([('01496843', '¬_verb_group', '01496630'), ('01496630', '¬_verb_group', '01496843'), ('01496843', '¬_verb_group', '01496630')], '01496630')
([('02418421', '¬_verb_group', '02418686'), ('02418686', '¬_verb_group', '02418421'), ('02418421', 'NO_OP', '02418421')], '02418686')
([('01640855', '¬_hypernym', '02563724'), ('02563724', '_hypernym', '01640855'), ('01640855', '¬_verb_group', '00486018')], '00486018')
([('01637982', '¬_verb_group', '02154508'), ('02154508', '¬_verb_group', '01637982'), ('01637982', '¬_verb_group', '00721437')], '02154508')
([('02129289', '¬_verb_group', '02150948'), ('02150948', '_derivationally_related_form', '00880662'), ('00880662', '¬_derivationally_related_form', '02150510')], '02150948')
([('00301856', '¬_verb_group', '00302130'), ('00302130', '_derivationally_related_form', '10690538'), ('10690538', '_derivationally_related_form', '00302130')], '00302130')
([('00329244', '_derivationally_related_form', '13913849'), ('13913849', '_derivationally_related_form', '00328802'), ('00328802', '_also_see', '00436404')], '00328802')
([('00045639', '¬_verb_group', '00038849'), ('00038849', '_hypernym', '00040353'), ('00040353', 'NO_OP', '00040353')], '00038849')
([('02020590', '¬_verb_group', '02021532'), ('02021532', '¬_verb_group', '02020590'), ('02020590', '¬_hypernym', '02008066')], '02021532')
([('00575720', '¬_verb_group', '00575970'), ('00575970', '¬_verb_group', '00575720'), ('00575720', 'NO_OP', '00575720')], '00575970')
([('00044149', '¬_verb_group', '00044797'), ('00044797', '_derivationally_related_form', '02756098'), ('02756098', '_derivationally_related_form', '00047945')], '00044797')
([('00645939', '¬_verb_group', '00646271'), ('00646271', '_derivationally_related_form', '00877345'), ('00877345', '_derivationally_related_form', '00645939')], '00646271')
([('02267989', 'NO_OP', '02267989'), ('02267989', '¬_verb_group', '01157517'), ('01157517', '¬_hypernym', '00561714')], '01157517')
([('02275365', '¬_derivationally_related_form', '06729864'), ('06729864', '_derivationally_related_form', '02275365'), ('02275365', '¬_verb_group', '00758333')], '00758333')
([('00013615', '¬_verb_group', '01719302'), ('01719302', '¬_verb_group', '01722077'), ('01722077', '¬_verb_group', '01719302')], '01719302')
([('01088547', '¬_derivationally_related_form', '10745332'), ('10745332', '¬_derivationally_related_form', '02420991'), ('02420991', '¬_verb_group', '01088547')], '02420991')
([('00565279', '¬_verb_group', '00565081'), ('00565081', 'NO_OP', '00565081'), ('00565081', '¬_derivationally_related_form', '14730553')], '00565081')
([('01842508', '¬_verb_group', '01949966'), ('01949966', '¬_verb_group', '01842508'), ('01842508', '¬_verb_group', '01949966')], '01949966')
([('00595630', '¬_verb_group', '00594621'), ('00594621', '_derivationally_related_form', '00190115'), ('00190115', '¬_also_see', '00570590')], '00594621')
([('02289295', '¬_verb_group', '00012267'), ('00012267', '¬_verb_group', '02289295'), ('02289295', '¬_verb_group', '00012267')], '00012267')
([('02671279', '¬_verb_group', '02502536'), ('02502536', '¬_verb_group', '02671279'), ('02671279', '¬_verb_group', '02502536')], '02502536')
([('00177243', '_derivationally_related_form', '14456752'), ('14456752', '_derivationally_related_form', '00049900'), ('00049900', '¬_verb_group', '00177243')], '00049900')
([('00693780', '¬_verb_group', '00683771'), ('00683771', '¬_verb_group', '00693780'), ('00693780', '¬_verb_group', '00683771')], '00683771')
([('00613393', '¬_verb_group', '01989053'), ('01989053', '¬_verb_group', '00613393'), ('00613393', '¬_verb_group', '01848465')], '01848465')
([('01864038', '¬_verb_group', '02242256'), ('02242256', '¬_verb_group', '01864038'), ('01864038', '_hypernym', '01843055')], '02242256')
