WN18RR, _instance_hypernym_WN18_generic_PPO_simple_embedding_100
([('09087450', '¬_has_part', '09086173'), ('09086173', '_has_part', '09086635'), ('09086635', '_instance_hypernym', '08524735')], '08524735')
([('08842819', '¬_has_part', '08836630'), ('08836630', '_instance_hypernym', '09203827'), ('09203827', '¬_instance_hypernym', '08841667')], '09203827')
([('15232712', '¬_has_part', '15232406'), ('15232406', '_instance_hypernym', '15113229'), ('15113229', '¬_hypernym', '15254550')], '15113229')
([('08743945', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08856037'), ('08856037', '_instance_hypernym', '08524735')], '08524735')
([('09108055', '¬_has_part', '09105821'), ('09105821', '_has_part', '09107626'), ('09107626', '_instance_hypernym', '08524735')], '08524735')
([('09050730', 'NO_OP', '09050730'), ('09050730', '_has_part', '09049599'), ('09049599', '_instance_hypernym', '08574314')], '08574314')
([('08952190', '_has_part', '09263087'), ('09263087', '¬_has_part', '08816236'), ('08816236', '_instance_hypernym', '08696931')], '08696931')
([('09025451', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08934532'), ('08934532', '_instance_hypernym', '08524735')], '08524735')
([('08855505', '¬_has_part', '08853741'), ('08853741', '_has_part', '08856793'), ('08856793', '_instance_hypernym', '08524735')], '08524735')
([('09035951', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08958334'), ('08958334', '_instance_hypernym', '08524735')], '08524735')
([('08989031', '¬_member_meronym', '08176077'), ('08176077', '_member_meronym', '08988609'), ('08988609', '_instance_hypernym', '08544813')], '08544813')
([('09143205', '¬_has_part', '09141526'), ('09141526', '_has_part', '09142674'), ('09142674', '_instance_hypernym', '08524735')], '08524735')
([('09017005', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09000462'), ('09000462', '_instance_hypernym', '08524735')], '08524735')
([('08799271', '¬_has_part', '08798382'), ('08798382', '_instance_hypernym', '08574314'), ('08574314', '¬_instance_hypernym', '09177647')], '08574314')
([('08816969', '¬_has_part', '08816236'), ('08816236', '_has_part', '08817235'), ('08817235', '_instance_hypernym', '08574314')], '08574314')
([('15127507', '¬_has_part', '15127307'), ('15127307', '_instance_hypernym', '15247518'), ('15247518', '¬_has_part', '15248020')], '15247518')
([('09136582', '¬_has_part', '09134386'), ('09134386', '_has_part', '09134999'), ('09134999', '_instance_hypernym', '08524735')], '08524735')
([('08899351', '¬_has_part', '08897065'), ('08897065', '_has_part', '08899577'), ('08899577', '_instance_hypernym', '08524735')], '08524735')
([('09086635', '¬_has_part', '09086173'), ('09086173', '_has_part', '09087450'), ('09087450', '_instance_hypernym', '08524735')], '08524735')
([('08920722', '¬_has_part', '08920381'), ('08920381', '_has_part', '08921392'), ('08921392', '_instance_hypernym', '09316454')], '09316454')
([('09135447', '_instance_hypernym', '08638442'), ('08638442', '¬_instance_hypernym', '09065328'), ('09065328', '_instance_hypernym', '08524735')], '08524735')
([('08039312', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08392137'), ('08392137', '¬_instance_hypernym', '08012765')], '08392137')
([('08958212', '¬_has_part', '08957381'), ('08957381', '_has_part', '08958334'), ('08958334', '_instance_hypernym', '08524735')], '08524735')
([('09085209', '¬_has_part', '09084750'), ('09084750', '_has_part', '09085334'), ('09085334', '_instance_hypernym', '08524735')], '08524735')
([('08851034', '¬_has_part', '08849753'), ('08849753', '_has_part', '08851364'), ('08851364', '_instance_hypernym', '08524735')], '08524735')
([('11353195', '_instance_hypernym', '10609325'), ('10609325', '¬_instance_hypernym', '11364570'), ('11364570', '_instance_hypernym', '10210137')], '10210137')
([('08750822', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08733415'), ('08733415', '_instance_hypernym', '08524735')], '08524735')
([('09019726', '¬_has_part', '09207288'), ('09207288', '_has_part', '08700255'), ('08700255', '¬_instance_hypernym', '09018848')], '08700255')
([('08038995', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08021785'), ('08021785', '_instance_hypernym', '08392137')], '08392137')
([('09027292', '¬_has_part', '09023321'), ('09023321', '_has_part', '09026360'), ('09026360', '_instance_hypernym', '08524735')], '08524735')
([('08018983', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08044265'), ('08044265', '_instance_hypernym', '08392137')], '08392137')
([('08027314', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08392137'), ('08392137', '¬_instance_hypernym', '08033454')], '08392137')
([('08913085', '¬_has_part', '08910668'), ('08910668', '_has_part', '08912559'), ('08912559', '_instance_hypernym', '08524735')], '08524735')
([('09398217', '¬_has_part', '09155306'), ('09155306', '_has_part', '09357580'), ('09357580', '_instance_hypernym', '09411430')], '09411430')
([('09075329', '¬_has_part', '09071690'), ('09071690', '_has_part', '09073938'), ('09073938', '_instance_hypernym', '08524735')], '08524735')
([('09150662', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08849372'), ('08849372', '_instance_hypernym', '08524735')], '08524735')
([('09034550', '¬_has_part', '08699426'), ('08699426', '_has_part', '09043052'), ('09043052', '_instance_hypernym', '08698379')], '08698379')
([('08721145', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '09030467'), ('09030467', '_instance_hypernym', '08633957')], '08633957')
([('09009490', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08727003'), ('08727003', '_instance_hypernym', '08524735')], '08524735')
([('08787878', '¬_has_part', '08701942'), ('08701942', '_has_part', '09042924'), ('09042924', '_instance_hypernym', '08574314')], '08574314')
([('08762495', '¬_has_part', '09189411'), ('09189411', '_has_part', '08965598'), ('08965598', '_instance_hypernym', '08698379')], '08698379')
([('09146912', '¬_has_part', '09141526'), ('09141526', '_has_part', '09144117'), ('09144117', '_instance_hypernym', '08524735')], '08524735')
([('06440489', '¬_has_part', '06449735'), ('06449735', '_has_part', '06438477'), ('06438477', '_instance_hypernym', '06394865')], '06394865')
([('08962187', '¬_has_part', '09189411'), ('09189411', '_has_part', '08698379'), ('08698379', '¬_instance_hypernym', '09167101')], '08698379')
([('10925939', '_instance_hypernym', '10650162'), ('10650162', '¬_instance_hypernym', '11241854'), ('11241854', '_instance_hypernym', '10123844')], '10123844')
([('10812550', '¬_member_of_domain_region', '09002814'), ('09002814', '_member_of_domain_region', '09987239'), ('09987239', '¬_member_of_domain_region', '09002814')], '09987239')
([('08701719', '¬_has_part', '08701942'), ('08701942', '_has_part', '08787878'), ('08787878', '_instance_hypernym', '08574314')], '08574314')
([('08013176', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08019281'), ('08019281', '_instance_hypernym', '08392137')], '08392137')
([('08878016', '¬_has_part', '08871007'), ('08871007', '_has_part', '08879680'), ('08879680', '_instance_hypernym', '08524735')], '08524735')
([('08025835', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08038748'), ('08038748', '_instance_hypernym', '08392137')], '08392137')
([('08019523', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08015116'), ('08015116', '_instance_hypernym', '08392137')], '08392137')
([('08045428', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08039312'), ('08039312', '_instance_hypernym', '08392137')], '08392137')
([('06432376', '¬_has_part', '06449735'), ('06449735', '_has_part', '06440102'), ('06440102', '_instance_hypernym', '06394865')], '06394865')
([('08047032', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08041484'), ('08041484', '_instance_hypernym', '08392137')], '08392137')
([('08036849', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08038748'), ('08038748', '_instance_hypernym', '08392137')], '08392137')
([('08912153', '¬_has_part', '08910668'), ('08910668', '_has_part', '08912279'), ('08912279', '_instance_hypernym', '08524735')], '08524735')
([('09017005', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08856037'), ('08856037', '_instance_hypernym', '08524735')], '08524735')
([('09058219', '_instance_hypernym', '08638442'), ('08638442', '¬_instance_hypernym', '09153570'), ('09153570', '_instance_hypernym', '08665504')], '08665504')
([('08936647', '¬_has_part', '08929922'), ('08929922', '_has_part', '08934694'), ('08934694', '_instance_hypernym', '08524735')], '08524735')
([('11386346', '_instance_hypernym', '10794014'), ('10794014', '¬_hypernym', '10030277'), ('10030277', '¬_derivationally_related_form', '07007945')], '10030277')
([('08762243', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08731148'), ('08731148', '_instance_hypernym', '08524735')], '08524735')
([('08727396', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08762104'), ('08762104', '_instance_hypernym', '08524735')], '08524735')
([('09140148', '¬_has_part', '09050730'), ('09050730', '_has_part', '09103943'), ('09103943', '_instance_hypernym', '08655464')], '08655464')
([('09032604', '¬_has_part', '09031653'), ('09031653', '_has_part', '09032483'), ('09032483', '_instance_hypernym', '08524735')], '08524735')
([('09173023', '¬_has_part', '09167767'), ('09167767', '_has_part', '09171674'), ('09171674', '_instance_hypernym', '08505573')], '08505573')
([('09131553', '¬_has_part', '09130076'), ('09130076', '_has_part', '09131205'), ('09131205', '_instance_hypernym', '08524735')], '08524735')
([('10837918', '_instance_hypernym', '09921792'), ('09921792', '¬_instance_hypernym', '11083064'), ('11083064', '_instance_hypernym', '10705615')], '10705615')
([('08762104', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08727003'), ('08727003', '_instance_hypernym', '08524735')], '08524735')
([('01295373', '¬_has_part', '01311520'), ('01311520', '_has_part', '01294791'), ('01294791', '_instance_hypernym', '00956485')], '00956485')
([('08794574', '¬_has_part', '08792548'), ('08792548', '_has_part', '08794366'), ('08794366', '_instance_hypernym', '08574314')], '08574314')
([('08728749', '¬_has_part', '08723006'), ('08723006', '_has_part', '08728595'), ('08728595', '_instance_hypernym', '08524735')], '08524735')
([('09155692', '¬_has_part', '09155306'), ('09155306', '_has_part', '09156889'), ('09156889', '_instance_hypernym', '08524735')], '08524735')
([('09142771', '¬_has_part', '09141526'), ('09141526', '_has_part', '09145851'), ('09145851', '_instance_hypernym', '08524735')], '08524735')
([('11295936', '_instance_hypernym', '10030277'), ('10030277', '_hypernym', '10794014'), ('10794014', '¬_hypernym', '09855433')], '10794014')
([('08838556', '¬_has_part', '09382990'), ('09382990', '_has_part', '08844279'), ('08844279', '_instance_hypernym', '09316454')], '09316454')
([('10818088', '_synset_domain_topic_of', '06453849'), ('06453849', '¬_synset_domain_topic_of', '11094055'), ('11094055', '_instance_hypernym', '10547145')], '10547145')
([('09009490', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09077821'), ('09077821', '_instance_hypernym', '08524735')], '08524735')
([('09034402', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08721145'), ('08721145', '_instance_hypernym', '08633957')], '08633957')
([('08563478', '¬_has_part', '08563180'), ('08563180', '_instance_hypernym', '08574314'), ('08574314', 'NO_OP', '08574314')], '08574314')
([('09326139', '¬_has_part', '09071690'), ('09071690', '_has_part', '09419783'), ('09419783', '_instance_hypernym', '09411430')], '09411430')
([('09094381', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09017005'), ('09017005', '_instance_hypernym', '08524735')], '08524735')
([('08857099', '¬_has_part', '08853741'), ('08853741', '_has_part', '08856793'), ('08856793', '_instance_hypernym', '08524735')], '08524735')
([('09030382', '¬_has_part', '09029457'), ('09029457', '_has_part', '09030596'), ('09030596', '_instance_hypernym', '08524735')], '08524735')
([('08022972', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08020785'), ('08020785', '_instance_hypernym', '08392137')], '08392137')
([('09131553', '¬_has_part', '09130076'), ('09130076', '_has_part', '09130452'), ('09130452', '_instance_hypernym', '08524735')], '08524735')
([('02688895', '¬_has_part', '08196230'), ('08196230', '_hypernym', '08337324'), ('08337324', '¬_hypernym', '08396537')], '08337324')
([('06433923', '¬_has_part', '06452601'), ('06452601', '_has_part', '06440102'), ('06440102', '_instance_hypernym', '06394865')], '06394865')
([('08798195', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09094381'), ('09094381', '_instance_hypernym', '08524735')], '08524735')
([('09178141', '¬_has_part', '09189411'), ('09189411', '_has_part', '08504375'), ('08504375', '_instance_hypernym', '08574314')], '08574314')
([('08994834', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08889400'), ('08889400', '_instance_hypernym', '08524735')], '08524735')
([('08987879', '¬_has_part', '08987423'), ('08987423', '_has_part', '08988216'), ('08988216', '_instance_hypernym', '09316454')], '09316454')
([('09084075', '¬_has_part', '09082540'), ('09082540', '_has_part', '09084196'), ('09084196', '_instance_hypernym', '08524735')], '08524735')
([('08926231', '¬_has_part', '08920924'), ('08920924', '_has_part', '08924238'), ('08924238', '_instance_hypernym', '08524735')], '08524735')
([('08937995', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08731148'), ('08731148', '_instance_hypernym', '08524735')], '08524735')
([('08877208', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '09025189'), ('09025189', '_instance_hypernym', '08633957')], '08633957')
([('09153710', '_instance_hypernym', '08638442'), ('08638442', '¬_instance_hypernym', '09058219'), ('09058219', '_instance_hypernym', '08665504')], '08665504')
([('09167767', '_has_part', '09171674'), ('09171674', '_instance_hypernym', '08505573'), ('08505573', '¬_instance_hypernym', '09170633')], '08505573')
([('08838556', '¬_has_part', '09382990'), ('09382990', '_has_part', '08844279'), ('08844279', '_instance_hypernym', '09316454')], '09316454')
([('09054480', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08924238'), ('08924238', '_instance_hypernym', '08524735')], '08524735')
([('10827155', '_instance_hypernym', '09921792'), ('09921792', '_hypernym', '10705615'), ('10705615', '¬_derivationally_related_form', '00631398')], '10705615')
([('08895497', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08956140'), ('08956140', '_instance_hypernym', '08633957')], '08633957')
([('09125354', '¬_has_part', '09117351'), ('09117351', '_has_part', '09124589'), ('09124589', '_instance_hypernym', '08524735')], '08524735')
([('09026614', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09008723'), ('09008723', '_instance_hypernym', '08524735')], '08524735')
([('08851034', '¬_has_part', '08849753'), ('08849753', '_has_part', '08851500'), ('08851500', '_instance_hypernym', '08524735')], '08524735')
([('09100690', '¬_has_part', '09099526'), ('09099526', '_has_part', '09100223'), ('09100223', '_instance_hypernym', '08524735')], '08524735')
([('08739669', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08766667'), ('08766667', '_instance_hypernym', '08524735')], '08524735')
([('08973330', '¬_has_part', '09189411'), ('09189411', '_has_part', '08959254'), ('08959254', '_instance_hypernym', '08698379')], '08698379')
([('09077111', '¬_has_part', '09075842'), ('09075842', '_has_part', '09077821'), ('09077821', '_instance_hypernym', '08524735')], '08524735')
([('10813986', '_instance_hypernym', '09818343'), ('09818343', '_hypernym', '10428004'), ('10428004', '¬_derivationally_related_form', '06090869')], '10428004')
([('09167767', '_has_part', '09171674'), ('09171674', '_instance_hypernym', '08505573'), ('08505573', '¬_instance_hypernym', '09168020')], '08505573')
([('11083064', '_instance_hypernym', '09921792'), ('09921792', '¬_instance_hypernym', '10815648'), ('10815648', '_instance_hypernym', '10547145')], '10547145')
([('15129220', '¬_has_part', '15128711'), ('15128711', '_has_part', '15128997'), ('15128997', '_instance_hypernym', '15243730')], '15243730')
([('11301414', '_instance_hypernym', '09798811'), ('09798811', '¬_instance_hypernym', '11231157'), ('11231157', '_instance_hypernym', '10547145')], '10547145')
([('08728595', '¬_has_part', '08723006'), ('08723006', '_has_part', '08728462'), ('08728462', '_instance_hypernym', '08524735')], '08524735')
([('09144730', '¬_has_part', '09141526'), ('09141526', '_has_part', '09145083'), ('09145083', '_instance_hypernym', '08524735')], '08524735')
([('08762104', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08773679'), ('08773679', '_instance_hypernym', '08524735')], '08524735')
([('08911602', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09107626'), ('09107626', '_instance_hypernym', '08524735')], '08524735')
([('09206375', '¬_has_part', '09087599'), ('09087599', '_has_part', '09323470'), ('09323470', '_instance_hypernym', '09411430')], '09411430')
([('09293917', '¬_has_part', '09201301'), ('09201301', '_has_part', '09453288'), ('09453288', '_instance_hypernym', '09403734')], '09403734')
([('08984122', '¬_has_part', '08982587'), ('08982587', '_has_part', '08983274'), ('08983274', '_instance_hypernym', '08524735')], '08524735')
([('09086173', '¬_has_part', '08564307'), ('08564307', '_has_part', '09087599'), ('09087599', '_instance_hypernym', '08655464')], '08655464')
([('01298797', '¬_has_part', '01301630'), ('01301630', '_has_part', '01290435'), ('01290435', '_instance_hypernym', '01075117')], '01075117')
([('08755852', '¬_has_part', '08756202'), ('08756202', '_has_part', '08756052'), ('08756052', '_instance_hypernym', '09316454')], '09316454')
([('08895497', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09008723'), ('09008723', '_instance_hypernym', '08524735')], '08524735')
([('08704822', '¬_has_part', '08713772'), ('08713772', '_has_part', '08961630'), ('08961630', '_instance_hypernym', '08698126')], '08698126')
([('09144117', '¬_has_part', '09141526'), ('09141526', '_has_part', '09146912'), ('09146912', '_instance_hypernym', '08524735')], '08524735')
([('10818088', '_instance_hypernym', '09798811'), ('09798811', '¬_instance_hypernym', '11164671'), ('11164671', '_instance_hypernym', '10547145')], '10547145')
([('08759986', '¬_has_part', '09189411'), ('09189411', '_has_part', '08945529'), ('08945529', '_instance_hypernym', '08698379')], '08698379')
([('09142674', '¬_has_part', '09141526'), ('09141526', '_has_part', '09146813'), ('09146813', '_instance_hypernym', '08524735')], '08524735')
([('08021785', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08392137'), ('08392137', '¬_instance_hypernym', '08010364')], '08392137')
([('09138538', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08786432'), ('08786432', '_instance_hypernym', '08524735')], '08524735')
([('09146813', '¬_has_part', '09141526'), ('09141526', '_has_part', '09145217'), ('09145217', '_instance_hypernym', '08524735')], '08524735')
([('08924913', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08856630'), ('08856630', '_instance_hypernym', '08524735')], '08524735')
([('09293917', '¬_has_part', '09201301'), ('09201301', '_has_part', '09224325'), ('09224325', '_instance_hypernym', '09403734')], '09403734')
([('09408977', '¬_has_part', '09031653'), ('09031653', '_has_part', '09186064'), ('09186064', '_instance_hypernym', '09411430')], '09411430')
([('09172751', '¬_has_part', '09167767'), ('09167767', '_instance_hypernym', '08505573'), ('08505573', '¬_instance_hypernym', '09171560')], '08505573')
([('08983742', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08850741'), ('08850741', '_instance_hypernym', '08633957')], '08633957')
([('08815046', '_member_meronym', '09693100'), ('09693100', '¬_member_meronym', '08716219'), ('08716219', '_instance_hypernym', '08698379')], '08698379')
([('09131205', '¬_has_part', '09130076'), ('09130076', '_has_part', '09130883'), ('09130883', '_instance_hypernym', '08524735')], '08524735')
([('08022259', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08019523'), ('08019523', '_instance_hypernym', '08392137')], '08392137')
([('08937109', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09017005'), ('09017005', '_instance_hypernym', '08524735')], '08524735')
([('08706663', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '09107626'), ('09107626', '_instance_hypernym', '08633957')], '08633957')
([('09453887', '¬_has_part', '09053185'), ('09053185', '_has_part', '09459557'), ('09459557', '_instance_hypernym', '09411430')], '09411430')
([('15126595', '¬_has_part', '15126175'), ('15126175', '_has_part', '15126750'), ('15126750', '_instance_hypernym', '15247518')], '15247518')
([('08762243', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08721145'), ('08721145', '_instance_hypernym', '08524735')], '08524735')
([('08582613', '¬_has_part', '08588916'), ('08588916', '_hypernym', '08630039'), ('08630039', '¬_hypernym', '08509442')], '08630039')
([('09106770', '¬_has_part', '09105821'), ('09105821', '_has_part', '09107098'), ('09107098', '_instance_hypernym', '08524735')], '08524735')
([('10902934', '_instance_hypernym', '10123844'), ('10123844', '¬_instance_hypernym', '10895688'), ('10895688', '_instance_hypernym', '10650162')], '10650162')
([('08998560', '¬_has_part', '08999154'), ('08999154', '_has_part', '08777544'), ('08777544', '_instance_hypernym', '08698379')], '08698379')
([('08728268', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08856630'), ('08856630', '_instance_hypernym', '08524735')], '08524735')
([('09105821', '¬_has_part', '08564307'), ('08564307', '_has_part', '09082540'), ('09082540', '_instance_hypernym', '08655464')], '08655464')
([('15233047', '¬_has_part', '15232406'), ('15232406', '_has_part', '15232712'), ('15232712', '_instance_hypernym', '15113229')], '15113229')
([('08774704', '¬_has_part', '08766988'), ('08766988', '_has_part', '08772922'), ('08772922', '_instance_hypernym', '08524735')], '08524735')
([('08937995', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08971404'), ('08971404', '_instance_hypernym', '08524735')], '08524735')
([('08041840', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08037118'), ('08037118', '_synset_domain_topic_of', '00759694')], '00759694')
([('08987262', '_instance_hypernym', '08691669'), ('08691669', '¬_instance_hypernym', '09013353'), ('09013353', '_instance_hypernym', '08633957')], '08633957')
([('09043052', '¬_has_part', '09189411'), ('09189411', '_has_part', '09165613'), ('09165613', '_instance_hypernym', '08698379')], '08698379')
([('09069752', '¬_has_part', '09068444'), ('09068444', '_has_part', '09069415'), ('09069415', '_instance_hypernym', '08524735')], '08524735')
([('09162581', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08924913'), ('08924913', '_instance_hypernym', '08524735')], '08524735')
([('08960363', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08811473'), ('08811473', '_instance_hypernym', '08524735')], '08524735')
([('08857529', '¬_has_part', '08853741'), ('08853741', '_has_part', '08855609'), ('08855609', '_instance_hypernym', '08524735')], '08524735')
([('08974818', '¬_has_part', '08973776'), ('08973776', '_has_part', '08974604'), ('08974604', '_instance_hypernym', '08524735')], '08524735')
([('08773880', '¬_has_part', '08766988'), ('08766988', '_has_part', '08772794'), ('08772794', '_instance_hypernym', '08524735')], '08524735')
([('10837918', '_instance_hypernym', '10022111'), ('10022111', '¬_instance_hypernym', '10827155'), ('10827155', '_instance_hypernym', '10705615')], '10705615')
([('06433249', '¬_has_part', '06449735'), ('06449735', '_has_part', '06435916'), ('06435916', '_instance_hypernym', '06394865')], '06394865')
([('15128997', '¬_has_part', '15128711'), ('15128711', '_has_part', '15129220'), ('15129220', '_instance_hypernym', '15243730')], '15243730')
([('08997310', '¬_has_part', '09441107'), ('09441107', '_has_part', '08730354'), ('08730354', '_instance_hypernym', '09316454')], '09316454')
([('08960363', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08762104'), ('08762104', '_instance_hypernym', '08524735')], '08524735')
([('08986526', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08854855'), ('08854855', '_instance_hypernym', '08524735')], '08524735')
([('08726072', '¬_has_part', '08723006'), ('08723006', '_has_part', '08729971'), ('08729971', '_instance_hypernym', '08654360')], '08654360')
([('08766846', '¬_has_part', '08765890'), ('08765890', '_has_part', '08766455'), ('08766455', '_instance_hypernym', '08524735')], '08524735')
([('08019523', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08040762'), ('08040762', '_instance_hypernym', '08392137')], '08392137')
([('08728268', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08957993'), ('08957993', '_instance_hypernym', '08524735')], '08524735')
([('10941714', '_instance_hypernym', '10296176'), ('10296176', '¬_instance_hypernym', '11283300'), ('11283300', '_instance_hypernym', '10123844')], '10123844')
([('08729283', '¬_has_part', '08723006'), ('08723006', '_has_part', '08725161'), ('08725161', '_instance_hypernym', '08524735')], '08524735')
([('08971404', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09107626'), ('09107626', '_instance_hypernym', '08524735')], '08524735')
([('08706663', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08762243'), ('08762243', '_instance_hypernym', '08524735')], '08524735')
([('06440489', '¬_has_part', '06452601'), ('06452601', '_has_part', '06438748'), ('06438748', '_instance_hypernym', '06394865')], '06394865')
([('09036880', '_instance_hypernym', '08691669'), ('08691669', '¬_instance_hypernym', '09031061'), ('09031061', '_instance_hypernym', '08633957')], '08633957')
([('08856037', '¬_has_part', '08853741'), ('08853741', '_has_part', '08856266'), ('08856266', '_instance_hypernym', '08524735')], '08524735')
([('08807894', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08714966'), ('08714966', '_instance_hypernym', '08524735')], '08524735')
([('08771277', '¬_has_part', '08766988'), ('08766988', '_has_part', '08770274'), ('08770274', '_instance_hypernym', '08524735')], '08524735')
([('08766846', '¬_has_part', '08765890'), ('08765890', '_has_part', '08766571'), ('08766571', '_instance_hypernym', '08524735')], '08524735')
([('09077821', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08746475'), ('08746475', '_instance_hypernym', '08524735')], '08524735')
([('09340203', '¬_has_part', '09159003'), ('09159003', '_has_part', '09294066'), ('09294066', '_instance_hypernym', '09411430')], '09411430')
([('08969798', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08856037'), ('08856037', '_instance_hypernym', '08524735')], '08524735')
([('08934532', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08731148'), ('08731148', '_instance_hypernym', '08524735')], '08524735')
([('09030467', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08925957'), ('08925957', '_instance_hypernym', '08524735')], '08524735')
([('08011266', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08015731'), ('08015731', '_instance_hypernym', '08392137')], '08392137')
([('08983556', '¬_has_part', '08982587'), ('08982587', '_has_part', '08983413'), ('08983413', '_instance_hypernym', '08524735')], '08524735')
([('10878161', '_instance_hypernym', '10123844'), ('10123844', '¬_instance_hypernym', '10895688'), ('10895688', '_instance_hypernym', '10650162')], '10650162')
([('08936833', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08934694'), ('08934694', '_instance_hypernym', '08524735')], '08524735')
([('08934694', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08811473'), ('08811473', '_instance_hypernym', '08524735')], '08524735')
([('08971404', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08765623'), ('08765623', '_instance_hypernym', '08524735')], '08524735')
([('10972495', '_instance_hypernym', '10650162'), ('10650162', '¬_instance_hypernym', '10878161'), ('10878161', '_instance_hypernym', '10123844')], '10123844')
([('08987879', '¬_has_part', '08987423'), ('08987423', '_has_part', '08988216'), ('08988216', '_instance_hypernym', '09316454')], '09316454')
([('08925287', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08705251'), ('08705251', '_instance_hypernym', '08524735')], '08524735')
([('08012765', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08047032'), ('08047032', '_instance_hypernym', '08392137')], '08392137')
