WN18RR, _derivationally_related_form_WN18_generic_PPO_simple_embedding_100
([('02294436', '¬_derivationally_related_form', '01083504'), ('01083504', '_derivationally_related_form', '00081072'), ('00081072', '_derivationally_related_form', '13285714')], '13285714')
([('05804491', '¬_derivationally_related_form', '00695761'), ('00695761', '_derivationally_related_form', '05804491'), ('05804491', '¬_derivationally_related_form', '00695761')], '00695761')
([('01862918', '¬_hypernym', '02652922'), ('02652922', '_derivationally_related_form', '01056411'), ('01056411', '_derivationally_related_form', '02680814')], '01056411')
([('04751305', '¬_derivationally_related_form', '00437125'), ('00437125', '¬_hypernym', '00436879'), ('00436879', '_hypernym', '00437125')], '00437125')
([('10679054', 'NO_OP', '10679054'), ('10679054', '¬_derivationally_related_form', '01948077'), ('01948077', '¬_derivationally_related_form', '00445055')], '01948077')
([('11445395', '¬_derivationally_related_form', '01988755'), ('01988755', 'NO_OP', '01988755'), ('01988755', '¬_derivationally_related_form', '11445395')], '01988755')
([('09439213', '¬_derivationally_related_form', '00511855'), ('00511855', '_hypernym', '01617192'), ('01617192', '¬_hypernym', '01619354')], '00511855')
([('10282920', '¬_derivationally_related_form', '01031256'), ('01031256', '_derivationally_related_form', '00121166'), ('00121166', '¬_derivationally_related_form', '01437254')], '01031256')
([('02109818', '¬_derivationally_related_form', '00219575'), ('00219575', '_hypernym', '00219012'), ('00219012', '¬_derivationally_related_form', '01323958')], '00219575')
([('10211203', '¬_derivationally_related_form', '02446819'), ('02446819', '_derivationally_related_form', '10211203'), ('10211203', '¬_derivationally_related_form', '00593837')], '00593837')
([('10754281', 'NO_OP', '10754281'), ('10754281', '¬_derivationally_related_form', '02579447'), ('02579447', '_derivationally_related_form', '04850996')], '02579447')
([('01589363', '¬_derivationally_related_form', '06843520'), ('06843520', '_derivationally_related_form', '01589224'), ('01589224', '_derivationally_related_form', '06843520')], '06843520')
([('03838899', '_hypernym', '03228016'), ('03228016', '¬_hypernym', '03838899'), ('03838899', '¬_derivationally_related_form', '10369317')], '10369317')
([('13503673', '¬_derivationally_related_form', '00655378'), ('00655378', '¬_derivationally_related_form', '13503673'), ('13503673', '¬_derivationally_related_form', '00655378')], '00655378')
([('04080454', '¬_derivationally_related_form', '02175958'), ('02175958', '¬_derivationally_related_form', '04988258'), ('04988258', '_derivationally_related_form', '02175958')], '02175958')
([('01967792', '¬_derivationally_related_form', '00277569'), ('00277569', '_derivationally_related_form', '01976220'), ('01976220', 'NO_OP', '01976220')], '00277569')
([('05119837', 'NO_OP', '05119837'), ('05119837', '¬_derivationally_related_form', '02356704'), ('02356704', '¬_derivationally_related_form', '05119837')], '02356704')
([('00619183', '¬_derivationally_related_form', '00992331'), ('00992331', '¬_derivationally_related_form', '00619183'), ('00619183', '¬_derivationally_related_form', '15160579')], '00992331')
([('01157850', '¬_derivationally_related_form', '01097500'), ('01097500', '¬_derivationally_related_form', '15293590'), ('15293590', 'NO_OP', '15293590')], '01097500')
([('07313636', '¬_derivationally_related_form', '00069879'), ('00069879', '¬_hypernym', '01608508'), ('01608508', '_derivationally_related_form', '14286885')], '00069879')
([('01301051', '¬_derivationally_related_form', '10525134'), ('10525134', 'NO_OP', '10525134'), ('10525134', '_derivationally_related_form', '02441022')], '10525134')
([('02036339', '_hypernym', '02035919'), ('02035919', '¬_hypernym', '02036339'), ('02036339', '¬_derivationally_related_form', '13864965')], '13864965')
([('02420991', '¬_derivationally_related_form', '10745332'), ('10745332', '¬_derivationally_related_form', '02541138'), ('02541138', '_derivationally_related_form', '10745332')], '10745332')
([('00067545', '¬_derivationally_related_form', '10418735'), ('10418735', '_hypernym', '00007846'), ('00007846', '_derivationally_related_form', '00727573')], '10418735')
([('01152396', '¬_derivationally_related_form', '00125629'), ('00125629', '¬_hypernym', '00128477'), ('00128477', '_derivationally_related_form', '01408297')], '00125629')
([('10140783', '¬_derivationally_related_form', '00658052'), ('00658052', '¬_derivationally_related_form', '01010334'), ('01010334', '_hypernym', '01009871')], '00658052')
([('01267475', '_hypernym', '01267098'), ('01267098', '¬_hypernym', '01267475'), ('01267475', '¬_derivationally_related_form', '09933098')], '09933098')
([('10594408', 'NO_OP', '10594408'), ('10594408', '¬_derivationally_related_form', '01917549'), ('01917549', '_derivationally_related_form', '10594408')], '01917549')
([('01388813', '_verb_group', '01389007'), ('01389007', 'NO_OP', '01389007'), ('01389007', '¬_derivationally_related_form', '14082595')], '14082595')
([('02658979', '¬_derivationally_related_form', '13841651'), ('13841651', 'NO_OP', '13841651'), ('13841651', '¬_derivationally_related_form', '02658979')], '13841651')
([('05723417', '¬_derivationally_related_form', '02120140'), ('02120140', '_hypernym', '02121188'), ('02121188', '_derivationally_related_form', '14180327')], '02120140')
([('10442815', '¬_derivationally_related_form', '01741864'), ('01741864', '¬_derivationally_related_form', '10442815'), ('10442815', 'NO_OP', '10442815')], '01741864')
([('01204419', '¬_derivationally_related_form', '02457233'), ('02457233', '_derivationally_related_form', '01228877'), ('01228877', 'NO_OP', '01228877')], '02457233')
([('00565279', '¬_derivationally_related_form', '14730553'), ('14730553', '_hypernym', '15026716'), ('15026716', 'NO_OP', '15026716')], '14730553')
([('00553616', '¬_derivationally_related_form', '13564215'), ('13564215', '_derivationally_related_form', '00553616'), ('00553616', '_hypernym', '00394813')], '13564215')
([('05153520', '¬_derivationally_related_form', '00510050'), ('00510050', 'NO_OP', '00510050'), ('00510050', '¬_also_see', '02225510')], '00510050')
([('00758459', '¬_derivationally_related_form', '04842029'), ('04842029', '¬_derivationally_related_form', '00758459'), ('00758459', '_derivationally_related_form', '10014658')], '04842029')
([('04123567', '¬_derivationally_related_form', '02717362'), ('02717362', '_hypernym', '01985524'), ('01985524', '_derivationally_related_form', '13905572')], '02717362')
([('10731013', '¬_derivationally_related_form', '11349318'), ('11349318', '_derivationally_related_form', '10731013'), ('10731013', '_hypernym', '10503452')], '11349318')
([('00017674', '¬_derivationally_related_form', '10026976'), ('10026976', '_hypernym', '10723300'), ('10723300', '_hypernym', '10744544')], '10026976')
([('01223833', '¬_derivationally_related_form', '13877918'), ('13877918', '_derivationally_related_form', '01223182'), ('01223182', '¬_hypernym', '01349130')], '13877918')
([('10484526', '¬_derivationally_related_form', '00706243'), ('00706243', '¬_derivationally_related_form', '10484526'), ('10484526', '_derivationally_related_form', '00879356')], '00706243')
([('04636397', '¬_derivationally_related_form', '00039592'), ('00039592', '¬_derivationally_related_form', '04635631'), ('04635631', 'NO_OP', '04635631')], '00039592')
([('04768028', 'NO_OP', '04768028'), ('04768028', '¬_derivationally_related_form', '02019021'), ('02019021', '¬_derivationally_related_form', '04768028')], '02019021')
([('14359952', '¬_derivationally_related_form', '02195191'), ('02195191', '¬_derivationally_related_form', '14359952'), ('14359952', '¬_hypernym', '14203346')], '02195191')
([('02184797', '¬_derivationally_related_form', '07396945'), ('07396945', '¬_derivationally_related_form', '02184797'), ('02184797', '_hypernym', '01058224')], '07396945')
([('05977340', '¬_derivationally_related_form', '09848285'), ('09848285', '¬_derivationally_related_form', '08098499'), ('08098499', 'NO_OP', '08098499')], '09848285')
([('02036339', '¬_derivationally_related_form', '13864965'), ('13864965', '¬_hypernym', '13908021'), ('13908021', '_hypernym', '13864965')], '13864965')
([('01254013', '_derivationally_related_form', '14286549'), ('14286549', '_derivationally_related_form', '01254013'), ('01254013', '¬_derivationally_related_form', '14799244')], '14799244')
([('09941383', 'NO_OP', '09941383'), ('09941383', '¬_derivationally_related_form', '02441022'), ('02441022', '_derivationally_related_form', '09780828')], '02441022')
([('01457954', 'NO_OP', '01457954'), ('01457954', '¬_derivationally_related_form', '00191980'), ('00191980', '¬_derivationally_related_form', '01457954')], '00191980')
([('01144355', '¬_derivationally_related_form', '00795264'), ('00795264', '¬_derivationally_related_form', '01144355'), ('01144355', '_hypernym', '01144133')], '00795264')
([('00531302', '¬_derivationally_related_form', '07335414'), ('07335414', '¬_derivationally_related_form', '00531302'), ('00531302', '¬_derivationally_related_form', '07335414')], '07335414')
([('00852685', '¬_derivationally_related_form', '06780309'), ('06780309', 'NO_OP', '06780309'), ('06780309', 'NO_OP', '06780309')], '06780309')
([('14403282', '_derivationally_related_form', '01770501'), ('01770501', '_derivationally_related_form', '14403282'), ('14403282', '¬_derivationally_related_form', '01790020')], '01790020')
([('02706605', '¬_derivationally_related_form', '07385803'), ('07385803', '_derivationally_related_form', '02706605'), ('02706605', 'NO_OP', '02706605')], '07385803')
([('11492014', '¬_derivationally_related_form', '00487554'), ('00487554', '_synset_domain_topic_of', '06090869'), ('06090869', '¬_synset_domain_topic_of', '00399074')], '00487554')
([('01890626', 'NO_OP', '01890626'), ('01890626', '¬_derivationally_related_form', '01754876'), ('01754876', '_derivationally_related_form', '01890626')], '01754876')
([('10214062', '¬_derivationally_related_form', '02019716'), ('02019716', '_derivationally_related_form', '10214062'), ('10214062', '_derivationally_related_form', '01126360')], '02019716')
([('04980008', '¬_derivationally_related_form', '02125223'), ('02125223', 'NO_OP', '02125223'), ('02125223', '_derivationally_related_form', '05714161')], '02125223')
([('04907575', '¬_derivationally_related_form', '01091844'), ('01091844', '¬_derivationally_related_form', '04907575'), ('04907575', 'NO_OP', '04907575')], '01091844')
([('01249991', '¬_derivationally_related_form', '01113806'), ('01113806', '¬_derivationally_related_form', '00057486'), ('00057486', '¬_derivationally_related_form', '01994442')], '01113806')
([('00648977', '¬_derivationally_related_form', '05789432'), ('05789432', '_derivationally_related_form', '00648977'), ('00648977', '¬_derivationally_related_form', '04892084')], '04892084')
([('01880531', '¬_derivationally_related_form', '04901326'), ('04901326', '¬_hypernym', '04902470'), ('04902470', '_hypernym', '04901326')], '04901326')
([('04761212', '¬_derivationally_related_form', '00625393'), ('00625393', '¬_also_see', '00626800'), ('00626800', '_also_see', '00625393')], '00625393')
([('00597265', '¬_derivationally_related_form', '00596807'), ('00596807', '_derivationally_related_form', '10468962'), ('10468962', '¬_derivationally_related_form', '02440020')], '00596807')
([('02817339', '¬_derivationally_related_form', '05814291'), ('05814291', '¬_hypernym', '05815517'), ('05815517', 'NO_OP', '05815517')], '05814291')
([('01609287', '_derivationally_related_form', '00114431'), ('00114431', '_derivationally_related_form', '01505254'), ('01505254', '_derivationally_related_form', '11498040')], '11498040')
([('14997012', '¬_derivationally_related_form', '00332154'), ('00332154', '¬_derivationally_related_form', '14997012'), ('14997012', '¬_derivationally_related_form', '00332154')], '00332154')
([('00283568', '¬_hypernym', '00290579'), ('00290579', '_hypernym', '00283568'), ('00283568', '¬_derivationally_related_form', '01904930')], '01904930')
([('01389329', '¬_derivationally_related_form', '00616083'), ('00616083', '_derivationally_related_form', '01389329'), ('01389329', '_hypernym', '01527271')], '00616083')
([('05772356', '¬_derivationally_related_form', '00632627'), ('00632627', 'NO_OP', '00632627'), ('00632627', 'NO_OP', '00632627')], '00632627')
([('02141973', '_derivationally_related_form', '06890846'), ('06890846', '¬_derivationally_related_form', '02141973'), ('02141973', '¬_derivationally_related_form', '06889330')], '06889330')
([('00630223', '¬_derivationally_related_form', '05807306'), ('05807306', '_derivationally_related_form', '00630223'), ('00630223', '_hypernym', '00628491')], '05807306')
([('03074855', '_has_part', '04452848'), ('04452848', '¬_has_part', '03075097'), ('03075097', '_derivationally_related_form', '00038365')], '00038365')
([('06125698', '¬_derivationally_related_form', '10312077'), ('10312077', '¬_derivationally_related_form', '06125698'), ('06125698', '_hypernym', '05999797')], '10312077')
([('00655779', '¬_also_see', '00650577'), ('00650577', '¬_derivationally_related_form', '14451672'), ('14451672', '_derivationally_related_form', '00650577')], '14451672')
([('10439629', '¬_derivationally_related_form', '05974564'), ('05974564', '¬_derivationally_related_form', '10439629'), ('10439629', '¬_derivationally_related_form', '05974564')], '05974564')
([('00082241', '_also_see', '00156101'), ('00156101', '¬_also_see', '00082241'), ('00082241', '¬_derivationally_related_form', '04837232')], '04837232')
([('10167565', '_derivationally_related_form', '00907800'), ('00907800', '_derivationally_related_form', '10167565'), ('10167565', '¬_derivationally_related_form', '01803380')], '01803380')
([('08961402', '¬_has_part', '08960987'), ('08960987', '_derivationally_related_form', '09721244'), ('09721244', '_hypernym', '09686536')], '09721244')
([('09979072', '¬_derivationally_related_form', '00826509'), ('00826509', '¬_derivationally_related_form', '05734018'), ('05734018', '_derivationally_related_form', '00855512')], '00826509')
([('00380698', '¬_derivationally_related_form', '13783816'), ('13783816', '¬_hypernym', '13786187'), ('13786187', '_hypernym', '13783816')], '13783816')
([('07128692', '¬_derivationally_related_form', '00978549'), ('00978549', '_derivationally_related_form', '09811712'), ('09811712', '_derivationally_related_form', '00978549')], '00978549')
([('00811171', '¬_derivationally_related_form', '02828648'), ('02828648', '¬_derivationally_related_form', '00811171'), ('00811171', '¬_derivationally_related_form', '02828648')], '02828648')
([('04190464', 'NO_OP', '04190464'), ('04190464', 'NO_OP', '04190464'), ('04190464', '¬_derivationally_related_form', '01135922')], '01135922')
([('10275249', '¬_derivationally_related_form', '08891889'), ('08891889', '¬_has_part', '08890097'), ('08890097', '¬_has_part', '09275473')], '08891889')
([('01449796', '¬_derivationally_related_form', '05021151'), ('05021151', '_derivationally_related_form', '01449796'), ('01449796', '_also_see', '00804476')], '05021151')
([('01137987', '¬_derivationally_related_form', '02433381'), ('02433381', '_derivationally_related_form', '01137987'), ('01137987', '¬_derivationally_related_form', '02433123')], '02433123')
([('02850826', '¬_derivationally_related_form', '10170989'), ('10170989', '_hypernym', '10595647'), ('10595647', '¬_derivationally_related_form', '00065639')], '10170989')
([('01037910', '¬_derivationally_related_form', '10787197'), ('10787197', '¬_derivationally_related_form', '01037910'), ('01037910', '_hypernym', '00962447')], '10787197')
([('00025654', '¬_derivationally_related_form', '04072811'), ('04072811', '_derivationally_related_form', '00025654'), ('00025654', '¬_derivationally_related_form', '09407043')], '04072811')
([('02192992', '¬_derivationally_related_form', '05658226'), ('05658226', '¬_derivationally_related_form', '02194495'), ('02194495', '_derivationally_related_form', '05715283')], '05715283')
([('00341285', 'NO_OP', '00341285'), ('00341285', 'NO_OP', '00341285'), ('00341285', '¬_derivationally_related_form', '05701363')], '05701363')
([('02061069', '¬_derivationally_related_form', '00865471'), ('00865471', '_hypernym', '00867357'), ('00867357', '_derivationally_related_form', '02243567')], '00865471')
([('06399631', '¬_derivationally_related_form', '01328705'), ('01328705', '_derivationally_related_form', '00371846'), ('00371846', 'NO_OP', '00371846')], '01328705')
([('00420877', 'NO_OP', '00420877'), ('00420877', '¬_derivationally_related_form', '01444326'), ('01444326', 'NO_OP', '01444326')], '01444326')
([('09714952', '¬_hypernym', '09715165'), ('09715165', '_hypernym', '09714952'), ('09714952', '¬_derivationally_related_form', '08888676')], '08888676')
([('02498716', '¬_hypernym', '02498987'), ('02498987', '¬_derivationally_related_form', '13301328'), ('13301328', '_derivationally_related_form', '02498987')], '13301328')
([('00474762', '¬_derivationally_related_form', '10514784'), ('10514784', '¬_derivationally_related_form', '00474017'), ('00474017', '¬_derivationally_related_form', '10514784')], '10514784')
([('01155687', '¬_derivationally_related_form', '00430140'), ('00430140', '¬_derivationally_related_form', '01138523'), ('01138523', '_derivationally_related_form', '10118844')], '00430140')
([('02485451', '¬_hypernym', '02485631'), ('02485631', '_hypernym', '02485451'), ('02485451', '¬_derivationally_related_form', '01164874')], '01164874')
([('02726717', '¬_derivationally_related_form', '10184290'), ('10184290', '_derivationally_related_form', '02726717'), ('02726717', '¬_derivationally_related_form', '10184290')], '10184290')
([('09680657', 'NO_OP', '09680657'), ('09680657', '¬_derivationally_related_form', '02921753'), ('02921753', 'NO_OP', '02921753')], '02921753')
([('05807306', '¬_derivationally_related_form', '00630223'), ('00630223', '_hypernym', '00628491'), ('00628491', '¬_hypernym', '00732224')], '00630223')
([('03532342', '¬_derivationally_related_form', '01672490'), ('01672490', '¬_derivationally_related_form', '03532342'), ('03532342', '_has_part', '02790322')], '01672490')
([('02861617', '¬_derivationally_related_form', '03931044'), ('03931044', '¬_hypernym', '03375956'), ('03375956', 'NO_OP', '03375956')], '03931044')
([('02699141', '_derivationally_related_form', '05937524'), ('05937524', '_derivationally_related_form', '02699141'), ('02699141', '¬_derivationally_related_form', '05840188')], '05840188')
([('06379568', '¬_derivationally_related_form', '01802219'), ('01802219', '_hypernym', '01802494'), ('01802494', '¬_hypernym', '01802219')], '01802219')
([('07295047', 'NO_OP', '07295047'), ('07295047', '¬_derivationally_related_form', '00344174'), ('00344174', '¬_derivationally_related_form', '13512036')], '00344174')
([('10746931', '¬_derivationally_related_form', '01966168'), ('01966168', '_hypernym', '01963942'), ('01963942', '_also_see', '02674564')], '01966168')
([('00038365', '¬_derivationally_related_form', '03074855'), ('03074855', 'NO_OP', '03074855'), ('03074855', '_has_part', '04452848')], '03074855')
([('00884317', '_derivationally_related_form', '10482054'), ('10482054', '_derivationally_related_form', '00884317'), ('00884317', '¬_derivationally_related_form', '05950733')], '05950733')
([('01754105', 'NO_OP', '01754105'), ('01754105', '¬_derivationally_related_form', '03999992'), ('03999992', '_derivationally_related_form', '01754105')], '03999992')
([('10773126', 'NO_OP', '10773126'), ('10773126', '¬_derivationally_related_form', '00066191'), ('00066191', '_derivationally_related_form', '00868196')], '00066191')
([('04192698', '¬_derivationally_related_form', '01130169'), ('01130169', '_derivationally_related_form', '09614684'), ('09614684', '¬_derivationally_related_form', '01129876')], '01130169')
([('00866606', '¬_derivationally_related_form', '02116568'), ('02116568', '_derivationally_related_form', '00866606'), ('00866606', 'NO_OP', '00866606')], '02116568')
([('09884133', '¬_derivationally_related_form', '01322854'), ('01322854', '_derivationally_related_form', '00620424'), ('00620424', '_has_part', '00223854')], '01322854')
([('04121511', 'NO_OP', '04121511'), ('04121511', '¬_derivationally_related_form', '01326730'), ('01326730', '_hypernym', '01323958')], '01326730')
([('11498040', '¬_derivationally_related_form', '01609287'), ('01609287', '_derivationally_related_form', '11498040'), ('11498040', '_derivationally_related_form', '01505254')], '01609287')
([('02443609', 'NO_OP', '02443609'), ('02443609', '¬_derivationally_related_form', '10467179'), ('10467179', '_derivationally_related_form', '15266265')], '10467179')
([('10336537', '¬_derivationally_related_form', '00934744'), ('00934744', '_hypernym', '00933821'), ('00933821', '¬_derivationally_related_form', '07213395')], '00934744')
([('09801533', 'NO_OP', '09801533'), ('09801533', '¬_derivationally_related_form', '01228530'), ('01228530', 'NO_OP', '01228530')], '01228530')
([('02116568', '_verb_group', '02116777'), ('02116777', 'NO_OP', '02116777'), ('02116777', '_derivationally_related_form', '00866606')], '00866606')
([('02666531', '¬_hypernym', '02666691'), ('02666691', '_derivationally_related_form', '03118539'), ('03118539', '¬_hypernym', '04136997')], '03118539')
([('00554541', '¬_derivationally_related_form', '02723016'), ('02723016', '_derivationally_related_form', '07516997'), ('07516997', '¬_derivationally_related_form', '01796033')], '02723016')
([('00295701', '¬_derivationally_related_form', '01845720'), ('01845720', '_verb_group', '01846916'), ('01846916', '¬_verb_group', '01845720')], '01846916')
([('02468965', '¬_derivationally_related_form', '08674970'), ('08674970', '_hypernym', '08673395'), ('08673395', '¬_hypernym', '08684294')], '08674970')
([('00370412', '¬_derivationally_related_form', '05015463'), ('05015463', '_derivationally_related_form', '01252566'), ('01252566', '_derivationally_related_form', '00414409')], '05015463')
([('02641957', '_hypernym', '02641463'), ('02641463', '¬_derivationally_related_form', '15272029'), ('15272029', '¬_derivationally_related_form', '02643574')], '15272029')
([('00620379', 'NO_OP', '00620379'), ('00620379', '¬_derivationally_related_form', '06785367'), ('06785367', 'NO_OP', '06785367')], '06785367')
([('09941571', '¬_derivationally_related_form', '00751887'), ('00751887', '_derivationally_related_form', '09941571'), ('09941571', '_synset_domain_topic_of', '08199025')], '00751887')
([('00284798', '_derivationally_related_form', '01882170'), ('01882170', '¬_derivationally_related_form', '04544979'), ('04544979', '¬_derivationally_related_form', '01912893')], '01912893')
([('00598767', '¬_derivationally_related_form', '10265532'), ('10265532', '_derivationally_related_form', '00598767'), ('00598767', 'NO_OP', '00598767')], '10265532')
([('02733187', '¬_derivationally_related_form', '05556943'), ('05556943', '_has_part', '05604434'), ('05604434', '¬_has_part', '05556943')], '05556943')
([('10773394', '¬_derivationally_related_form', '01974062'), ('01974062', '¬_also_see', '02077656'), ('02077656', '_also_see', '02157100')], '01974062')
([('14574846', '¬_derivationally_related_form', '02149302'), ('02149302', '_derivationally_related_form', '06709692'), ('06709692', '¬_derivationally_related_form', '02149302')], '02149302')
([('00113726', '¬_derivationally_related_form', '01871680'), ('01871680', '_derivationally_related_form', '00113726'), ('00113726', '_hypernym', '00112312')], '01871680')
([('01012561', 'NO_OP', '01012561'), ('01012561', '¬_derivationally_related_form', '00153961'), ('00153961', '_derivationally_related_form', '00667224')], '00153961')
([('00651935', '¬_derivationally_related_form', '14033587'), ('14033587', '_derivationally_related_form', '00651935'), ('00651935', 'NO_OP', '00651935')], '14033587')
([('00878136', 'NO_OP', '00878136'), ('00878136', 'NO_OP', '00878136'), ('00878136', '¬_derivationally_related_form', '06731510')], '06731510')
([('01518924', '¬_derivationally_related_form', '04568298'), ('04568298', '_derivationally_related_form', '01673891'), ('01673891', '¬_hypernym', '01674717')], '04568298')
([('04954683', '¬_derivationally_related_form', '01119421'), ('01119421', '¬_derivationally_related_form', '04953954'), ('04953954', '_derivationally_related_form', '02763283')], '01119421')
([('01145612', '¬_derivationally_related_form', '01605630'), ('01605630', '¬_hypernym', '01606177'), ('01606177', 'NO_OP', '01606177')], '01605630')
([('02909870', '¬_derivationally_related_form', '01502441'), ('01502441', '¬_derivationally_related_form', '02909870'), ('02909870', '_derivationally_related_form', '01433042')], '01502441')
([('10481268', '¬_derivationally_related_form', '00994076'), ('00994076', '¬_derivationally_related_form', '06254239'), ('06254239', '_hypernym', '06253690')], '00994076')
([('00256961', '¬_derivationally_related_form', '00038365'), ('00038365', '_hypernym', '00040353'), ('00040353', '¬_derivationally_related_form', '00828237')], '00038365')
([('02157100', '¬_derivationally_related_form', '10480018'), ('10480018', '_derivationally_related_form', '02157100'), ('02157100', '¬_derivationally_related_form', '10480018')], '10480018')
([('09817816', '¬_derivationally_related_form', '05778131'), ('05778131', '¬_derivationally_related_form', '09817816'), ('09817816', 'NO_OP', '09817816')], '05778131')
([('00804002', '¬_derivationally_related_form', '06471345'), ('06471345', '_hypernym', '06470073'), ('06470073', '¬_hypernym', '06675122')], '06471345')
([('00932624', '¬_derivationally_related_form', '02084104'), ('02084104', '¬_derivationally_related_form', '00932624'), ('00932624', '¬_derivationally_related_form', '00532607')], '02084104')
([('09904837', 'NO_OP', '09904837'), ('09904837', '¬_derivationally_related_form', '06214379'), ('06214379', '¬_derivationally_related_form', '09904837')], '06214379')
([('10265070', '¬_derivationally_related_form', '02398956'), ('02398956', 'NO_OP', '02398956'), ('02398956', '_derivationally_related_form', '10265070')], '02398956')
([('05133535', '¬_derivationally_related_form', '00317888'), ('00317888', '_verb_group', '00235110'), ('00235110', '_verb_group', '00318326')], '00317888')
([('01901783', '¬_derivationally_related_form', '07439284'), ('07439284', '_derivationally_related_form', '02093610'), ('02093610', '¬_derivationally_related_form', '07439284')], '07439284')
([('02001252', '_derivationally_related_form', '10486679'), ('10486679', '_derivationally_related_form', '02001252'), ('02001252', '¬_derivationally_related_form', '00711523')], '00711523')
([('00196024', '¬_derivationally_related_form', '01262441'), ('01262441', '_derivationally_related_form', '00196024'), ('00196024', 'NO_OP', '00196024')], '01262441')
([('10511239', 'NO_OP', '10511239'), ('10511239', 'NO_OP', '10511239'), ('10511239', '¬_derivationally_related_form', '00204585')], '00204585')
([('04743605', '¬_derivationally_related_form', '01409581'), ('01409581', '_derivationally_related_form', '04744814'), ('04744814', 'NO_OP', '04744814')], '01409581')
([('03182232', '¬_derivationally_related_form', '00306723'), ('00306723', '_derivationally_related_form', '03182232'), ('03182232', '¬_derivationally_related_form', '00306723')], '00306723')
([('05808218', '¬_derivationally_related_form', '00598954'), ('00598954', '¬_derivationally_related_form', '05808218'), ('05808218', '_derivationally_related_form', '02128066')], '00598954')
([('00855933', '¬_derivationally_related_form', '10009671'), ('10009671', '¬_hypernym', '10336537'), ('10336537', '_hypernym', '10009671')], '10009671')
([('10421956', '¬_derivationally_related_form', '01089483'), ('01089483', 'NO_OP', '01089483'), ('01089483', '_derivationally_related_form', '10421956')], '01089483')
([('10693824', '_derivationally_related_form', '08378356'), ('08378356', '_derivationally_related_form', '03018498'), ('03018498', '¬_derivationally_related_form', '06153186')], '06153186')
([('07963987', '¬_derivationally_related_form', '01462005'), ('01462005', '_derivationally_related_form', '07963987'), ('07963987', '_hypernym', '07963711')], '01462005')
([('14526182', '¬_hypernym', '14526635'), ('14526635', '_hypernym', '14526182'), ('14526182', '¬_derivationally_related_form', '00193130')], '00193130')
([('01504480', '¬_derivationally_related_form', '00789391'), ('00789391', '¬_derivationally_related_form', '01472807'), ('01472807', '¬_derivationally_related_form', '05953416')], '00789391')
([('08070850', '¬_derivationally_related_form', '02216083'), ('02216083', '_hypernym', '02327200'), ('02327200', '¬_hypernym', '02330247')], '02216083')
([('01126846', '¬_derivationally_related_form', '00954086'), ('00954086', '_derivationally_related_form', '01522716'), ('01522716', '_derivationally_related_form', '00954086')], '00954086')
([('00706975', '¬_derivationally_related_form', '05908882'), ('05908882', 'NO_OP', '05908882'), ('05908882', '_synset_domain_topic_of', '06148148')], '05908882')
([('02354112', '¬_derivationally_related_form', '06491786'), ('06491786', '_derivationally_related_form', '02354112'), ('02354112', '¬_derivationally_related_form', '01013156')], '06491786')
([('10418101', '¬_derivationally_related_form', '02698944'), ('02698944', '¬_derivationally_related_form', '05217859'), ('05217859', '_hypernym', '00019128')], '02698944')
([('13458019', '_derivationally_related_form', '00399553'), ('00399553', '¬_derivationally_related_form', '14560926'), ('14560926', '¬_derivationally_related_form', '00209837')], '00209837')
([('01168468', '_verb_group', '01166351'), ('01166351', '¬_derivationally_related_form', '10042300'), ('10042300', '¬_hypernym', '10010864')], '10042300')
([('06796119', '¬_derivationally_related_form', '01273814'), ('01273814', '_hypernym', '01356370'), ('01356370', '¬_hypernym', '01591621')], '01273814')
([('00626800', '¬_derivationally_related_form', '04760771'), ('04760771', '¬_hypernym', '04759849'), ('04759849', '¬_derivationally_related_form', '00013160')], '04760771')
([('14414715', '¬_derivationally_related_form', '00494269'), ('00494269', '_derivationally_related_form', '14414715'), ('14414715', 'NO_OP', '14414715')], '00494269')
([('09827683', '¬_derivationally_related_form', '14427239'), ('14427239', '¬_derivationally_related_form', '09827683'), ('09827683', '¬_derivationally_related_form', '15145586')], '14427239')
([('13913566', '¬_derivationally_related_form', '02144644'), ('02144644', '¬_derivationally_related_form', '13913566'), ('13913566', '¬_derivationally_related_form', '01659248')], '02144644')
([('05017230', 'NO_OP', '05017230'), ('05017230', '¬_derivationally_related_form', '01746605'), ('01746605', '¬_derivationally_related_form', '00591519')], '01746605')
([('01211339', '¬_derivationally_related_form', '02554922'), ('02554922', '¬_derivationally_related_form', '10482220'), ('10482220', '_derivationally_related_form', '00976653')], '02554922')
([('10020366', '¬_derivationally_related_form', '02490634'), ('02490634', '_hypernym', '02431320'), ('02431320', '¬_hypernym', '00353639')], '02490634')
([('01360899', '¬_hypernym', '01361561'), ('01361561', '_hypernym', '01360899'), ('01360899', '¬_derivationally_related_form', '14828683')], '14828683')
([('01219706', '¬_derivationally_related_form', '02886599'), ('02886599', '¬_hypernym', '03471779'), ('03471779', '_hypernym', '02886599')], '02886599')
([('02430191', '¬_derivationally_related_form', '01081456'), ('01081456', '_derivationally_related_form', '02430191'), ('02430191', '_hypernym', '02589245')], '01081456')
([('01916214', '¬_derivationally_related_form', '02000954'), ('02000954', '¬_hypernym', '02008041'), ('02008041', 'NO_OP', '02008041')], '02000954')
