FB15K-237, film_genre_FB_PPO_distance_22
([('/m/04jwjq', '/award/award_winning_work/awards_won./award/award_honor/award_winner', '/m/099ks0'), ('/m/099ks0', '/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/01p3ty'), ('/m/01p3ty', '/film/film/genre', '/m/03q4nz')], '/m/03q4nz')
([('/m/0btbyn', '¬/media_common/netflix_genre/titles', '/m/0c3351'), ('/m/0c3351', '/media_common/netflix_genre/titles', '/m/0jymd'), ('/m/0jymd', '/film/film/cinematography', '/m/070bjw')], '/m/0c3351')
([('/m/047myg9', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/09z2b7'), ('/m/09z2b7', '¬/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/0l99s')], '/m/04xvlr')
([('/m/0c3ybss', '¬/media_common/netflix_genre/titles', '/m/03npn'), ('/m/03npn', '¬/film/film/genre', '/m/0g68zt'), ('/m/0g68zt', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/02ppm4q')], '/m/03npn')
([('/m/07vn_9', '/film/film/genre', '/m/01jfsb'), ('/m/01jfsb', '/media_common/netflix_genre/titles', '/m/0qmhk'), ('/m/0qmhk', '/film/film/genre', '/m/03g3w')], '/m/03g3w')
([('/m/0320fn', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/0gmcwlb'), ('/m/0gmcwlb', '/film/film/film_festivals', '/m/0gg7gsl')], '/m/07s9rl0')
([('/m/0_b9f', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/02r22gf'), ('/m/02r22gf', '/award/award_category/nominees./award/award_nomination/nominated_for', '/m/01kqq7'), ('/m/01kqq7', '/film/film/genre', '/m/02l7c8')], '/m/02l7c8')
([('/m/0gc_c_', 'NO_OP', '/m/0gc_c_'), ('/m/0gc_c_', '¬/media_common/netflix_genre/titles', '/m/03k9fj'), ('/m/03k9fj', '/media_common/netflix_genre/titles', '/m/04x4gw')], '/m/03k9fj')
([('/m/04gcyg', '¬/film/actor/film./film/performance/film', '/m/01yk13'), ('/m/01yk13', '/film/actor/film./film/performance/film', '/m/04sh80'), ('/m/04sh80', '¬/media_common/netflix_genre/titles', '/m/09blyk')], '/m/09blyk')
([('/m/074w86', '¬/media_common/netflix_genre/titles', '/m/09q17'), ('/m/09q17', '¬/film/film/genre', '/m/0kv2hv'), ('/m/0kv2hv', '¬/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/0bgrsl')], '/m/09q17')
([('/m/0fvr1', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '¬/film/film/genre', '/m/08hmch'), ('/m/08hmch', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/01pj7')], '/m/01hmnh')
([('/m/032016', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '/media_common/netflix_genre/titles', '/m/0473rc'), ('/m/0473rc', '/film/film/production_companies', '/m/0c41qv')], '/m/01hmnh')
([('/m/0c9t0y', '¬/media_common/netflix_genre/titles', '/m/03npn'), ('/m/03npn', '/media_common/netflix_genre/titles', '/m/080dfr7'), ('/m/080dfr7', '/film/film/country', '/m/07ssc')], '/m/03npn')
([('/m/02s4l6', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '/media_common/netflix_genre/titles', '/m/06zsk51'), ('/m/06zsk51', '/tv/tv_program/genre', '/m/01z77k')], '/m/04xvlr')
([('/m/0hv1t', '/award/award_winning_work/awards_won./award/award_honor/award_winner', '/m/01p7b6b'), ('/m/01p7b6b', '¬/award/award_winning_work/awards_won./award/award_honor/award_winner', '/m/0hv1t'), ('/m/0hv1t', '¬/media_common/netflix_genre/titles', '/m/04t36')], '/m/04t36')
([('/m/034qbx', '/film/film/genre', '/m/06nbt'), ('/m/06nbt', '¬/film/film/genre', '/m/0yx1m'), ('/m/0yx1m', '/film/film/genre', '/m/0gf28')], '/m/0gf28')
([('/m/064q5v', '¬/media_common/netflix_genre/titles', '/m/0jtdp'), ('/m/0jtdp', '/media_common/netflix_genre/titles', '/m/01vw8k'), ('/m/01vw8k', '¬/film/actor/film./film/performance/film', '/m/0c6qh')], '/m/0jtdp')
([('/m/09p0ct', '¬/media_common/netflix_genre/titles', '/m/03mqtr'), ('/m/03mqtr', '/media_common/netflix_genre/titles', '/m/09p0ct'), ('/m/09p0ct', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/01xy5l_')], '/m/03mqtr')
([('/m/02v5xg', '/tv/tv_program/genre', '/m/07s9rl0'), ('/m/07s9rl0', '/media_common/netflix_genre/titles', '/m/048qrd'), ('/m/048qrd', '/film/film/production_companies', '/m/04rqd')], '/m/07s9rl0')
([('/m/0dr_4', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/tv/tv_program/genre', '/m/051kd'), ('/m/051kd', '/tv/tv_program/languages', '/m/03_9r')], '/m/07s9rl0')
([('/m/044g_k', '/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for', '/m/01_mdl'), ('/m/01_mdl', '¬/award/award_winning_work/awards_won./award/award_honor/honored_for', '/m/042fgh'), ('/m/042fgh', '/film/film/genre', '/m/04pbhw')], '/m/04pbhw')
([('/m/09hy79', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '¬/film/film/genre', '/m/0fr63l'), ('/m/0fr63l', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/01vx2h')], '/m/01hmnh')
([('/m/01jc6q', '¬/media_common/netflix_genre/titles', '/m/04t36'), ('/m/04t36', '¬/film/film/genre', '/m/0k5px'), ('/m/0k5px', '/film/film/music', '/m/06zd1c')], '/m/04t36')
([('/m/09rfh9', '¬/media_common/netflix_genre/titles', '/m/09blyk'), ('/m/09blyk', '/media_common/netflix_genre/titles', '/m/0fy66'), ('/m/0fy66', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/0k611')], '/m/09blyk')
([('/m/026gyn_', '¬/media_common/netflix_genre/titles', '/m/06l3bl'), ('/m/06l3bl', '¬/film/film/genre', '/m/048scx'), ('/m/048scx', 'NO_OP', '/m/048scx')], '/m/06l3bl')
([('/m/016017', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '/media_common/netflix_genre/titles', '/m/0dcz8_'), ('/m/0dcz8_', '¬/media_common/netflix_genre/titles', '/m/01hmnh')], '/m/01hmnh')
([('/m/05pt0l', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/012kyx'), ('/m/012kyx', '/common/topic/webpage./common/webpage/category', '/m/08mbj5d')], '/m/01jfsb')
([('/m/03lvwp', '¬/film/film_subject/films', '/m/02_h0'), ('/m/02_h0', '/film/film_subject/films', '/m/02jxrw'), ('/m/02jxrw', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/04cv9m', '/film/film/genre', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/0296rz'), ('/m/0296rz', '/film/film/genre', '/m/03mqtr')], '/m/03mqtr')
([('/m/059rc', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/04s1zr'), ('/m/04s1zr', '¬/media_common/netflix_genre/titles', '/m/01jfsb')], '/m/01jfsb')
([('/m/08k40m', '¬/film/actor/film./film/performance/film', '/m/012x2b'), ('/m/012x2b', '/film/actor/film./film/performance/film', '/m/02t_h3'), ('/m/02t_h3', '/film/film/genre', '/m/05p553')], '/m/05p553')
([('/m/065dc4', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/06kl78'), ('/m/06kl78', '¬/film/actor/film./film/performance/film', '/m/043js')], '/m/01jfsb')
([('/m/07ng9k', '/tv/tv_program/genre', '/m/03k9fj'), ('/m/03k9fj', '¬/film/film/genre', '/m/090s_0'), ('/m/090s_0', '¬/media_common/netflix_genre/titles', '/m/015w9s')], '/m/03k9fj')
([('/m/082scv', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/0sxns'), ('/m/0sxns', '¬/film/actor/film./film/performance/film', '/m/01tnbn')], '/m/07s9rl0')
([('/m/01sxdy', '¬/media_common/netflix_genre/titles', '/m/04t36'), ('/m/04t36', '/media_common/netflix_genre/titles', '/m/0hv1t'), ('/m/0hv1t', '¬/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/015wfg')], '/m/04t36')
([('/m/07nxvj', 'NO_OP', '/m/07nxvj'), ('/m/07nxvj', '¬/media_common/netflix_genre/titles', '/m/03mqtr'), ('/m/03mqtr', '/media_common/netflix_genre/titles', '/m/09cr8')], '/m/03mqtr')
([('/m/03cffvv', '¬/media_common/netflix_genre/titles', '/m/015w9s'), ('/m/015w9s', '/media_common/netflix_genre/titles', '/m/0f4k49'), ('/m/0f4k49', '/film/film/genre', '/m/03k9fj')], '/m/015w9s')
([('/m/04969y', '/award/award_winning_work/awards_won./award/award_honor/award', '/m/03y8cbv'), ('/m/03y8cbv', '/award/award_category/disciplines_or_subjects', '/m/0jtdp'), ('/m/0jtdp', '/media_common/netflix_genre/titles', '/m/0dtzkt')], '/m/0jtdp')
([('/m/016yxn', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '/media_common/netflix_genre/titles', '/m/0bmch_x'), ('/m/0bmch_x', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/01pvkk')], '/m/01jfsb')
([('/m/04x4gw', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/012mrr'), ('/m/012mrr', '¬/film/actor/film./film/performance/film', '/m/01520h')], '/m/07s9rl0')
([('/m/0286vp', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/03cfkrw'), ('/m/03cfkrw', '/film/film/story_by', '/m/0hcvy')], '/m/04xvlr')
([('/m/072r5v', '/film/film/written_by', '/m/0c1pj'), ('/m/0c1pj', '¬/award/award_winning_work/awards_won./award/award_honor/award_winner', '/m/01znj1'), ('/m/01znj1', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/0cd2vh9', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/09zzb8'), ('/m/09zzb8', '¬/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/0dlngsd'), ('/m/0dlngsd', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/05nyqk', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '/media_common/netflix_genre/titles', '/m/05k4my'), ('/m/05k4my', '¬/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/086k8')], '/m/01jfsb')
([('/m/0cbv4g', '/award/award_winning_work/awards_won./award/award_honor/award', '/m/02x2gy0'), ('/m/02x2gy0', '/award/award_category/nominees./award/award_nomination/nominated_for', '/m/09z2b7'), ('/m/09z2b7', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/02q5bx2', '/tv/tv_program/genre', '/m/01hmnh'), ('/m/01hmnh', '¬/film/film/genre', '/m/091xrc'), ('/m/091xrc', '/film/film/estimated_budget./measurement_unit/dated_money_value/currency', '/m/09nqf')], '/m/01hmnh')
([('/m/04180vy', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/089g0h'), ('/m/089g0h', '¬/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/076tq0z'), ('/m/076tq0z', '/film/film/genre', '/m/06cvj')], '/m/06cvj')
([('/m/03hfmm', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '/media_common/netflix_genre/titles', '/m/03hfmm'), ('/m/03hfmm', '¬/media_common/netflix_genre/titles', '/m/017fp')], '/m/07s9rl0')
([('/m/09tcg4', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/02r96rf'), ('/m/02r96rf', '¬/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/01f8f7'), ('/m/01f8f7', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/05znxx', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/0ktpx'), ('/m/0ktpx', '/film/film/genre', '/m/09blyk')], '/m/01jfsb')
([('/m/03m4mj', '¬/media_common/netflix_genre/titles', '/m/06qm3'), ('/m/06qm3', '/media_common/netflix_genre/titles', '/m/0c8tkt'), ('/m/0c8tkt', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/05b4w')], '/m/06qm3')
([('/m/05567m', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '/media_common/netflix_genre/titles', '/m/02qdrjx'), ('/m/02qdrjx', '/common/topic/webpage./common/webpage/category', '/m/08mbj5d')], '/m/01hmnh')
([('/m/0prhz', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '/media_common/netflix_genre/titles', '/m/026qnh6'), ('/m/026qnh6', '/film/film/genre', '/m/03k9fj')], '/m/04xvlr')
([('/m/029zqn', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '¬/film/film/genre', '/m/044g_k'), ('/m/044g_k', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/033smt')], '/m/01hmnh')
([('/m/02qrv7', '¬/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for', '/m/02sg5v'), ('/m/02sg5v', '¬/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for', '/m/0g5pv3'), ('/m/0g5pv3', '/film/film/genre', '/m/01jfsb')], '/m/01jfsb')
([('/m/065dc4', '¬/film/film/prequel', '/m/0f4_2k'), ('/m/0f4_2k', '¬/media_common/netflix_genre/titles', '/m/02n4kr'), ('/m/02n4kr', '/media_common/netflix_genre/titles', '/m/01jr4j')], '/m/02n4kr')
([('/m/01rnly', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/02r22gf'), ('/m/02r22gf', '¬/award/award_winning_work/awards_won./award/award_honor/award', '/m/02zk08'), ('/m/02zk08', '¬/media_common/netflix_genre/titles', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/04q01mn', 'NO_OP', '/m/04q01mn'), ('/m/04q01mn', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/02w9k1c')], '/m/07s9rl0')
([('/m/085wqm', '/film/film/genre', '/m/0fdjb'), ('/m/0fdjb', '¬/film/film/genre', '/m/029k4p'), ('/m/029k4p', '/film/film/genre', '/m/03npn')], '/m/03npn')
([('/m/01m13b', '¬/media_common/netflix_genre/titles', '/m/04t36'), ('/m/04t36', '¬/film/film/genre', '/m/016kz1'), ('/m/016kz1', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/0gr0m')], '/m/04t36')
([('/m/0298n7', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/0bm2nq'), ('/m/0bm2nq', '¬/film/actor/film./film/performance/film', '/m/0159h6')], '/m/07s9rl0')
([('/m/01j5ql', '¬/media_common/netflix_genre/titles', '/m/03mqtr'), ('/m/03mqtr', '/media_common/netflix_genre/titles', '/m/07w8fz'), ('/m/07w8fz', '/film/film/genre', '/m/03g3w')], '/m/03mqtr')
([('/m/02ht1k', '¬/media_common/netflix_genre/titles', '/m/04t36'), ('/m/04t36', '/media_common/netflix_genre/titles', '/m/05sbv3'), ('/m/05sbv3', 'NO_OP', '/m/05sbv3')], '/m/04t36')
([('/m/04fzfj', '/film/film/film_format', '/m/07fb8_'), ('/m/07fb8_', '¬/film/film/film_format', '/m/03n785'), ('/m/03n785', '/film/film/genre', '/m/02kdv5l')], '/m/02kdv5l')
([('/m/06zn1c', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/029j_'), ('/m/029j_', '¬/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/04lhc4'), ('/m/04lhc4', '¬/media_common/netflix_genre/titles', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/08gsvw', '/film/film/estimated_budget./measurement_unit/dated_money_value/currency', '/m/09nqf'), ('/m/09nqf', '¬/film/film/estimated_budget./measurement_unit/dated_money_value/currency', '/m/0d99k_'), ('/m/0d99k_', '/film/film/genre', '/m/02kdv5l')], '/m/02kdv5l')
([('/m/0gmcwlb', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/tv/tv_program/genre', '/m/047m_w'), ('/m/047m_w', '/common/topic/webpage./common/webpage/category', '/m/08mbj5d')], '/m/07s9rl0')
([('/m/09rvwmy', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/09p4w8'), ('/m/09p4w8', '¬/media_common/netflix_genre/titles', '/m/01jfsb')], '/m/07s9rl0')
([('/m/02jkkv', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '/media_common/netflix_genre/titles', '/m/03f7nt'), ('/m/03f7nt', '/film/film/genre', '/m/0lsxr')], '/m/0lsxr')
([('/m/0292qb', '¬/media_common/netflix_genre/titles', '/m/03k9fj'), ('/m/03k9fj', '¬/tv/tv_program/genre', '/m/053x8hr'), ('/m/053x8hr', '/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type', '/m/0ckd1')], '/m/03k9fj')
([('/m/0jsf6', '¬/award/award_winning_work/awards_won./award/award_honor/honored_for', '/m/0y_yw'), ('/m/0y_yw', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/tv/tv_program/genre', '/m/0d_rw')], '/m/07s9rl0')
([('/m/09cr8', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/0dxtw'), ('/m/0dxtw', '¬/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/0415ggl'), ('/m/0415ggl', '¬/media_common/netflix_genre/titles', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/09fn1w', '/award/award_winning_work/awards_won./award/award_honor/award', '/m/03r8tl'), ('/m/03r8tl', '/award/award_category/nominees./award/award_nomination/nominated_for', '/m/021pqy'), ('/m/021pqy', '¬/media_common/netflix_genre/titles', '/m/01chg')], '/m/01chg')
([('/m/02rrfzf', '/film/film/prequel', '/m/025s1wg'), ('/m/025s1wg', '/film/film/genre', '/m/06n90'), ('/m/06n90', '¬/film/film/genre', '/m/03_wm6')], '/m/06n90')
([('/m/0k5px', '¬/media_common/netflix_genre/titles', '/m/04t36'), ('/m/04t36', '¬/film/film/genre', '/m/041td_'), ('/m/041td_', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/0279c15')], '/m/04t36')
([('/m/0ddj0x', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/04qk12'), ('/m/04qk12', '¬/media_common/netflix_genre/titles', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/09cr8', '/film/film/genre', '/m/07s9rl0'), ('/m/07s9rl0', '/media_common/netflix_genre/titles', '/m/049w1q'), ('/m/049w1q', '/film/film/genre', '/m/0lsxr')], '/m/0lsxr')
([('/m/0946bb', '¬/award/award_winning_work/awards_won./award/award_honor/honored_for', '/m/0140g4'), ('/m/0140g4', '/film/film/genre', '/m/02kdv5l'), ('/m/02kdv5l', '¬/film/film/genre', '/m/042zrm')], '/m/02kdv5l')
([('/m/03_gz8', '/film/film/production_companies', '/m/03sb38'), ('/m/03sb38', '¬/film/film/production_companies', '/m/03_gz8'), ('/m/03_gz8', '¬/media_common/netflix_genre/titles', '/m/04xvlr')], '/m/04xvlr')
([('/m/0d6_s', '¬/film/actor/film./film/performance/film', '/m/0f4vbz'), ('/m/0f4vbz', '/film/actor/film./film/performance/film', '/m/02qr69m'), ('/m/02qr69m', '/film/film/genre', '/m/01jfsb')], '/m/01jfsb')
([('/m/03twd6', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0k6nt'), ('/m/0k6nt', '¬/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0ds3t5x'), ('/m/0ds3t5x', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/01wb95', '¬/media_common/netflix_genre/titles', '/m/06l3bl'), ('/m/06l3bl', '¬/film/film/genre', '/m/019vhk'), ('/m/019vhk', '/film/film/language', '/m/03x42')], '/m/06l3bl')
([('/m/016ks5', '¬/media_common/netflix_genre/titles', '/m/07ssc'), ('/m/07ssc', '/media_common/netflix_genre/titles', '/m/09p7fh'), ('/m/09p7fh', '¬/media_common/netflix_genre/titles', '/m/02l7c8')], '/m/02l7c8')
([('/m/0pvms', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '/media_common/netflix_genre/titles', '/m/0prh7'), ('/m/0prh7', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/099c8n')], '/m/04xvlr')
([('/m/055td_', '/film/film/music', '/m/03975z'), ('/m/03975z', '¬/film/film/music', '/m/034hzj'), ('/m/034hzj', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/0y_yw', '/film/film/production_companies', '/m/02jd_7'), ('/m/02jd_7', '¬/film/film/production_companies', '/m/09ps01'), ('/m/09ps01', '/film/film/genre', '/m/04xvlr')], '/m/04xvlr')
([('/m/03mnn0', '¬/media_common/netflix_genre/titles', '/m/0jtdp'), ('/m/0jtdp', '¬/film/film/genre', '/m/04f6df0'), ('/m/04f6df0', '/film/film/produced_by', '/m/02tn0_')], '/m/0jtdp')
([('/m/0dtw1x', '¬/media_common/netflix_genre/titles', '/m/0jtdp'), ('/m/0jtdp', '/media_common/netflix_genre/titles', '/m/0cp08zg'), ('/m/0cp08zg', '/film/film/country', '/m/0f8l9c')], '/m/0jtdp')
([('/m/03hkch7', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '/media_common/netflix_genre/titles', '/m/0_816'), ('/m/0_816', '/award/award_winning_work/awards_won./award/award_honor/award', '/m/0gq_v')], '/m/07s9rl0')
([('/m/047p7fr', '¬/media_common/netflix_genre/titles', '/m/0hn10'), ('/m/0hn10', '¬/film/film/genre', '/m/0b44shh'), ('/m/0b44shh', '/common/topic/webpage./common/webpage/category', '/m/08mbj5d')], '/m/0hn10')
([('/m/04mcw4', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/09c7w0'), ('/m/09c7w0', '¬/film/film/country', '/m/0ds2n'), ('/m/0ds2n', '/film/film/genre', '/m/02kdv5l')], '/m/02kdv5l')
([('/m/016ks5', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/01719t'), ('/m/01719t', '¬/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/01j7z7')], '/m/07s9rl0')
([('/m/02vqhv0', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '¬/film/film/genre', '/m/04hwbq'), ('/m/04hwbq', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/01mk6')], '/m/01hmnh')
([('/m/03cp4cn', '¬/film/film_subject/films', '/m/01w1sx'), ('/m/01w1sx', '/film/film_subject/films', '/m/0fjyzt'), ('/m/0fjyzt', '¬/media_common/netflix_genre/titles', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/0g0x9c', '¬/media_common/netflix_genre/titles', '/m/017fp'), ('/m/017fp', '¬/film/film/genre', '/m/04z4j2'), ('/m/04z4j2', '/film/film/music', '/m/01nc3rh')], '/m/017fp')
([('/m/02v5xg', '/tv/tv_program/genre', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/02ndy4'), ('/m/02ndy4', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/029j_')], '/m/07s9rl0')
([('/m/020y73', '/film/film/genre', '/m/082gq'), ('/m/082gq', '¬/film/film/genre', '/m/02x3y41'), ('/m/02x3y41', '/film/film/genre', '/m/02kdv5l')], '/m/02kdv5l')
([('/m/0280061', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/0k0rf'), ('/m/0k0rf', '/film/film/music', '/m/089z0z')], '/m/07s9rl0')
([('/m/04qk12', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/076zy_g'), ('/m/076zy_g', '¬/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/0284n42')], '/m/07s9rl0')
([('/m/0jym0', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/0drnwh'), ('/m/0drnwh', '¬/award/award_ceremony/awards_presented./award/award_honor/honored_for', '/m/09pj68')], '/m/04xvlr')
([('/m/0900j5', '/film/film/genre', '/m/03npn'), ('/m/03npn', '¬/film/film/genre', '/m/04y9mm8'), ('/m/04y9mm8', '/film/film/genre', '/m/01jfsb')], '/m/01jfsb')
([('/m/0d4htf', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '¬/film/film/genre', '/m/01qb5d'), ('/m/01qb5d', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/09zzb8')], '/m/01hmnh')
([('/m/01ffx4', '/film/film/genre', '/m/07s9rl0'), ('/m/07s9rl0', '/media_common/netflix_genre/titles', '/m/084302'), ('/m/084302', '/film/film/genre', '/m/02n4kr')], '/m/02n4kr')
([('/m/0hv81', '/film/film/genre', '/m/01g6gs'), ('/m/01g6gs', '¬/film/film/genre', '/m/0kb07'), ('/m/0kb07', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/033pf1', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '¬/tv/tv_program/genre', '/m/07ng9k'), ('/m/07ng9k', '/film/film/dubbing_performances./film/dubbing_performance/actor', '/m/0bn8fw')], '/m/01hmnh')
([('/m/01bjbk', '¬/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/016tw3'), ('/m/016tw3', '/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/06fpsx'), ('/m/06fpsx', '/film/film/genre', '/m/02l7c8')], '/m/02l7c8')
([('/m/05pt0l', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '/media_common/netflix_genre/titles', '/m/0294zg'), ('/m/0294zg', '¬/media_common/netflix_genre/titles', '/m/04xvlr')], '/m/07s9rl0')
([('/m/02qlp4', '¬/film/film_subject/films', '/m/07s2s'), ('/m/07s2s', '¬/film/film/genre', '/m/07ghq'), ('/m/07ghq', '/film/film/genre', '/m/06qln')], '/m/07s2s')
([('/m/03vyw8', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '/media_common/netflix_genre/titles', '/m/08xvpn'), ('/m/08xvpn', '/film/film/produced_by', '/m/01wd9lv')], '/m/04xvlr')
([('/m/0d1qmz', '¬/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for', '/m/014kq6'), ('/m/014kq6', '/film/film/genre', '/m/02kdv5l'), ('/m/02kdv5l', '¬/film/film/genre', '/m/0bxxzb')], '/m/02kdv5l')
