WN18RR, _similar_to_WN18_generic_PPO_simple_embedding_100
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', 'NO_OP', '01020117')], '01020117')
([('01252566', '¬_similar_to', '01251128'), ('01251128', 'NO_OP', '01251128'), ('01251128', 'NO_OP', '01251128')], '01251128')
([('00168910', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00168910'), ('00168910', '¬_similar_to', '00166146')], '00166146')
([('02505141', '¬_similar_to', '02504131'), ('02504131', '¬_similar_to', '02505141'), ('02505141', '¬_similar_to', '02504131')], '02504131')
([('01161635', '¬_similar_to', '01160031'), ('01160031', 'NO_OP', '01160031'), ('01160031', 'NO_OP', '01160031')], '01160031')
([('02111684', '¬_similar_to', '02112891'), ('02112891', 'NO_OP', '02112891'), ('02112891', 'NO_OP', '02112891')], '02112891')
([('00400101', '¬_similar_to', '00394562'), ('00394562', 'NO_OP', '00394562'), ('00394562', 'NO_OP', '00394562')], '00394562')
([('00732960', '¬_similar_to', '00733632'), ('00733632', '¬_similar_to', '00732960'), ('00732960', '¬_similar_to', '00733632')], '00733632')
([('00003356', '¬_similar_to', '00003553'), ('00003553', '¬_similar_to', '00003356'), ('00003356', '¬_similar_to', '00003553')], '00003553')
([('01115349', '¬_similar_to', '01116026'), ('01116026', 'NO_OP', '01116026'), ('01116026', 'NO_OP', '01116026')], '01116026')
([('00728826', '_hypernym', '00636574'), ('00636574', '¬_hypernym', '00728826'), ('00728826', '¬_similar_to', '00727564')], '00727564')
([('00320536', '¬_similar_to', '00319534'), ('00319534', 'NO_OP', '00319534'), ('00319534', 'NO_OP', '00319534')], '00319534')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', 'NO_OP', '02393086')], '02393086')
([('01116026', '¬_similar_to', '01115349'), ('01115349', 'NO_OP', '01115349'), ('01115349', 'NO_OP', '01115349')], '01115349')
([('01161635', '¬_similar_to', '01160031'), ('01160031', 'NO_OP', '01160031'), ('01160031', 'NO_OP', '01160031')], '01160031')
([('00536304', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('01894758', '¬_similar_to', '01895630'), ('01895630', 'NO_OP', '01895630'), ('01895630', 'NO_OP', '01895630')], '01895630')
([('02344381', '¬_similar_to', '02341266'), ('02341266', 'NO_OP', '02341266'), ('02341266', '¬_similar_to', '02344381')], '02341266')
([('01160031', 'NO_OP', '01160031'), ('01160031', '¬_similar_to', '01161635'), ('01161635', '¬_similar_to', '01160031')], '01161635')
([('00727564', '¬_similar_to', '00728826'), ('00728826', '_hypernym', '00636574'), ('00636574', 'NO_OP', '00636574')], '00728826')
([('01948573', '¬_similar_to', '01947266'), ('01947266', 'NO_OP', '01947266'), ('01947266', 'NO_OP', '01947266')], '01947266')
([('02515341', '¬_similar_to', '02517169'), ('02517169', 'NO_OP', '02517169'), ('02517169', 'NO_OP', '02517169')], '02517169')
([('00394562', '¬_similar_to', '00400101'), ('00400101', '¬_similar_to', '00394562'), ('00394562', '¬_similar_to', '00400101')], '00400101')
([('02515214', '¬_similar_to', '02513740'), ('02513740', 'NO_OP', '02513740'), ('02513740', '_also_see', '01549291')], '02513740')
([('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('00779374', '¬_similar_to', '00780575'), ('00780575', '¬_derivationally_related_form', '00350380'), ('00350380', '¬_derivationally_related_form', '00780575')], '00780575')
([('02515341', '¬_similar_to', '02517169'), ('02517169', 'NO_OP', '02517169'), ('02517169', 'NO_OP', '02517169')], '02517169')
([('01809655', '¬_similar_to', '01811172'), ('01811172', 'NO_OP', '01811172'), ('01811172', 'NO_OP', '01811172')], '01811172')
([('02393086', '¬_similar_to', '02392878'), ('02392878', 'NO_OP', '02392878'), ('02392878', 'NO_OP', '02392878')], '02392878')
([('00131018', '¬_similar_to', '00130778'), ('00130778', 'NO_OP', '00130778'), ('00130778', 'NO_OP', '00130778')], '00130778')
([('00095873', '¬_similar_to', '00095280'), ('00095280', 'NO_OP', '00095280'), ('00095280', 'NO_OP', '00095280')], '00095280')
([('01252566', '¬_similar_to', '01251128'), ('01251128', '¬_similar_to', '01252566'), ('01252566', '¬_similar_to', '01251128')], '01251128')
([('00168910', '¬_similar_to', '00166146'), ('00166146', 'NO_OP', '00166146'), ('00166146', '¬_similar_to', '00167278')], '00166146')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', 'NO_OP', '02393086')], '02393086')
([('02168699', '¬_similar_to', '02166346'), ('02166346', '_also_see', '02244619'), ('02244619', 'NO_OP', '02244619')], '02166346')
([('00003553', '¬_similar_to', '00003356'), ('00003356', 'NO_OP', '00003356'), ('00003356', 'NO_OP', '00003356')], '00003356')
([('02559862', '¬_similar_to', '02559180'), ('02559180', '¬_also_see', '02274253'), ('02274253', 'NO_OP', '02274253')], '02559180')
([('00733632', '¬_similar_to', '00732960'), ('00732960', 'NO_OP', '00732960'), ('00732960', 'NO_OP', '00732960')], '00732960')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', '¬_similar_to', '01894758')], '01894758')
([('00445169', '¬_similar_to', '00444519'), ('00444519', 'NO_OP', '00444519'), ('00444519', 'NO_OP', '00444519')], '00444519')
([('02344381', '¬_similar_to', '02341266'), ('02341266', 'NO_OP', '02341266'), ('02341266', 'NO_OP', '02341266')], '02341266')
([('00320536', '¬_similar_to', '00319534'), ('00319534', 'NO_OP', '00319534'), ('00319534', 'NO_OP', '00319534')], '00319534')
([('02166346', '¬_similar_to', '02168699'), ('02168699', 'NO_OP', '02168699'), ('02168699', 'NO_OP', '02168699')], '02168699')
([('00732960', '¬_similar_to', '00733632'), ('00733632', '¬_similar_to', '00732960'), ('00732960', '¬_similar_to', '00733632')], '00733632')
([('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('02344381', '¬_similar_to', '02341266'), ('02341266', 'NO_OP', '02341266'), ('02341266', 'NO_OP', '02341266')], '02341266')
([('00535844', 'NO_OP', '00535844'), ('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('01834304', '¬_similar_to', '01835276'), ('01835276', '¬_similar_to', '01834304'), ('01834304', 'NO_OP', '01834304')], '01835276')
([('00727564', 'NO_OP', '00727564'), ('00727564', '¬_similar_to', '00728826'), ('00728826', 'NO_OP', '00728826')], '00728826')
([('01412912', 'NO_OP', '01412912'), ('01412912', 'NO_OP', '01412912'), ('01412912', '¬_similar_to', '01412415')], '01412415')
([('02344381', '¬_similar_to', '02341266'), ('02341266', 'NO_OP', '02341266'), ('02341266', 'NO_OP', '02341266')], '02341266')
([('02515341', '¬_similar_to', '02517169'), ('02517169', 'NO_OP', '02517169'), ('02517169', 'NO_OP', '02517169')], '02517169')
([('00095873', '¬_similar_to', '00095280'), ('00095280', 'NO_OP', '00095280'), ('00095280', 'NO_OP', '00095280')], '00095280')
([('01116026', '¬_similar_to', '01115349'), ('01115349', 'NO_OP', '01115349'), ('01115349', 'NO_OP', '01115349')], '01115349')
([('02168699', '¬_similar_to', '02166346'), ('02166346', '¬_also_see', '02244619'), ('02244619', '_also_see', '02166346')], '02166346')
([('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('01412912', '¬_similar_to', '01412415'), ('01412415', 'NO_OP', '01412415'), ('01412415', 'NO_OP', '01412415')], '01412415')
([('02166346', '¬_similar_to', '02168699'), ('02168699', 'NO_OP', '02168699'), ('02168699', 'NO_OP', '02168699')], '02168699')
([('01948573', 'NO_OP', '01948573'), ('01948573', 'NO_OP', '01948573'), ('01948573', '¬_similar_to', '01947266')], '01947266')
([('00320536', 'NO_OP', '00320536'), ('00320536', '¬_similar_to', '00319534'), ('00319534', 'NO_OP', '00319534')], '00319534')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_similar_to', '00444519'), ('00444519', '¬_similar_to', '00445169')], '00445169')
([('00167278', 'NO_OP', '00167278'), ('00167278', '¬_similar_to', '00166146'), ('00166146', 'NO_OP', '00166146')], '00166146')
([('01834304', 'NO_OP', '01834304'), ('01834304', '¬_similar_to', '01835276'), ('01835276', '_hypernym', '01834918')], '01835276')
([('00779374', '¬_similar_to', '00780575'), ('00780575', 'NO_OP', '00780575'), ('00780575', 'NO_OP', '00780575')], '00780575')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', 'NO_OP', '02393086')], '02393086')
([('01161635', '¬_similar_to', '01160031'), ('01160031', 'NO_OP', '01160031'), ('01160031', 'NO_OP', '01160031')], '01160031')
([('00166146', 'NO_OP', '00166146'), ('00166146', '¬_similar_to', '00168910'), ('00168910', '¬_similar_to', '00166146')], '00168910')
([('01749320', '¬_similar_to', '01751353'), ('01751353', 'NO_OP', '01751353'), ('01751353', 'NO_OP', '01751353')], '01751353')
([('01161635', '¬_similar_to', '01160031'), ('01160031', 'NO_OP', '01160031'), ('01160031', 'NO_OP', '01160031')], '01160031')
([('00166146', '¬_similar_to', '00168910'), ('00168910', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00168910')], '00168910')
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', 'NO_OP', '01020117')], '01020117')
([('02341266', '¬_similar_to', '02344381'), ('02344381', '_derivationally_related_form', '07295629'), ('07295629', 'NO_OP', '07295629')], '02344381')
([('01252566', '¬_similar_to', '01251128'), ('01251128', 'NO_OP', '01251128'), ('01251128', 'NO_OP', '01251128')], '01251128')
([('00535452', '¬_similar_to', '00535844'), ('00535844', '¬_similar_to', '00535452'), ('00535452', '¬_similar_to', '00535844')], '00535844')
([('01412912', '¬_similar_to', '01412415'), ('01412415', 'NO_OP', '01412415'), ('01412415', 'NO_OP', '01412415')], '01412415')
([('00003356', '¬_similar_to', '00003553'), ('00003553', '¬_similar_to', '00003356'), ('00003356', '¬_similar_to', '00003553')], '00003553')
([('00535452', 'NO_OP', '00535452'), ('00535452', '¬_similar_to', '00535844'), ('00535844', 'NO_OP', '00535844')], '00535844')
([('00386392', '¬_similar_to', '00392093'), ('00392093', 'NO_OP', '00392093'), ('00392093', 'NO_OP', '00392093')], '00392093')
([('01116026', '¬_similar_to', '01115349'), ('01115349', 'NO_OP', '01115349'), ('01115349', 'NO_OP', '01115349')], '01115349')
([('00779374', '¬_similar_to', '00780575'), ('00780575', 'NO_OP', '00780575'), ('00780575', 'NO_OP', '00780575')], '00780575')
([('00166146', 'NO_OP', '00166146'), ('00166146', '¬_similar_to', '00167278'), ('00167278', '¬_similar_to', '00166146')], '00167278')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('02168699', '¬_similar_to', '02166346'), ('02166346', '_also_see', '02244619'), ('02244619', 'NO_OP', '02244619')], '02166346')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', '¬_similar_to', '01894758')], '01894758')
([('02504131', '¬_derivationally_related_form', '02662297'), ('02662297', '_derivationally_related_form', '02504131'), ('02504131', '¬_similar_to', '02505141')], '02505141')
([('00095873', '¬_similar_to', '00095280'), ('00095280', 'NO_OP', '00095280'), ('00095280', 'NO_OP', '00095280')], '00095280')
([('00400101', '¬_similar_to', '00394562'), ('00394562', 'NO_OP', '00394562'), ('00394562', 'NO_OP', '00394562')], '00394562')
([('02341266', 'NO_OP', '02341266'), ('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('02111684', '¬_similar_to', '02112891'), ('02112891', 'NO_OP', '02112891'), ('02112891', 'NO_OP', '02112891')], '02112891')
([('01020117', '¬_similar_to', '01017738'), ('01017738', '¬_similar_to', '01020117'), ('01020117', '¬_similar_to', '01017738')], '01017738')
([('01252566', '¬_similar_to', '01251128'), ('01251128', 'NO_OP', '01251128'), ('01251128', 'NO_OP', '01251128')], '01251128')
([('00319534', '¬_similar_to', '00320536'), ('00320536', 'NO_OP', '00320536'), ('00320536', 'NO_OP', '00320536')], '00320536')
([('00779374', '¬_similar_to', '00780575'), ('00780575', 'NO_OP', '00780575'), ('00780575', 'NO_OP', '00780575')], '00780575')
([('00095873', '¬_similar_to', '00095280'), ('00095280', 'NO_OP', '00095280'), ('00095280', 'NO_OP', '00095280')], '00095280')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_similar_to', '00444519'), ('00444519', '¬_similar_to', '00445169')], '00445169')
([('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('01160031', '¬_similar_to', '01161635'), ('01161635', 'NO_OP', '01161635'), ('01161635', 'NO_OP', '01161635')], '01161635')
([('01160031', '¬_similar_to', '01161635'), ('01161635', 'NO_OP', '01161635'), ('01161635', 'NO_OP', '01161635')], '01161635')
([('00733632', '¬_similar_to', '00732960'), ('00732960', 'NO_OP', '00732960'), ('00732960', 'NO_OP', '00732960')], '00732960')
([('01161635', 'NO_OP', '01161635'), ('01161635', '¬_similar_to', '01160031'), ('01160031', 'NO_OP', '01160031')], '01160031')
([('01749320', '¬_also_see', '00914421'), ('00914421', '_also_see', '01749320'), ('01749320', '¬_similar_to', '01751353')], '01751353')
([('00728826', 'NO_OP', '00728826'), ('00728826', '¬_similar_to', '00727564'), ('00727564', 'NO_OP', '00727564')], '00727564')
([('00095873', '¬_similar_to', '00095280'), ('00095280', 'NO_OP', '00095280'), ('00095280', '¬_similar_to', '00095873')], '00095280')
([('00320536', '¬_similar_to', '00319534'), ('00319534', 'NO_OP', '00319534'), ('00319534', 'NO_OP', '00319534')], '00319534')
([('01548694', 'NO_OP', '01548694'), ('01548694', '¬_similar_to', '01548193'), ('01548193', '¬_also_see', '02513269')], '01548193')
([('00386392', '¬_similar_to', '00392093'), ('00392093', 'NO_OP', '00392093'), ('00392093', 'NO_OP', '00392093')], '00392093')
([('00728826', 'NO_OP', '00728826'), ('00728826', '¬_similar_to', '00727564'), ('00727564', 'NO_OP', '00727564')], '00727564')
([('01412415', '¬_similar_to', '01412912'), ('01412912', 'NO_OP', '01412912'), ('01412912', 'NO_OP', '01412912')], '01412912')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', '¬_similar_to', '01894758')], '01894758')
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', '¬_similar_to', '01017738')], '01020117')
([('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('02112891', '¬_similar_to', '02111684'), ('02111684', 'NO_OP', '02111684'), ('02111684', '¬_also_see', '00492677')], '02111684')
([('00166146', 'NO_OP', '00166146'), ('00166146', 'NO_OP', '00166146'), ('00166146', '¬_similar_to', '00168910')], '00168910')
([('02559862', 'NO_OP', '02559862'), ('02559862', '¬_similar_to', '02559180'), ('02559180', 'NO_OP', '02559180')], '02559180')
([('00394562', '¬_similar_to', '00400101'), ('00400101', 'NO_OP', '00400101'), ('00400101', 'NO_OP', '00400101')], '00400101')
([('00166146', '¬_similar_to', '00167278'), ('00167278', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00168910')], '00167278')
([('01834304', '¬_similar_to', '01835276'), ('01835276', '¬_similar_to', '01834304'), ('01834304', '¬_similar_to', '01835276')], '01835276')
([('00779374', '¬_similar_to', '00780575'), ('00780575', '¬_derivationally_related_form', '06600684'), ('06600684', '_derivationally_related_form', '00780575')], '00780575')
([('00733632', '¬_similar_to', '00732960'), ('00732960', 'NO_OP', '00732960'), ('00732960', 'NO_OP', '00732960')], '00732960')
([('02559862', '¬_similar_to', '02559180'), ('02559180', 'NO_OP', '02559180'), ('02559180', 'NO_OP', '02559180')], '02559180')
([('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('01548694', '¬_similar_to', '01548193'), ('01548193', 'NO_OP', '01548193'), ('01548193', 'NO_OP', '01548193')], '01548193')
([('00535452', '¬_similar_to', '00535844'), ('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535844')
([('00392093', 'NO_OP', '00392093'), ('00392093', 'NO_OP', '00392093'), ('00392093', '¬_similar_to', '00386392')], '00386392')
([('00708017', 'NO_OP', '00708017'), ('00708017', '¬_similar_to', '00709625'), ('00709625', 'NO_OP', '00709625')], '00709625')
([('00779374', '¬_similar_to', '00780575'), ('00780575', 'NO_OP', '00780575'), ('00780575', 'NO_OP', '00780575')], '00780575')
([('02515214', '¬_similar_to', '02513740'), ('02513740', 'NO_OP', '02513740'), ('02513740', 'NO_OP', '02513740')], '02513740')
([('00445169', '¬_similar_to', '00444519'), ('00444519', 'NO_OP', '00444519'), ('00444519', 'NO_OP', '00444519')], '00444519')
([('00166146', '¬_similar_to', '00167278'), ('00167278', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00168910')], '00168910')
([('02393086', '¬_similar_to', '02392878'), ('02392878', 'NO_OP', '02392878'), ('02392878', 'NO_OP', '02392878')], '02392878')
([('00131018', 'NO_OP', '00131018'), ('00131018', '¬_similar_to', '00130778'), ('00130778', '¬_similar_to', '00131018')], '00130778')
([('01160031', '¬_similar_to', '01161635'), ('01161635', 'NO_OP', '01161635'), ('01161635', '_derivationally_related_form', '14562324')], '01161635')
([('01834304', 'NO_OP', '01834304'), ('01834304', '¬_similar_to', '01835276'), ('01835276', '_hypernym', '01834918')], '01835276')
([('00386392', '¬_similar_to', '00392093'), ('00392093', 'NO_OP', '00392093'), ('00392093', 'NO_OP', '00392093')], '00392093')
([('00386392', '¬_similar_to', '00392093'), ('00392093', 'NO_OP', '00392093'), ('00392093', 'NO_OP', '00392093')], '00392093')
([('00003356', '¬_similar_to', '00003553'), ('00003553', '¬_similar_to', '00003356'), ('00003356', '¬_similar_to', '00003553')], '00003553')
([('01412415', '¬_similar_to', '01412912'), ('01412912', 'NO_OP', '01412912'), ('01412912', 'NO_OP', '01412912')], '01412912')
([('01834304', '¬_similar_to', '01835276'), ('01835276', '_hypernym', '01834918'), ('01834918', '¬_hypernym', '01835276')], '01835276')
([('00400101', '¬_similar_to', '00394562'), ('00394562', 'NO_OP', '00394562'), ('00394562', 'NO_OP', '00394562')], '00394562')
([('01160031', '¬_similar_to', '01161635'), ('01161635', 'NO_OP', '01161635'), ('01161635', 'NO_OP', '01161635')], '01161635')
([('02515341', '¬_similar_to', '02517169'), ('02517169', 'NO_OP', '02517169'), ('02517169', 'NO_OP', '02517169')], '02517169')
([('01020117', '¬_similar_to', '01017738'), ('01017738', '¬_similar_to', '01020117'), ('01020117', '¬_similar_to', '01017738')], '01017738')
([('00003553', '¬_similar_to', '00003356'), ('00003356', 'NO_OP', '00003356'), ('00003356', 'NO_OP', '00003356')], '00003356')
([('00727564', '¬_similar_to', '00728826'), ('00728826', 'NO_OP', '00728826'), ('00728826', 'NO_OP', '00728826')], '00728826')
([('02168699', 'NO_OP', '02168699'), ('02168699', '¬_similar_to', '02166346'), ('02166346', 'NO_OP', '02166346')], '02166346')
([('01252566', '¬_similar_to', '01251128'), ('01251128', 'NO_OP', '01251128'), ('01251128', 'NO_OP', '01251128')], '01251128')
([('02393086', '¬_similar_to', '02392878'), ('02392878', 'NO_OP', '02392878'), ('02392878', 'NO_OP', '02392878')], '02392878')
([('01115349', '¬_similar_to', '01116026'), ('01116026', 'NO_OP', '01116026'), ('01116026', 'NO_OP', '01116026')], '01116026')
([('00166146', 'NO_OP', '00166146'), ('00166146', '¬_similar_to', '00168910'), ('00168910', '¬_similar_to', '00166146')], '00168910')
([('01749320', '¬_similar_to', '01751353'), ('01751353', 'NO_OP', '01751353'), ('01751353', 'NO_OP', '01751353')], '01751353')
([('01412912', '¬_similar_to', '01412415'), ('01412415', 'NO_OP', '01412415'), ('01412415', 'NO_OP', '01412415')], '01412415')
([('01116026', '¬_similar_to', '01115349'), ('01115349', 'NO_OP', '01115349'), ('01115349', 'NO_OP', '01115349')], '01115349')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', 'NO_OP', '01895630')], '01894758')
([('01020117', '¬_similar_to', '01017738'), ('01017738', '¬_similar_to', '01020117'), ('01020117', '¬_similar_to', '01017738')], '01017738')
([('00320536', '¬_similar_to', '00319534'), ('00319534', 'NO_OP', '00319534'), ('00319534', 'NO_OP', '00319534')], '00319534')
([('00064479', '¬_similar_to', '00065184'), ('00065184', '¬_similar_to', '00064479'), ('00064479', '¬_similar_to', '00065184')], '00065184')
([('00386392', 'NO_OP', '00386392'), ('00386392', '¬_similar_to', '00392093'), ('00392093', 'NO_OP', '00392093')], '00392093')
([('01548193', '¬_similar_to', '01548694'), ('01548694', 'NO_OP', '01548694'), ('01548694', 'NO_OP', '01548694')], '01548694')
([('00167278', '¬_similar_to', '00166146'), ('00166146', 'NO_OP', '00166146'), ('00166146', '¬_derivationally_related_form', '04686003')], '00166146')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', 'NO_OP', '01895630')], '01894758')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', 'NO_OP', '02393086')], '02393086')
([('02559180', 'NO_OP', '02559180'), ('02559180', '¬_similar_to', '02559862'), ('02559862', 'NO_OP', '02559862')], '02559862')
([('02111684', '¬_similar_to', '02112891'), ('02112891', 'NO_OP', '02112891'), ('02112891', 'NO_OP', '02112891')], '02112891')
([('00392093', '¬_similar_to', '00386392'), ('00386392', 'NO_OP', '00386392'), ('00386392', 'NO_OP', '00386392')], '00386392')
([('00131018', '¬_similar_to', '00130778'), ('00130778', 'NO_OP', '00130778'), ('00130778', 'NO_OP', '00130778')], '00130778')
([('00064479', '¬_similar_to', '00065184'), ('00065184', '¬_similar_to', '00064479'), ('00064479', '¬_similar_to', '00065184')], '00065184')
([('01894758', '¬_similar_to', '01895630'), ('01895630', 'NO_OP', '01895630'), ('01895630', 'NO_OP', '01895630')], '01895630')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', '¬_similar_to', '01894758')], '01894758')
([('02559180', '¬_similar_to', '02559862'), ('02559862', 'NO_OP', '02559862'), ('02559862', 'NO_OP', '02559862')], '02559862')
([('01751353', 'NO_OP', '01751353'), ('01751353', 'NO_OP', '01751353'), ('01751353', '¬_similar_to', '01749320')], '01749320')
([('00445169', '¬_similar_to', '00444519'), ('00444519', 'NO_OP', '00444519'), ('00444519', 'NO_OP', '00444519')], '00444519')
([('00320536', 'NO_OP', '00320536'), ('00320536', 'NO_OP', '00320536'), ('00320536', '¬_similar_to', '00319534')], '00319534')
([('02559180', 'NO_OP', '02559180'), ('02559180', 'NO_OP', '02559180'), ('02559180', '¬_similar_to', '02559862')], '02559862')
([('01116026', '¬_similar_to', '01115349'), ('01115349', 'NO_OP', '01115349'), ('01115349', 'NO_OP', '01115349')], '01115349')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_similar_to', '00444519'), ('00444519', '¬_similar_to', '00445169')], '00445169')
([('01020117', '¬_similar_to', '01017738'), ('01017738', '¬_similar_to', '01020117'), ('01020117', '¬_similar_to', '01017738')], '01017738')
([('02504131', 'NO_OP', '02504131'), ('02504131', '¬_similar_to', '02505141'), ('02505141', 'NO_OP', '02505141')], '02505141')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('00963283', '¬_similar_to', '00962634'), ('00962634', '¬_similar_to', '00963283'), ('00963283', 'NO_OP', '00963283')], '00962634')
([('01412415', '¬_similar_to', '01412912'), ('01412912', 'NO_OP', '01412912'), ('01412912', 'NO_OP', '01412912')], '01412912')
([('00400101', '¬_similar_to', '00394562'), ('00394562', 'NO_OP', '00394562'), ('00394562', 'NO_OP', '00394562')], '00394562')
([('02517169', '¬_similar_to', '02515341'), ('02515341', 'NO_OP', '02515341'), ('02515341', 'NO_OP', '02515341')], '02515341')
([('02505141', '¬_similar_to', '02504131'), ('02504131', 'NO_OP', '02504131'), ('02504131', 'NO_OP', '02504131')], '02504131')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_similar_to', '00444519'), ('00444519', '¬_similar_to', '00445169')], '00445169')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', 'NO_OP', '02393086')], '02393086')
([('00536655', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('00003356', '¬_similar_to', '00003553'), ('00003553', '¬_similar_to', '00003356'), ('00003356', '¬_similar_to', '00003553')], '00003553')
([('02517169', '¬_similar_to', '02515341'), ('02515341', 'NO_OP', '02515341'), ('02515341', 'NO_OP', '02515341')], '02515341')
([('02111684', '¬_similar_to', '02112891'), ('02112891', '_derivationally_related_form', '13428159'), ('13428159', '_derivationally_related_form', '02112891')], '02112891')
([('00394562', 'NO_OP', '00394562'), ('00394562', 'NO_OP', '00394562'), ('00394562', '¬_similar_to', '00400101')], '00400101')
([('01835276', '¬_hypernym', '01836673'), ('01836673', '_hypernym', '01835276'), ('01835276', '¬_similar_to', '01834304')], '01834304')
([('00095873', '¬_similar_to', '00095280'), ('00095280', 'NO_OP', '00095280'), ('00095280', 'NO_OP', '00095280')], '00095280')
([('02393086', '¬_similar_to', '02392878'), ('02392878', 'NO_OP', '02392878'), ('02392878', 'NO_OP', '02392878')], '02392878')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', 'NO_OP', '02393086')], '02393086')
([('00732960', '¬_similar_to', '00733632'), ('00733632', '¬_similar_to', '00732960'), ('00732960', '¬_similar_to', '00733632')], '00733632')
([('00003553', '¬_similar_to', '00003356'), ('00003356', 'NO_OP', '00003356'), ('00003356', 'NO_OP', '00003356')], '00003356')
([('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('00780575', '¬_similar_to', '00779374'), ('00779374', 'NO_OP', '00779374'), ('00779374', 'NO_OP', '00779374')], '00779374')
([('00168910', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00168910'), ('00168910', '¬_similar_to', '00166146')], '00166146')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', '¬_similar_to', '01894758')], '01894758')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', 'NO_OP', '02393086')], '02393086')
([('00728826', 'NO_OP', '00728826'), ('00728826', 'NO_OP', '00728826'), ('00728826', '¬_similar_to', '00727564')], '00727564')
([('01835276', '¬_similar_to', '01834304'), ('01834304', '_derivationally_related_form', '00410247'), ('00410247', '¬_hypernym', '01030820')], '01834304')
([('00392093', '¬_similar_to', '00386392'), ('00386392', 'NO_OP', '00386392'), ('00386392', 'NO_OP', '00386392')], '00386392')
([('00536655', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
