COUNTRIES, countries-1
([('france', 'neighborOf', 'belgium'), ('belgium', 'neighborOf', 'germany'), ('germany', '¬neighborOf', 'belgium'), ('belgium', 'locatedIn', 'europe'), ('europe', '¬locatedIn', 'vatican_city')], 'europe')
([('lebanon', '¬neighborOf', 'israel'), ('israel', 'locatedIn', 'western_asia'), ('western_asia', '¬locatedIn', 'oman'), ('oman', 'locatedIn', 'asia'), ('asia', '¬locatedIn', 'china')], 'asia')
([('afghanistan', '¬neighborOf', 'turkmenistan'), ('turkmenistan', '¬neighborOf', 'iran'), ('iran', 'locatedIn', 'asia'), ('asia', '¬locatedIn', 'syria'), ('syria', 'NO_OP', 'syria')], 'turkmenistan')
([('poland', 'locatedIn', 'europe'), ('europe', '¬locatedIn', 'austria'), ('austria', '¬neighborOf', 'liechtenstein'), ('liechtenstein', '¬neighborOf', 'switzerland'), ('switzerland', 'neighborOf', 'germany')], 'germany')
([('croatia', 'NO_OP', 'croatia'), ('croatia', '¬neighborOf', 'serbia'), ('serbia', '¬neighborOf', 'montenegro'), ('montenegro', '¬neighborOf', 'kosovo'), ('kosovo', 'locatedIn', 'eastern_europe')], 'montenegro')
([('guatemala', '¬neighborOf', 'mexico'), ('mexico', 'NO_OP', 'mexico'), ('mexico', 'locatedIn', 'northern_america'), ('northern_america', '¬locatedIn', 'united_states_minor_outlying_islands'), ('united_states_minor_outlying_islands', 'NO_OP', 'united_states_minor_outlying_islands')], 'mexico')
([('gibraltar', 'locatedIn', 'southern_europe'), ('southern_europe', '¬locatedIn', 'malta'), ('malta', 'locatedIn', 'europe'), ('europe', '¬locatedIn', 'denmark'), ('denmark', '¬neighborOf', 'germany')], 'europe')
([('syria', '¬neighborOf', 'lebanon'), ('lebanon', 'locatedIn', 'western_asia'), ('western_asia', '¬locatedIn', 'georgia'), ('georgia', '¬neighborOf', 'azerbaijan'), ('azerbaijan', '¬neighborOf', 'iran')], 'western_asia')
([('sint_maarten', 'locatedIn', 'americas'), ('americas', '¬locatedIn', 'sint_maarten'), ('sint_maarten', '¬neighborOf', 'saint_martin'), ('saint_martin', '¬neighborOf', 'sint_maarten'), ('sint_maarten', '¬neighborOf', 'saint_martin')], 'saint_martin')
([('jordan', '¬neighborOf', 'iraq'), ('iraq', '¬neighborOf', 'syria'), ('syria', 'neighborOf', 'lebanon'), ('lebanon', '¬neighborOf', 'syria'), ('syria', '¬neighborOf', 'turkey')], 'syria')
([('el_salvador', 'neighborOf', 'honduras'), ('honduras', 'locatedIn', 'americas'), ('americas', '¬locatedIn', 'guyana'), ('guyana', 'locatedIn', 'south_america'), ('south_america', '¬locatedIn', 'paraguay')], 'americas')
([('ethiopia', '¬neighborOf', 'eritrea'), ('eritrea', 'neighborOf', 'sudan'), ('sudan', 'neighborOf', 'south_sudan'), ('south_sudan', 'neighborOf', 'kenya'), ('kenya', 'neighborOf', 'somalia')], 'kenya')
([('zambia', '¬neighborOf', 'angola'), ('angola', '¬neighborOf', 'namibia'), ('namibia', 'neighborOf', 'botswana'), ('botswana', 'locatedIn', 'southern_africa'), ('southern_africa', 'locatedIn', 'africa')], 'botswana')
([('moldova', '¬neighborOf', 'ukraine'), ('ukraine', 'locatedIn', 'eastern_europe'), ('eastern_europe', '¬locatedIn', 'bulgaria'), ('bulgaria', 'neighborOf', 'romania'), ('romania', '¬neighborOf', 'serbia')], 'ukraine')
([('albania', '¬neighborOf', 'kosovo'), ('kosovo', '¬neighborOf', 'macedonia'), ('macedonia', 'locatedIn', 'europe'), ('europe', '¬locatedIn', 'andorra'), ('andorra', 'neighborOf', 'spain')], 'macedonia')
([('guinea-bissau', 'NO_OP', 'guinea-bissau'), ('guinea-bissau', '¬neighborOf', 'senegal'), ('senegal', 'locatedIn', 'western_africa'), ('western_africa', 'locatedIn', 'africa'), ('africa', '¬locatedIn', 'lesotho')], 'senegal')
([('niue', 'locatedIn', 'polynesia'), ('polynesia', 'NO_OP', 'polynesia'), ('polynesia', '¬locatedIn', 'american_samoa'), ('american_samoa', 'locatedIn', 'oceania'), ('oceania', '¬locatedIn', 'northern_mariana_islands')], 'oceania')
([('saudi_arabia', '¬neighborOf', 'iraq'), ('iraq', 'neighborOf', 'jordan'), ('jordan', 'neighborOf', 'syria'), ('syria', 'neighborOf', 'israel'), ('israel', 'neighborOf', 'jordan')], 'iraq')
([('cook_islands', 'locatedIn', 'polynesia'), ('polynesia', 'NO_OP', 'polynesia'), ('polynesia', '¬locatedIn', 'american_samoa'), ('american_samoa', 'locatedIn', 'oceania'), ('oceania', '¬locatedIn', 'papua_new_guinea')], 'oceania')
([('uruguay', 'locatedIn', 'south_america'), ('south_america', '¬locatedIn', 'colombia'), ('colombia', '¬neighborOf', 'ecuador'), ('ecuador', 'locatedIn', 'americas'), ('americas', '¬locatedIn', 'el_salvador')], 'americas')
([('kosovo', 'neighborOf', 'albania'), ('albania', 'NO_OP', 'albania'), ('albania', 'locatedIn', 'europe'), ('europe', '¬locatedIn', 'spain'), ('spain', 'neighborOf', 'morocco')], 'europe')
([('kuwait', '¬neighborOf', 'saudi_arabia'), ('saudi_arabia', 'neighborOf', 'qatar'), ('qatar', 'neighborOf', 'saudi_arabia'), ('saudi_arabia', '¬neighborOf', 'iraq'), ('iraq', 'neighborOf', 'saudi_arabia')], 'iraq')
([('benin', '¬neighborOf', 'burkina_faso'), ('burkina_faso', 'neighborOf', 'benin'), ('benin', '¬neighborOf', 'niger'), ('niger', 'neighborOf', 'libya'), ('libya', 'NO_OP', 'libya')], 'niger')
([('namibia', 'locatedIn', 'southern_africa'), ('southern_africa', '¬locatedIn', 'namibia'), ('namibia', 'neighborOf', 'zambia'), ('zambia', '¬neighborOf', 'angola'), ('angola', 'NO_OP', 'angola')], 'angola')
([('guinea-bissau', '¬neighborOf', 'senegal'), ('senegal', '¬neighborOf', 'gambia'), ('gambia', '¬neighborOf', 'senegal'), ('senegal', '¬neighborOf', 'mauritania'), ('mauritania', 'NO_OP', 'mauritania')], 'senegal')
([('palau', 'NO_OP', 'palau'), ('palau', 'locatedIn', 'micronesia'), ('micronesia', 'locatedIn', 'oceania'), ('oceania', '¬locatedIn', 'kiribati'), ('kiribati', 'locatedIn', 'oceania')], 'oceania')
([('germany', '¬neighborOf', 'france'), ('france', 'neighborOf', 'spain'), ('spain', '¬neighborOf', 'andorra'), ('andorra', 'NO_OP', 'andorra'), ('andorra', 'locatedIn', 'southern_europe')], 'france')
([('republic_of_the_congo', 'neighborOf', 'central_african_republic'), ('central_african_republic', '¬neighborOf', 'cameroon'), ('cameroon', 'neighborOf', 'republic_of_the_congo'), ('republic_of_the_congo', 'neighborOf', 'dr_congo'), ('dr_congo', 'neighborOf', 'angola')], 'angola')
([('pitcairn_islands', 'locatedIn', 'polynesia'), ('polynesia', 'locatedIn', 'oceania'), ('oceania', '¬locatedIn', 'tokelau'), ('tokelau', 'locatedIn', 'oceania'), ('oceania', '¬locatedIn', 'french_polynesia')], 'oceania')
([('norway', 'NO_OP', 'norway'), ('norway', 'neighborOf', 'finland'), ('finland', '¬neighborOf', 'sweden'), ('sweden', 'neighborOf', 'norway'), ('norway', '¬neighborOf', 'finland')], 'sweden')
([('bulgaria', 'neighborOf', 'romania'), ('romania', 'locatedIn', 'eastern_europe'), ('eastern_europe', '¬locatedIn', 'hungary'), ('hungary', '¬neighborOf', 'austria'), ('austria', 'neighborOf', 'italy')], 'eastern_europe')
([('malta', 'locatedIn', 'southern_europe'), ('southern_europe', 'locatedIn', 'europe'), ('europe', '¬locatedIn', 'belgium'), ('belgium', 'neighborOf', 'netherlands'), ('netherlands', '¬neighborOf', 'belgium')], 'europe')
([('panama', '¬neighborOf', 'costa_rica'), ('costa_rica', 'neighborOf', 'panama'), ('panama', '¬neighborOf', 'colombia'), ('colombia', 'neighborOf', 'venezuela'), ('venezuela', 'neighborOf', 'guyana')], 'colombia')
([('western_europe', '¬locatedIn', 'france'), ('france', 'locatedIn', 'europe'), ('europe', '¬locatedIn', 'eastern_europe'), ('eastern_europe', '¬locatedIn', 'poland'), ('poland', 'neighborOf', 'czechia')], 'europe')
([('iraq', '¬neighborOf', 'syria'), ('syria', 'neighborOf', 'turkey'), ('turkey', '¬neighborOf', 'syria'), ('syria', '¬neighborOf', 'israel'), ('israel', '¬neighborOf', 'palestine')], 'turkey')
([('nepal', 'neighborOf', 'india'), ('india', '¬neighborOf', 'bhutan'), ('bhutan', '¬neighborOf', 'china'), ('china', '¬neighborOf', 'mongolia'), ('mongolia', 'NO_OP', 'mongolia')], 'china')
([('botswana', '¬neighborOf', 'south_africa'), ('south_africa', '¬neighborOf', 'lesotho'), ('lesotho', 'locatedIn', 'southern_africa'), ('southern_africa', '¬locatedIn', 'namibia'), ('namibia', '¬neighborOf', 'zambia')], 'south_africa')
([('guatemala', '¬neighborOf', 'mexico'), ('mexico', '¬neighborOf', 'belize'), ('belize', '¬neighborOf', 'mexico'), ('mexico', 'neighborOf', 'united_states'), ('united_states', 'locatedIn', 'northern_america')], 'mexico')
([('albania', '¬neighborOf', 'greece'), ('greece', '¬neighborOf', 'macedonia'), ('macedonia', '¬neighborOf', 'serbia'), ('serbia', '¬neighborOf', 'croatia'), ('croatia', 'locatedIn', 'southern_europe')], 'macedonia')
([('republic_of_the_congo', 'neighborOf', 'central_african_republic'), ('central_african_republic', 'locatedIn', 'africa'), ('africa', '¬locatedIn', 'seychelles'), ('seychelles', 'locatedIn', 'africa'), ('africa', '¬locatedIn', 'niger')], 'africa')
([('austria', '¬neighborOf', 'slovakia'), ('slovakia', '¬neighborOf', 'hungary'), ('hungary', 'neighborOf', 'slovenia'), ('slovenia', '¬neighborOf', 'croatia'), ('croatia', 'locatedIn', 'europe')], 'hungary')
([('british_virgin_islands', 'NO_OP', 'british_virgin_islands'), ('british_virgin_islands', 'locatedIn', 'caribbean'), ('caribbean', '¬locatedIn', 'martinique'), ('martinique', 'locatedIn', 'americas'), ('americas', '¬locatedIn', 'saint_barthelemy')], 'americas')
([('tunisia', '¬neighborOf', 'algeria'), ('algeria', '¬neighborOf', 'libya'), ('libya', 'neighborOf', 'tunisia'), ('tunisia', 'locatedIn', 'africa'), ('africa', '¬locatedIn', 'cape_verde')], 'algeria')
([('mexico', '¬neighborOf', 'guatemala'), ('guatemala', 'locatedIn', 'americas'), ('americas', '¬locatedIn', 'dominica'), ('dominica', 'NO_OP', 'dominica'), ('dominica', 'locatedIn', 'caribbean')], 'americas')
([('tuvalu', 'locatedIn', 'oceania'), ('oceania', '¬locatedIn', 'american_samoa'), ('american_samoa', 'locatedIn', 'polynesia'), ('polynesia', '¬locatedIn', 'tonga'), ('tonga', 'NO_OP', 'tonga')], 'polynesia')
([('zimbabwe', '¬neighborOf', 'botswana'), ('botswana', '¬neighborOf', 'zimbabwe'), ('zimbabwe', 'neighborOf', 'mozambique'), ('mozambique', 'neighborOf', 'malawi'), ('malawi', 'locatedIn', 'africa')], 'africa')
([('netherlands', '¬neighborOf', 'germany'), ('germany', '¬neighborOf', 'netherlands'), ('netherlands', '¬neighborOf', 'belgium'), ('belgium', '¬neighborOf', 'germany'), ('germany', 'neighborOf', 'austria')], 'germany')
([('iceland', 'NO_OP', 'iceland'), ('iceland', 'locatedIn', 'europe'), ('europe', '¬locatedIn', 'latvia'), ('latvia', 'locatedIn', 'northern_europe'), ('northern_europe', '¬locatedIn', 'guernsey')], 'northern_europe')
([('san_marino', 'NO_OP', 'san_marino'), ('san_marino', 'NO_OP', 'san_marino'), ('san_marino', 'NO_OP', 'san_marino'), ('san_marino', '¬neighborOf', 'italy'), ('italy', '¬neighborOf', 'vatican_city')], 'italy')
([('taiwan', 'NO_OP', 'taiwan'), ('taiwan', 'locatedIn', 'eastern_asia'), ('eastern_asia', '¬locatedIn', 'macau'), ('macau', 'locatedIn', 'asia'), ('asia', '¬locatedIn', 'mongolia')], 'asia')
([('slovenia', 'neighborOf', 'italy'), ('italy', 'neighborOf', 'vatican_city'), ('vatican_city', 'locatedIn', 'southern_europe'), ('southern_europe', '¬locatedIn', 'san_marino'), ('san_marino', 'locatedIn', 'europe')], 'europe')
([('egypt', 'locatedIn', 'northern_africa'), ('northern_africa', '¬locatedIn', 'sudan'), ('sudan', 'neighborOf', 'eritrea'), ('eritrea', 'neighborOf', 'ethiopia'), ('ethiopia', 'neighborOf', 'sudan')], 'sudan')
([('ethiopia', 'neighborOf', 'djibouti'), ('djibouti', '¬neighborOf', 'ethiopia'), ('ethiopia', '¬neighborOf', 'kenya'), ('kenya', '¬neighborOf', 'ethiopia'), ('ethiopia', 'neighborOf', 'djibouti')], 'kenya')
([('peru', 'NO_OP', 'peru'), ('peru', 'neighborOf', 'chile'), ('chile', 'neighborOf', 'bolivia'), ('bolivia', 'neighborOf', 'peru'), ('peru', 'neighborOf', 'chile')], 'bolivia')
([('georgia', '¬neighborOf', 'turkey'), ('turkey', 'locatedIn', 'asia'), ('asia', '¬locatedIn', 'brunei'), ('brunei', 'locatedIn', 'asia'), ('asia', '¬locatedIn', 'myanmar')], 'asia')
([('azerbaijan', '¬neighborOf', 'georgia'), ('georgia', '¬neighborOf', 'turkey'), ('turkey', '¬neighborOf', 'iran'), ('iran', 'neighborOf', 'turkmenistan'), ('turkmenistan', '¬neighborOf', 'afghanistan')], 'georgia')
([('czechia', '¬neighborOf', 'poland'), ('poland', '¬neighborOf', 'czechia'), ('czechia', 'neighborOf', 'austria'), ('austria', 'locatedIn', 'western_europe'), ('western_europe', '¬locatedIn', 'liechtenstein')], 'poland')
([('central_african_republic', 'locatedIn', 'africa'), ('africa', '¬locatedIn', 'south_sudan'), ('south_sudan', '¬neighborOf', 'sudan'), ('sudan', '¬neighborOf', 'central_african_republic'), ('central_african_republic', 'neighborOf', 'chad')], 'south_sudan')
([('italy', '¬neighborOf', 'san_marino'), ('san_marino', '¬neighborOf', 'italy'), ('italy', 'neighborOf', 'austria'), ('austria', '¬neighborOf', 'hungary'), ('hungary', 'NO_OP', 'hungary')], 'san_marino')
([('north_korea', '¬neighborOf', 'south_korea'), ('south_korea', 'neighborOf', 'north_korea'), ('north_korea', 'neighborOf', 'south_korea'), ('south_korea', 'locatedIn', 'asia'), ('asia', '¬locatedIn', 'saudi_arabia')], 'asia')
([('south_africa', '¬neighborOf', 'namibia'), ('namibia', '¬neighborOf', 'botswana'), ('botswana', '¬neighborOf', 'zambia'), ('zambia', 'neighborOf', 'zimbabwe'), ('zimbabwe', '¬neighborOf', 'mozambique')], 'botswana')
([('norway', 'neighborOf', 'finland'), ('finland', '¬neighborOf', 'norway'), ('norway', '¬neighborOf', 'sweden'), ('sweden', 'locatedIn', 'europe'), ('europe', '¬locatedIn', 'croatia')], 'sweden')
([('argentina', 'neighborOf', 'uruguay'), ('uruguay', 'locatedIn', 'south_america'), ('south_america', '¬locatedIn', 'colombia'), ('colombia', '¬neighborOf', 'peru'), ('peru', 'locatedIn', 'americas')], 'south_america')
([('bahamas', 'locatedIn', 'caribbean'), ('caribbean', '¬locatedIn', 'trinidad_and_tobago'), ('trinidad_and_tobago', 'locatedIn', 'americas'), ('americas', '¬locatedIn', 'brazil'), ('brazil', '¬neighborOf', 'venezuela')], 'americas')
([('palau', 'NO_OP', 'palau'), ('palau', 'locatedIn', 'oceania'), ('oceania', '¬locatedIn', 'micronesia'), ('micronesia', 'locatedIn', 'micronesia'), ('micronesia', 'locatedIn', 'oceania')], 'micronesia')
([('cook_islands', 'locatedIn', 'polynesia'), ('polynesia', '¬locatedIn', 'tokelau'), ('tokelau', 'locatedIn', 'oceania'), ('oceania', '¬locatedIn', 'vanuatu'), ('vanuatu', 'NO_OP', 'vanuatu')], 'oceania')
([('zimbabwe', 'neighborOf', 'mozambique'), ('mozambique', '¬neighborOf', 'malawi'), ('malawi', '¬neighborOf', 'mozambique'), ('mozambique', 'neighborOf', 'zambia'), ('zambia', '¬neighborOf', 'botswana')], 'zambia')
([('uzbekistan', 'locatedIn', 'central_asia'), ('central_asia', '¬locatedIn', 'kyrgyzstan'), ('kyrgyzstan', '¬neighborOf', 'china'), ('china', '¬neighborOf', 'kyrgyzstan'), ('kyrgyzstan', 'neighborOf', 'kazakhstan')], 'kazakhstan')
([('suriname', '¬neighborOf', 'brazil'), ('brazil', 'neighborOf', 'venezuela'), ('venezuela', 'NO_OP', 'venezuela'), ('venezuela', 'locatedIn', 'south_america'), ('south_america', 'locatedIn', 'americas')], 'americas')
([('south_africa', '¬neighborOf', 'lesotho'), ('lesotho', 'NO_OP', 'lesotho'), ('lesotho', 'locatedIn', 'southern_africa'), ('southern_africa', 'locatedIn', 'africa'), ('africa', '¬locatedIn', 'cape_verde')], 'lesotho')
([('iran', '¬neighborOf', 'iraq'), ('iraq', 'neighborOf', 'kuwait'), ('kuwait', 'locatedIn', 'western_asia'), ('western_asia', '¬locatedIn', 'bahrain'), ('bahrain', 'locatedIn', 'asia')], 'iraq')
([('kenya', 'neighborOf', 'somalia'), ('somalia', 'locatedIn', 'eastern_africa'), ('eastern_africa', '¬locatedIn', 'comoros'), ('comoros', 'NO_OP', 'comoros'), ('comoros', 'locatedIn', 'africa')], 'eastern_africa')
([('hungary', '¬neighborOf', 'serbia'), ('serbia', 'neighborOf', 'hungary'), ('hungary', '¬neighborOf', 'romania'), ('romania', 'NO_OP', 'romania'), ('romania', '¬neighborOf', 'ukraine')], 'ukraine')
([('uganda', 'NO_OP', 'uganda'), ('uganda', '¬neighborOf', 'rwanda'), ('rwanda', '¬neighborOf', 'tanzania'), ('tanzania', 'locatedIn', 'eastern_africa'), ('eastern_africa', '¬locatedIn', 'reunion')], 'tanzania')
