WN18RR, _also_see_WN18_generic_PPO_simple_embedding_100
([('01116380', '¬_also_see', '02461723'), ('02461723', '¬_derivationally_related_form', '06756407'), ('06756407', '¬_derivationally_related_form', '00835903')], '02461723')
([('02577061', '¬_also_see', '02056880'), ('02056880', '_also_see', '01180695'), ('01180695', '¬_also_see', '01557614')], '02056880')
([('01660994', 'NO_OP', '01660994'), ('01660994', '¬_also_see', '00064479'), ('00064479', '¬_also_see', '01660994')], '00064479')
([('01430847', '¬_also_see', '01926376'), ('01926376', '¬_also_see', '02074092'), ('02074092', '¬_derivationally_related_form', '14395018')], '01926376')
([('00364479', '¬_also_see', '01368192'), ('01368192', '¬_also_see', '01364008'), ('01364008', 'NO_OP', '01364008')], '01368192')
([('02497141', '¬_also_see', '00835609'), ('00835609', '_also_see', '00839411'), ('00839411', 'NO_OP', '00839411')], '00835609')
([('00508192', 'NO_OP', '00508192'), ('00508192', '_derivationally_related_form', '04714440'), ('04714440', '¬_derivationally_related_form', '00561036')], '00561036')
([('01589217', '_also_see', '00264776'), ('00264776', '_also_see', '01589217'), ('01589217', '¬_also_see', '00904548')], '00904548')
([('02164402', 'NO_OP', '02164402'), ('02164402', '_derivationally_related_form', '14436438'), ('14436438', '¬_derivationally_related_form', '01279978')], '01279978')
([('00853776', '¬_also_see', '01725712'), ('01725712', '_also_see', '01256332'), ('01256332', 'NO_OP', '01256332')], '01725712')
([('01925372', '¬_also_see', '01943406'), ('01943406', '_also_see', '00956131'), ('00956131', '¬_also_see', '01369663')], '01943406')
([('02102796', '¬_also_see', '00571643'), ('00571643', '_also_see', '00191603'), ('00191603', '¬_derivationally_related_form', '05679611')], '00571643')
([('00605516', '¬_also_see', '01688271'), ('01688271', '¬_also_see', '00605516'), ('00605516', 'NO_OP', '00605516')], '01688271')
([('00227507', '¬_also_see', '01123148'), ('01123148', 'NO_OP', '01123148'), ('01123148', '¬_also_see', '01612053')], '01123148')
([('00419289', '¬_also_see', '02424254'), ('02424254', '_derivationally_related_form', '14499594'), ('14499594', '_hypernym', '14499262')], '02424254')
([('00439588', '¬_also_see', '01336587'), ('01336587', '¬_also_see', '00439588'), ('00439588', '¬_derivationally_related_form', '10667187')], '01336587')
([('00019131', '¬_also_see', '00604617'), ('00604617', '_derivationally_related_form', '02729965'), ('02729965', '¬_derivationally_related_form', '10117017')], '00604617')
([('02530861', '¬_also_see', '00853776'), ('00853776', '¬_also_see', '02530861'), ('02530861', 'NO_OP', '02530861')], '00853776')
([('01507134', '¬_also_see', '00506299'), ('00506299', 'NO_OP', '00506299'), ('00506299', '¬_derivationally_related_form', '07553741')], '00506299')
([('01749320', '¬_also_see', '00289365'), ('00289365', 'NO_OP', '00289365'), ('00289365', 'NO_OP', '00289365')], '00289365')
([('00251809', '_also_see', '00077645'), ('00077645', '_also_see', '00264776'), ('00264776', '¬_derivationally_related_form', '04860586')], '00264776')
([('01195536', '¬_also_see', '02495922'), ('02495922', '¬_also_see', '01870889'), ('01870889', '_derivationally_related_form', '05157866')], '02495922')
([('01222360', '¬_also_see', '01226240'), ('01226240', '_also_see', '01548193'), ('01548193', '_derivationally_related_form', '04846770')], '01226240')
([('02523275', '¬_also_see', '02094755'), ('02094755', '¬_also_see', '02523275'), ('02523275', '¬_also_see', '01886407')], '01886407')
([('00583239', '¬_also_see', '02505716'), ('02505716', '¬_derivationally_related_form', '04739932'), ('04739932', '_hypernym', '04737934')], '02505716')
([('00619972', '¬_also_see', '01195536'), ('01195536', '¬_also_see', '00619972'), ('00619972', 'NO_OP', '00619972')], '01195536')
([('02166346', '¬_also_see', '02244619'), ('02244619', '¬_also_see', '02166346'), ('02166346', '_also_see', '02174896')], '02244619')
([('01148283', '¬_also_see', '01366718'), ('01366718', '¬_derivationally_related_form', '07527352'), ('07527352', '¬_derivationally_related_form', '01363613')], '01366718')
([('01716227', '¬_also_see', '00133417'), ('00133417', '_also_see', '02395115'), ('02395115', '_also_see', '00133417')], '00133417')
([('00417413', '¬_also_see', '02115324'), ('02115324', 'NO_OP', '02115324'), ('02115324', '¬_derivationally_related_form', '02724207')], '02115324')
([('00111129', '¬_also_see', '01430111'), ('01430111', '_derivationally_related_form', '04784664'), ('04784664', '_hypernym', '04723816')], '01430111')
([('02531422', '¬_also_see', '01257612'), ('01257612', '_derivationally_related_form', '04629604'), ('04629604', 'NO_OP', '04629604')], '01257612')
([('02505716', '¬_derivationally_related_form', '04769456'), ('04769456', '¬_derivationally_related_form', '02505716'), ('02505716', '¬_also_see', '00583239')], '00583239')
([('01370590', '¬_also_see', '02035337'), ('02035337', '_also_see', '01370590'), ('01370590', '¬_also_see', '01227137')], '01227137')
([('00224166', '_derivationally_related_form', '04846533'), ('04846533', '¬_derivationally_related_form', '00224166'), ('00224166', '¬_also_see', '00227003')], '00227003')
([('02064745', '_derivationally_related_form', '04748836'), ('04748836', '_derivationally_related_form', '01410363'), ('01410363', '_derivationally_related_form', '04750164')], '01410363')
([('00289082', '¬_also_see', '02274253'), ('02274253', '¬_also_see', '02559180'), ('02559180', '¬_also_see', '01172889')], '02274253')
([('01368192', '¬_also_see', '00364479'), ('00364479', '_also_see', '01368192'), ('01368192', '¬_also_see', '01364008')], '00364479')
([('01116380', '¬_also_see', '02461723'), ('02461723', '¬_also_see', '02180797'), ('02180797', '¬_also_see', '01222884')], '02461723')
([('02236124', '¬_hypernym', '02346724'), ('02346724', 'NO_OP', '02346724'), ('02346724', '_hypernym', '02236124')], '02346724')
([('00921014', '¬_also_see', '02131072'), ('02131072', '¬_also_see', '00921014'), ('00921014', '¬_also_see', '01343918')], '01343918')
([('01865197', '¬_also_see', '02331262'), ('02331262', '¬_derivationally_related_form', '14474052'), ('14474052', '¬_hypernym', '14447525')], '02331262')
([('02055062', 'NO_OP', '02055062'), ('02055062', '¬_also_see', '01781478'), ('01781478', '¬_derivationally_related_form', '04826771')], '01781478')
([('00191603', '¬_also_see', '00571643'), ('00571643', '_also_see', '02102796'), ('02102796', '_also_see', '02106761')], '02102796')
([('00550777', '¬_also_see', '00740336'), ('00740336', '_also_see', '00550777'), ('00550777', '¬_derivationally_related_form', '04758181')], '00740336')
([('00051045', 'NO_OP', '00051045'), ('00051045', 'NO_OP', '00051045'), ('00051045', '¬_also_see', '02080577')], '02080577')
([('02036578', '¬_also_see', '01129977'), ('01129977', '¬_also_see', '02513269'), ('02513269', '¬_also_see', '00360650')], '01129977')
([('00227003', 'NO_OP', '00227003'), ('00227003', '¬_also_see', '01160031'), ('01160031', '_also_see', '02559180')], '01160031')
([('01125429', 'NO_OP', '01125429'), ('01125429', '¬_also_see', '00996448'), ('00996448', '¬_also_see', '00647542')], '00996448')
([('02412164', '_also_see', '02561888'), ('02561888', '¬_also_see', '02412164'), ('02412164', '¬_also_see', '00988232')], '00988232')
([('00639356', '_derivationally_related_form', '04845967'), ('04845967', '_derivationally_related_form', '00639356'), ('00639356', '¬_also_see', '02098325')], '02098325')
([('01821266', '¬_also_see', '01834304'), ('01834304', '¬_also_see', '02123812'), ('02123812', 'NO_OP', '02123812')], '01834304')
([('01870889', '¬_also_see', '00064479'), ('00064479', '_also_see', '01870889'), ('01870889', '_also_see', '02495922')], '00064479')
([('01878466', '_also_see', '02034828'), ('02034828', '¬_also_see', '01878466'), ('01878466', '¬_also_see', '00631391')], '00631391')
([('02102796', '¬_also_see', '00191603'), ('00191603', '¬_also_see', '00571643'), ('00571643', '_also_see', '02102796')], '00191603')
([('00956131', '¬_also_see', '01943406'), ('01943406', '¬_derivationally_related_form', '05160574'), ('05160574', '¬_derivationally_related_form', '01943406')], '01943406')
([('00063277', '¬_also_see', '01140514'), ('01140514', '¬_also_see', '00063277'), ('00063277', '_derivationally_related_form', '05648459')], '01140514')
([('00156839', '¬_also_see', '00251809'), ('00251809', '¬_also_see', '00156839'), ('00156839', '¬_also_see', '00788821')], '00788821')
([('01123148', '¬_also_see', '00227507'), ('00227507', '¬_also_see', '01123148'), ('01123148', '¬_also_see', '01612053')], '00227507')
([('01878466', '¬_also_see', '00631391'), ('00631391', '¬_also_see', '01878466'), ('01878466', '¬_derivationally_related_form', '04898437')], '00631391')
([('01170243', '¬_also_see', '02037708'), ('02037708', '¬_also_see', '01170243'), ('01170243', '¬_also_see', '02273326')], '02037708')
([('01370590', '¬_also_see', '01227137'), ('01227137', '_derivationally_related_form', '04873550'), ('04873550', 'NO_OP', '04873550')], '01227137')
([('02169891', '¬_hypernym', '02189714'), ('02189714', '¬_also_see', '02169891'), ('02169891', '¬_hypernym', '02189714')], '02189714')
([('02424254', '¬_also_see', '00419289'), ('00419289', '¬_derivationally_related_form', '14498096'), ('14498096', '_derivationally_related_form', '00419289')], '00419289')
([('01244410', '¬_also_see', '02510879'), ('02510879', '_derivationally_related_form', '05037813'), ('05037813', '_hypernym', '05036394')], '02510879')
([('00306314', '¬_also_see', '00510050'), ('00510050', 'NO_OP', '00510050'), ('00510050', 'NO_OP', '00510050')], '00510050')
([('00986027', 'NO_OP', '00986027'), ('00986027', '¬_also_see', '02410393'), ('02410393', '¬_also_see', '02560548')], '02410393')
([('00644372', '¬_also_see', '01866535'), ('01866535', '¬_also_see', '00644372'), ('00644372', 'NO_OP', '00644372')], '01866535')
([('02180797', '¬_also_see', '01222884'), ('01222884', '_also_see', '02180797'), ('02180797', '¬_also_see', '02461723')], '02461723')
([('02094755', '_also_see', '02523275'), ('02523275', '_also_see', '01886407'), ('01886407', 'NO_OP', '01886407')], '01886407')
([('00019131', '¬_also_see', '00604617'), ('00604617', '_derivationally_related_form', '02729965'), ('02729965', '¬_hypernym', '03777126')], '00604617')
([('00909363', '¬_also_see', '01149494'), ('01149494', '¬_also_see', '00364479'), ('00364479', '_derivationally_related_form', '04631298')], '01149494')
([('00650577', '¬_also_see', '00655779'), ('00655779', '_derivationally_related_form', '14451672'), ('14451672', '_derivationally_related_form', '00655779')], '00655779')
([('02037708', '¬_also_see', '01170243'), ('01170243', '_derivationally_related_form', '14049711'), ('14049711', '¬_hypernym', '14051201')], '01170243')
([('01918984', '¬_also_see', '00174379'), ('00174379', 'NO_OP', '00174379'), ('00174379', 'NO_OP', '00174379')], '00174379')
([('02098325', '¬_also_see', '00101800'), ('00101800', 'NO_OP', '00101800'), ('00101800', '_derivationally_related_form', '10047459')], '00101800')
([('00264776', '¬_also_see', '00077645'), ('00077645', '¬_also_see', '00264776'), ('00264776', '¬_also_see', '00251809')], '00077645')
([('00013160', '¬_also_see', '01932973'), ('01932973', '_derivationally_related_form', '13955461'), ('13955461', 'NO_OP', '13955461')], '01932973')
([('01460421', 'NO_OP', '01460421'), ('01460421', 'NO_OP', '01460421'), ('01460421', '¬_also_see', '01624633')], '01624633')
([('02102484', '_derivationally_related_form', '05652926'), ('05652926', '_derivationally_related_form', '02103481'), ('02103481', '_derivationally_related_form', '02155248')], '02103481')
([('00904548', '¬_also_see', '02588099'), ('02588099', '_derivationally_related_form', '04807776'), ('04807776', '¬_derivationally_related_form', '02588099')], '02588099')
([('00655779', '¬_also_see', '00684480'), ('00684480', '¬_derivationally_related_form', '00701877'), ('00701877', '_hypernym', '00701040')], '00684480')
([('01160031', '¬_also_see', '02559180'), ('02559180', '_also_see', '01160031'), ('01160031', '_similar_to', '01161635')], '02559180')
([('00655779', '¬_derivationally_related_form', '05168261'), ('05168261', '_derivationally_related_form', '01275562'), ('01275562', '_also_see', '00900616')], '00900616')
([('02278939', '_also_see', '00873603'), ('00873603', '_also_see', '00804695'), ('00804695', 'NO_OP', '00804695')], '00804695')
([('00822449', '¬_also_see', '00479933'), ('00479933', '_also_see', '00822449'), ('00822449', '¬_also_see', '00479933')], '00479933')
([('01934554', '¬_also_see', '02180797'), ('02180797', '¬_also_see', '01116380'), ('01116380', '¬_also_see', '01934554')], '02180797')
([('00629997', '¬_also_see', '00627849'), ('00627849', '_hypernym', '00624738'), ('00624738', 'NO_OP', '00624738')], '00627849')
([('00959731', 'NO_OP', '00959731'), ('00959731', 'NO_OP', '00959731'), ('00959731', '¬_also_see', '02466111')], '02466111')
([('00561036', '_derivationally_related_form', '04714440'), ('04714440', '¬_derivationally_related_form', '00508192'), ('00508192', '¬_derivationally_related_form', '04714440')], '00508192')
([('00227507', '¬_also_see', '01123148'), ('01123148', '_also_see', '01129977'), ('01129977', '¬_also_see', '02513269')], '01123148')
([('02037272', '¬_also_see', '01549291'), ('01549291', '¬_also_see', '01131043'), ('01131043', '_also_see', '02513740')], '01131043')
([('00075135', 'NO_OP', '00075135'), ('00075135', '¬_also_see', '01817500'), ('01817500', '¬_also_see', '02354537')], '01817500')
([('02180797', '¬_also_see', '02461723'), ('02461723', '¬_also_see', '00632438'), ('00632438', 'NO_OP', '00632438')], '02461723')
([('01886407', '¬_also_see', '02523275'), ('02523275', '_also_see', '02360448'), ('02360448', '¬_also_see', '02523275')], '02523275')
([('01129977', '¬_also_see', '01123148'), ('01123148', '_also_see', '01612053'), ('01612053', '_also_see', '00696518')], '01123148')
([('01368192', '¬_also_see', '01364008'), ('01364008', '_also_see', '01368192'), ('01368192', '_also_see', '00364479')], '01364008')
([('02566015', '¬_also_see', '00695523'), ('00695523', '_derivationally_related_form', '04907991'), ('04907991', '_hypernym', '04907269')], '00695523')
([('01370590', '¬_also_see', '02037272'), ('02037272', '¬_also_see', '01370590'), ('01370590', '¬_derivationally_related_form', '04854389')], '02037272')
([('00988232', '¬_also_see', '02412164'), ('02412164', '¬_also_see', '02561888'), ('02561888', '_derivationally_related_form', '09365863')], '02412164')
([('02523275', '¬_also_see', '02094755'), ('02094755', 'NO_OP', '02094755'), ('02094755', '¬_also_see', '01886407')], '02094755')
([('00583239', '¬_also_see', '02505716'), ('02505716', '_also_see', '00583239'), ('00583239', '¬_also_see', '00958880')], '02505716')
([('01711071', '¬_also_see', '01160031'), ('01160031', '_similar_to', '01161635'), ('01161635', 'NO_OP', '01161635')], '01160031')
([('00364479', '¬_also_see', '01368192'), ('01368192', '_also_see', '01364008'), ('01364008', '_hypernym', '01352574')], '01368192')
([('01497736', '¬_also_see', '01279978'), ('01279978', '_also_see', '01497736'), ('01497736', 'NO_OP', '01497736')], '01279978')
([('00707366', '¬_also_see', '02037708'), ('02037708', '¬_also_see', '02321009'), ('02321009', '¬_also_see', '01825671')], '02321009')
([('01589217', '¬_also_see', '01227137'), ('01227137', '¬_also_see', '01370590'), ('01370590', '_also_see', '00957176')], '01227137')
([('00251809', '_also_see', '00264776'), ('00264776', '¬_also_see', '00077645'), ('00077645', '_also_see', '00251809')], '00077645')
([('00632438', '¬_also_see', '02461723'), ('02461723', '¬_also_see', '01116380'), ('01116380', '¬_also_see', '01934554')], '02461723')
([('00834198', 'NO_OP', '00834198'), ('00834198', '¬_also_see', '00839619'), ('00839619', '_also_see', '00834198')], '00839619')
([('02169891', '_derivationally_related_form', '00882159'), ('00882159', '¬_derivationally_related_form', '02169891'), ('02169891', '¬_hypernym', '02189714')], '02189714')
([('00914421', '¬_derivationally_related_form', '04803430'), ('04803430', '_derivationally_related_form', '00914421'), ('00914421', '¬_also_see', '01749320')], '01749320')
([('02681795', '¬_hypernym', '02682424'), ('02682424', 'NO_OP', '02682424'), ('02682424', '¬_also_see', '02681795')], '02682424')
([('00900616', '_derivationally_related_form', '05171045'), ('05171045', '_hypernym', '05168261'), ('05168261', '_derivationally_related_form', '01275562')], '01275562')
([('00631391', '¬_also_see', '00021766'), ('00021766', '_also_see', '00631391'), ('00631391', '¬_also_see', '01878466')], '00021766')
([('01943406', '¬_also_see', '02498708'), ('02498708', '_also_see', '01943406'), ('01943406', '¬_also_see', '01430111')], '01430111')
([('01918984', '¬_also_see', '00174379'), ('00174379', '_also_see', '01918984'), ('01918984', '¬_also_see', '01454636')], '00174379')
([('01463965', '¬_also_see', '01459422'), ('01459422', '¬_also_see', '00732960'), ('00732960', '¬_also_see', '01459422')], '01459422')
([('00896555', '¬_derivationally_related_form', '04821802'), ('04821802', '_derivationally_related_form', '00896555'), ('00896555', '¬_also_see', '00103696')], '00103696')
([('01533120', '¬_also_see', '01509527'), ('01509527', '_also_see', '01533120'), ('01533120', '_derivationally_related_form', '05118251')], '01509527')
([('00976508', '¬_also_see', '01270175'), ('01270175', 'NO_OP', '01270175'), ('01270175', 'NO_OP', '01270175')], '01270175')
([('00995119', '¬_also_see', '00177186'), ('00177186', '¬_derivationally_related_form', '05161150'), ('05161150', 'NO_OP', '05161150')], '00177186')
([('01919931', '¬_also_see', '00298767'), ('00298767', 'NO_OP', '00298767'), ('00298767', 'NO_OP', '00298767')], '00298767')
([('02341266', '¬_also_see', '00227507'), ('00227507', 'NO_OP', '00227507'), ('00227507', '_also_see', '00504592')], '00227507')
([('01369663', 'NO_OP', '01369663'), ('01369663', '¬_also_see', '01226240'), ('01226240', '¬_also_see', '01588172')], '01226240')
([('02102484', '¬_also_see', '00190115'), ('00190115', '_also_see', '00570590'), ('00570590', '¬_derivationally_related_form', '05675130')], '00570590')
([('02274253', 'NO_OP', '02274253'), ('02274253', '¬_also_see', '01017738'), ('01017738', '_similar_to', '01020117')], '01017738')
([('00701479', '¬_also_see', '00430191'), ('00430191', '¬_also_see', '00533851'), ('00533851', '¬_also_see', '00430191')], '00430191')
([('01947266', '¬_also_see', '00849357'), ('00849357', 'NO_OP', '00849357'), ('00849357', '¬_also_see', '02270342')], '00849357')
([('00014742', '¬_hypernym', '00015806'), ('00015806', '_hypernym', '00014742'), ('00014742', '_also_see', '01177505')], '00015806')
([('01368192', '¬_also_see', '01364008'), ('01364008', '¬_member_meronym', '01363423'), ('01363423', '¬_member_meronym', '01360330')], '01364008')
([('01111016', '_derivationally_related_form', '01085937'), ('01085937', '¬_derivationally_related_form', '02099019'), ('02099019', 'NO_OP', '02099019')], '02099019')
([('00605516', '¬_also_see', '01688271'), ('01688271', '_also_see', '00644372'), ('00644372', '_also_see', '01866535')], '01688271')
([('00227507', 'NO_OP', '00227507'), ('00227507', '¬_also_see', '02341266'), ('02341266', 'NO_OP', '02341266')], '02341266')
([('02083615', '¬_also_see', '01872745'), ('01872745', '¬_derivationally_related_form', '05613962'), ('05613962', 'NO_OP', '05613962')], '01872745')
([('02273326', '¬_also_see', '00289365'), ('00289365', '_also_see', '00681094'), ('00681094', '¬_also_see', '00289365')], '00681094')
([('00133851', '¬_also_see', '01716491'), ('01716491', '¬_also_see', '00133851'), ('00133851', '¬_derivationally_related_form', '04996823')], '01716491')
([('02058794', '¬_also_see', '02523275'), ('02523275', '¬_also_see', '01886407'), ('01886407', '¬_also_see', '02094755')], '02523275')
([('00683185', '¬_also_see', '01880531'), ('01880531', 'NO_OP', '01880531'), ('01880531', '_also_see', '00683185')], '01880531')
([('02034828', '¬_also_see', '01129977'), ('01129977', '_derivationally_related_form', '04849241'), ('04849241', '¬_derivationally_related_form', '01129977')], '01129977')
([('00781168', 'NO_OP', '00781168'), ('00781168', '¬_also_see', '00701479'), ('00701479', '_also_see', '00781168')], '00701479')
([('00683185', '¬_derivationally_related_form', '00737536'), ('00737536', '_derivationally_related_form', '00683185'), ('00683185', '¬_also_see', '01880531')], '01880531')
([('01781478', '¬_also_see', '02513269'), ('02513269', 'NO_OP', '02513269'), ('02513269', '_also_see', '01548193')], '02513269')
([('02290998', '¬_also_see', '01754421'), ('01754421', '_also_see', '02290998'), ('02290998', '¬_also_see', '01754421')], '01754421')
([('02519991', '_derivationally_related_form', '00259643'), ('00259643', '¬_derivationally_related_form', '02672540'), ('02672540', '_hypernym', '02673134')], '02672540')
([('01640850', '_also_see', '00666058'), ('00666058', '_also_see', '01535709'), ('01535709', '_also_see', '01640850')], '01535709')
([('02270342', '¬_also_see', '00849357'), ('00849357', 'NO_OP', '00849357'), ('00849357', '_also_see', '02270342')], '00849357')
([('01180695', '¬_also_see', '02056880'), ('02056880', '_also_see', '01180695'), ('01180695', '¬_also_see', '02056880')], '02056880')
([('02519555', '¬_also_see', '00583990'), ('00583990', '¬_also_see', '00344125'), ('00344125', '_derivationally_related_form', '04733640')], '00583990')
([('01131043', '¬_also_see', '02513740'), ('02513740', '_also_see', '02035337'), ('02035337', '_also_see', '01131043')], '02035337')
([('02578235', '¬_also_see', '01781478'), ('01781478', '¬_also_see', '02578235'), ('02578235', '¬_also_see', '01781478')], '01781478')
([('01716227', '¬_also_see', '00828779'), ('00828779', '¬_derivationally_related_form', '04997472'), ('04997472', '¬_derivationally_related_form', '00828779')], '00828779')
([('02274253', '_also_see', '02559180'), ('02559180', '_also_see', '01172889'), ('01172889', '_also_see', '02559180')], '01172889')
([('01686439', '¬_also_see', '00643250'), ('00643250', '¬_derivationally_related_form', '01685313'), ('01685313', '¬_derivationally_related_form', '00908492')], '00643250')
([('00834198', '¬_also_see', '01824244'), ('01824244', '¬_also_see', '01001689'), ('01001689', '_also_see', '01824244')], '01824244')
([('00707366', 'NO_OP', '00707366'), ('00707366', '_also_see', '02321009'), ('02321009', '_also_see', '02037708')], '02037708')
([('02512922', 'NO_OP', '02512922'), ('02512922', '¬_also_see', '01740892'), ('01740892', '_also_see', '01922763')], '01740892')
([('00227507', '¬_also_see', '01123148'), ('01123148', '_derivationally_related_form', '05142180'), ('05142180', '_hypernym', '04723816')], '01123148')
([('02056880', '_also_see', '01180695'), ('01180695', '_also_see', '02577061'), ('02577061', '¬_also_see', '01180695')], '02577061')
([('02410393', '¬_also_see', '00986027'), ('00986027', 'NO_OP', '00986027'), ('00986027', '_also_see', '02043898')], '00986027')
([('00707366', '¬_also_see', '02321009'), ('02321009', '¬_also_see', '01825671'), ('01825671', '¬_also_see', '01824244')], '02321009')
([('00262792', '¬_also_see', '00065791'), ('00065791', '_derivationally_related_form', '00796315'), ('00796315', '_derivationally_related_form', '10072708')], '00065791')
([('01233347', '¬_also_see', '02310895'), ('02310895', '¬_also_see', '01233347'), ('01233347', '¬_also_see', '02310895')], '02310895')
([('01781478', '¬_also_see', '01783158'), ('01783158', '¬_also_see', '01781478'), ('01781478', 'NO_OP', '01781478')], '01783158')
([('01548193', '¬_also_see', '02036578'), ('02036578', '¬_also_see', '02513269'), ('02513269', '_also_see', '01781478')], '02036578')
([('01395617', '¬_also_see', '02318464'), ('02318464', 'NO_OP', '02318464'), ('02318464', 'NO_OP', '02318464')], '02318464')
([('02588099', '¬_also_see', '00904548'), ('00904548', '¬_also_see', '02588099'), ('02588099', '_derivationally_related_form', '04807776')], '00904548')
([('00583239', '¬_also_see', '00958880'), ('00958880', '¬_derivationally_related_form', '04876985'), ('04876985', 'NO_OP', '04876985')], '00958880')
([('01363613', '¬_also_see', '01148283'), ('01148283', '_hypernym', '01127623'), ('01127623', '_hypernym', '01127019')], '01148283')
([('01925372', '¬_also_see', '01943406'), ('01943406', '_also_see', '01925372'), ('01925372', '¬_also_see', '01943406')], '01943406')
([('02321009', '¬_also_see', '02037708'), ('02037708', '¬_also_see', '00707366'), ('00707366', '_also_see', '02037708')], '02037708')
([('02321009', '¬_also_see', '00707366'), ('00707366', '_also_see', '02037708'), ('02037708', '¬_also_see', '02321009')], '00707366')
([('02035337', '¬_also_see', '01131043'), ('01131043', '_derivationally_related_form', '04852088'), ('04852088', '¬_hypernym', '04842313')], '01131043')
([('02306087', '_hypernym', '02281093'), ('02281093', '¬_derivationally_related_form', '00811355'), ('00811355', '¬_derivationally_related_form', '02281093')], '02281093')
([('00644372', 'NO_OP', '00644372'), ('00644372', '¬_also_see', '01866535'), ('01866535', '_also_see', '00644372')], '01866535')
([('02064745', '¬_also_see', '00508192'), ('00508192', '¬_derivationally_related_form', '04714440'), ('04714440', '¬_derivationally_related_form', '00508192')], '00508192')
([('01309991', '¬_also_see', '01222360'), ('01222360', '_also_see', '02179279'), ('02179279', '_hypernym', '02176268')], '02179279')
([('00749230', '¬_also_see', '02174896'), ('02174896', '¬_also_see', '02166346'), ('02166346', '_also_see', '02244619')], '02174896')
([('00976508', '¬_also_see', '01270175'), ('01270175', '_also_see', '00976508'), ('00976508', '¬_also_see', '01270175')], '01270175')
([('01448100', '¬_hypernym', '01592456'), ('01592456', '¬_verb_group', '01592774'), ('01592774', '_verb_group', '01592456')], '01592456')
([('01430111', '¬_also_see', '01943406'), ('01943406', '_also_see', '00956131'), ('00956131', '_derivationally_related_form', '04850117')], '01943406')
([('01925372', '¬_also_see', '01430111'), ('01430111', '¬_derivationally_related_form', '04784664'), ('04784664', '_hypernym', '04723816')], '01430111')
([('01275562', '¬_also_see', '02500884'), ('02500884', '¬_derivationally_related_form', '02256109'), ('02256109', '_derivationally_related_form', '02500884')], '02500884')
([('02460502', '¬_also_see', '02179279'), ('02179279', '_also_see', '02460502'), ('02460502', '¬_also_see', '01115349')], '01115349')
([('01022064', '¬_also_see', '00843146'), ('00843146', '_also_see', '01022064'), ('01022064', 'NO_OP', '01022064')], '00843146')
([('01718867', '¬_derivationally_related_form', '05557839'), ('05557839', '_derivationally_related_form', '01718867'), ('01718867', '¬_also_see', '00612652')], '00612652')
([('00439588', '¬_also_see', '01336587'), ('01336587', '¬_derivationally_related_form', '05645597'), ('05645597', 'NO_OP', '05645597')], '01336587')
([('00094448', '_derivationally_related_form', '05005447'), ('05005447', '¬_derivationally_related_form', '00118066'), ('00118066', '¬_also_see', '00094448')], '00118066')
([('01613463', '¬_also_see', '02451951'), ('02451951', '¬_also_see', '01613463'), ('01613463', '¬_also_see', '01125429')], '02451951')
([('01749320', '¬_also_see', '00289365'), ('00289365', '_also_see', '00681094'), ('00681094', '¬_also_see', '02273326')], '00289365')
([('00666058', '¬_also_see', '01535709'), ('01535709', '¬_also_see', '01640850'), ('01640850', '¬_also_see', '01535709')], '01640850')
([('01076793', '_also_see', '02258600'), ('02258600', '¬_also_see', '01076793'), ('01076793', '¬_also_see', '02531422')], '02531422')
([('02560548', '¬_also_see', '02410393'), ('02410393', '¬_also_see', '02560548'), ('02560548', '¬_also_see', '02410393')], '02410393')
([('02271544', 'NO_OP', '02271544'), ('02271544', '¬_also_see', '02578235'), ('02578235', '_derivationally_related_form', '00754118')], '02578235')
([('02318464', '¬_also_see', '01395617'), ('01395617', 'NO_OP', '01395617'), ('01395617', '¬_also_see', '02318464')], '01395617')
([('01256332', '¬_also_see', '01725712'), ('01725712', '_also_see', '01256332'), ('01256332', 'NO_OP', '01256332')], '01725712')
([('02564986', '¬_also_see', '01930512'), ('01930512', '¬_also_see', '02564986'), ('02564986', '¬_derivationally_related_form', '04644512')], '01930512')
([('01824244', 'NO_OP', '01824244'), ('01824244', '¬_also_see', '01825671'), ('01825671', '¬_derivationally_related_form', '05190804')], '01825671')
([('01227137', '¬_also_see', '01589217'), ('01589217', '_also_see', '00904548'), ('00904548', '_also_see', '01589217')], '01589217')
([('02321009', '¬_also_see', '00707366'), ('00707366', '_also_see', '02037708'), ('02037708', '_also_see', '00707366')], '00707366')
([('01476685', '_derivationally_related_form', '05008227'), ('05008227', '_derivationally_related_form', '01483324'), ('01483324', '¬_derivationally_related_form', '05008227')], '01483324')
([('02058794', '¬_also_see', '02523275'), ('02523275', 'NO_OP', '02523275'), ('02523275', 'NO_OP', '02523275')], '02523275')
([('01548193', '¬_also_see', '02513269'), ('02513269', '_also_see', '01548193'), ('01548193', 'NO_OP', '01548193')], '02513269')
([('00077645', '¬_also_see', '00264776'), ('00264776', 'NO_OP', '00264776'), ('00264776', '_also_see', '01589217')], '00264776')
([('01180695', '_also_see', '02056880'), ('02056880', 'NO_OP', '02056880'), ('02056880', '¬_also_see', '02577061')], '02577061')
([('01746605', '¬_also_see', '02515341'), ('02515341', '¬_also_see', '01746605'), ('01746605', '_derivationally_related_form', '05017230')], '02515341')
([('00570590', '¬_also_see', '02102484'), ('02102484', '_also_see', '00570590'), ('00570590', 'NO_OP', '00570590')], '02102484')
