WN18RR, _has_part_WN18_generic_PPO_simple_embedding_100
([('13652994', '_hypernym', '13603305'), ('13603305', '¬_hypernym', '13650921'), ('13650921', '_has_part', '13650447')], '13650447')
([('05219923', '_has_part', '05514410'), ('05514410', '¬_has_part', '05513529'), ('05513529', '_has_part', '05457973')], '05513529')
([('13621190', '_hypernym', '13615557'), ('13615557', '¬_hypernym', '13621011'), ('13621011', '_hypernym', '13615557')], '13621011')
([('13516597', '_has_part', '13504739'), ('13504739', '¬_has_part', '13512725'), ('13512725', '_has_part', '13504497')], '13504497')
([('09292545', '¬_has_part', '09211266'), ('09211266', '_has_part', '09211735'), ('09211735', '¬_has_part', '09211266')], '09211735')
([('03016953', '_hypernym', '03015254'), ('03015254', '_has_part', '03233905'), ('03233905', '_has_part', '03682487')], '03233905')
([('13629676', 'NO_OP', '13629676'), ('13629676', '_hypernym', '13601596'), ('13601596', '¬_hypernym', '13628955')], '13628955')
([('13611207', '_hypernym', '13600097'), ('13600097', '¬_hypernym', '13611567'), ('13611567', 'NO_OP', '13611567')], '13611567')
([('06431496', '_synset_domain_topic_of', '06236802'), ('06236802', '¬_synset_domain_topic_of', '06431156'), ('06431156', '_instance_hypernym', '06429590')], '06431156')
([('15214419', '¬_has_part', '15177866'), ('15177866', '_synset_domain_topic_of', '06232880'), ('06232880', '¬_synset_domain_topic_of', '15161872')], '15161872')
([('07663592', '_has_part', '07656077'), ('07656077', '¬_hypernym', '07658814'), ('07658814', '¬_has_part', '07663592')], '07658814')
([('15256915', '_has_part', '15258694'), ('15258694', '_hypernym', '05867413'), ('05867413', '¬_hypernym', '15257829')], '15257829')
([('07663592', '_has_part', '07656077'), ('07656077', '¬_hypernym', '07658814'), ('07658814', '_hypernym', '07656077')], '07658814')
([('13622769', 'NO_OP', '13622769'), ('13622769', '_hypernym', '13615557'), ('13615557', '¬_hypernym', '13622209')], '13622209')
([('13632007', '_hypernym', '13601596'), ('13601596', '¬_hypernym', '13630707'), ('13630707', '¬_has_part', '13631355')], '13631355')
([('09235469', 'NO_OP', '09235469'), ('09235469', '¬_has_part', '09211266'), ('09211266', '_has_part', '09235244')], '09235244')
([('02687992', '¬_hypernym', '02693070'), ('02693070', '_has_part', '04120842'), ('04120842', '¬_has_part', '02693070')], '04120842')
([('00539951', '_has_part', '00541035'), ('00541035', '_hypernym', '00539121'), ('00539121', '¬_hypernym', '00540895')], '00540895')
([('03074855', '_derivationally_related_form', '00038365'), ('00038365', '_derivationally_related_form', '03075097'), ('03075097', '_has_part', '04452848')], '04452848')
([('08906374', '_has_part', '09338712'), ('09338712', '¬_has_part', '09303647'), ('09303647', '_has_part', '09277010')], '09303647')
([('08820121', '_has_part', '08823968'), ('08823968', '_instance_hypernym', '08821885'), ('08821885', '¬_instance_hypernym', '08827126')], '08827126')
([('08816969', '¬_has_part', '08816236'), ('08816236', '_has_part', '08817418'), ('08817418', '¬_has_part', '08816969')], '08817418')
([('07052291', '_hypernym', '06387980'), ('06387980', '¬_hypernym', '07012534'), ('07012534', 'NO_OP', '07012534')], '07012534')
([('08847694', '_has_part', '08993288'), ('08993288', '_has_part', '08995515'), ('08995515', '¬_has_part', '08847694')], '08995515')
([('05569053', '_hypernym', '05474346'), ('05474346', '¬_hypernym', '05475134'), ('05475134', '¬_hypernym', '05365633')], '05365633')
([('05989479', '¬_derivationally_related_form', '10706812'), ('10706812', '¬_derivationally_related_form', '05888929'), ('05888929', '¬_has_part', '05989479')], '05888929')
([('04538552', '_hypernym', '03525827'), ('03525827', '¬_hypernym', '03594277'), ('03594277', 'NO_OP', '03594277')], '03594277')
([('13512725', '_hypernym', '13444703'), ('13444703', '¬_hypernym', '13516597'), ('13516597', '_has_part', '13504497')], '13504497')
([('05513529', '_has_part', '05521111'), ('05521111', '¬_has_part', '05514410'), ('05514410', '¬_hypernym', '05263732')], '05514410')
([('05509452', '_has_part', '05511061'), ('05511061', '_has_part', '05512835'), ('05512835', '¬_has_part', '05511061')], '05512835')
([('13722340', '_hypernym', '13716878'), ('13716878', '¬_hypernym', '13722060'), ('13722060', '¬_has_part', '13722340')], '13722060')
([('08499057', '_hypernym', '08630039'), ('08630039', '¬_hypernym', '08588916'), ('08588916', 'NO_OP', '08588916')], '08588916')
([('08993288', 'NO_OP', '08993288'), ('08993288', '_has_part', '08994090'), ('08994090', '¬_has_part', '08995515')], '08995515')
([('02807731', '¬_derivationally_related_form', '00037919'), ('00037919', '¬_derivationally_related_form', '02808440'), ('02808440', '¬_derivationally_related_form', '00037919')], '02808440')
([('13659162', 'NO_OP', '13659162'), ('13659162', '_hypernym', '13649268'), ('13649268', '¬_hypernym', '13658998')], '13658998')
([('02865665', '_hypernym', '04153751'), ('04153751', '_has_part', '03501288'), ('03501288', 'NO_OP', '03501288')], '03501288')
([('13630707', '_hypernym', '13601596'), ('13601596', '¬_hypernym', '13630036'), ('13630036', '¬_has_part', '13630707')], '13630036')
([('09207288', '_has_part', '09020961'), ('09020961', '_instance_hypernym', '08700255'), ('08700255', '¬_instance_hypernym', '08723006')], '08723006')
([('08472890', '¬_hypernym', '08473482'), ('08473482', '¬_derivationally_related_form', '10720964'), ('10720964', '_derivationally_related_form', '08233056')], '08233056')
([('08521267', '_has_part', '08520401'), ('08520401', '¬_hypernym', '08600760'), ('08600760', 'NO_OP', '08600760')], '08600760')
([('03852688', '_has_part', '03838298'), ('03838298', '_hypernym', '03656484'), ('03656484', '¬_hypernym', '03309465')], '03309465')
([('05219724', 'NO_OP', '05219724'), ('05219724', '_has_part', '05514905'), ('05514905', '¬_has_part', '05513807')], '05513807')
([('02862048', '_has_part', '03325288'), ('03325288', '_hypernym', '02740764'), ('02740764', '¬_hypernym', '04114069')], '04114069')
([('09053019', '_has_part', '09138935'), ('09138935', '_has_part', '09320985'), ('09320985', '¬_has_part', '09129442')], '09129442')
([('13629132', 'NO_OP', '13629132'), ('13629132', '_hypernym', '13601596'), ('13601596', '¬_hypernym', '13628419')], '13628419')
([('00539951', '_hypernym', '00539121'), ('00539121', 'NO_OP', '00539121'), ('00539121', '¬_hypernym', '00540895')], '00540895')
([('09236423', '¬_has_part', '08813978'), ('08813978', '_has_part', '09460888'), ('09460888', '¬_has_part', '09236423')], '09460888')
([('07644382', 'NO_OP', '07644382'), ('07644382', '_has_part', '07648267'), ('07648267', '_has_part', '07650637')], '07650637')
([('08921850', '_has_part', '08923884'), ('08923884', '¬_has_part', '08920924'), ('08920924', '_has_part', '08924023')], '08924023')
([('09049599', '_has_part', '09103943'), ('09103943', '_has_part', '09459557'), ('09459557', '¬_has_part', '09053185')], '09053185')
([('13652994', '_hypernym', '13603305'), ('13603305', '¬_hypernym', '13650921'), ('13650921', '_has_part', '13650447')], '13650447')
([('13624705', 'NO_OP', '13624705'), ('13624705', '_hypernym', '13616054'), ('13616054', '¬_hypernym', '13624509')], '13624509')
([('09070793', '_has_part', '04580777'), ('04580777', '_instance_hypernym', '03449564'), ('03449564', '¬_instance_hypernym', '02956500')], '02956500')
([('15248020', '¬_has_part', '15243730'), ('15243730', '_hypernym', '15116283'), ('15116283', '¬_hypernym', '15247518')], '15247518')
([('05890963', '_hypernym', '05890249'), ('05890249', '¬_hypernym', '05891232'), ('05891232', '¬_has_part', '05890963')], '05891232')
([('08082236', '_derivationally_related_form', '09678009'), ('09678009', 'NO_OP', '09678009'), ('09678009', '¬_member_meronym', '08082602')], '08082602')
([('11953339', '_has_part', '07731767'), ('07731767', '_hypernym', '07731587'), ('07731587', '_hypernym', '07723330')], '07731587')
([('02687992', '¬_hypernym', '02693070'), ('02693070', '_has_part', '04120842'), ('04120842', '_hypernym', '03900509')], '04120842')
([('13619920', '_hypernym', '13615557'), ('13615557', '¬_hypernym', '13622209'), ('13622209', '¬_has_part', '13619920')], '13622209')
([('08913434', '_has_part', '08918944'), ('08918944', '¬_has_part', '08916316'), ('08916316', '_has_part', '08917503')], '08917503')
([('09211266', '_has_part', '09211735'), ('09211735', '¬_has_part', '08831004'), ('08831004', '_member_of_domain_region', '02871963')], '08831004')
([('06449735', '_has_part', '06451891'), ('06451891', 'NO_OP', '06451891'), ('06451891', '_has_part', '06432715')], '06432715')
([('02672831', '_hypernym', '03614532'), ('03614532', '¬_hypernym', '03854065'), ('03854065', '_has_part', '03928814')], '03928814')
([('03446528', '_has_part', '02920369'), ('02920369', '_hypernym', '03501152'), ('03501152', '¬_has_part', '03446528')], '03501152')
([('06461077', '_has_part', '06460524'), ('06460524', '_instance_hypernym', '06394865'), ('06394865', '¬_instance_hypernym', '06437824')], '06437824')
([('05524615', '¬_has_part', '05513807'), ('05513807', '_has_part', '05526175'), ('05526175', '¬_has_part', '05527216')], '05526175')
([('05989479', '_derivationally_related_form', '10706812'), ('10706812', '¬_derivationally_related_form', '05888929'), ('05888929', '¬_has_part', '05989479')], '05888929')
([('04540761', '_has_part', '02714535'), ('02714535', '¬_has_part', '04328329'), ('04328329', '_has_part', '02984937')], '02984937')
([('08551420', '_hypernym', '08630985'), ('08630985', '¬_hypernym', '08551628'), ('08551628', '_hypernym', '08630985')], '08551628')
([('07461050', 'NO_OP', '07461050'), ('07461050', '_hypernym', '00450700'), ('00450700', '¬_hypernym', '00288000')], '00288000')
([('04546855', '_has_part', '02734217'), ('02734217', '_hypernym', '03290771'), ('03290771', '¬_hypernym', '03224032')], '03224032')
([('00490569', '_has_part', '06737112'), ('06737112', '¬_hypernym', '06737394'), ('06737394', '_hypernym', '06737112')], '06737394')
([('08082236', '_derivationally_related_form', '09678009'), ('09678009', '¬_member_meronym', '08082602'), ('08082602', '¬_has_part', '08082236')], '08082602')
([('04538552', 'NO_OP', '04538552'), ('04538552', '_hypernym', '03525827'), ('03525827', '¬_hypernym', '03594277')], '03594277')
([('05499542', '_has_part', '05498048'), ('05498048', '_hypernym', '05497363'), ('05497363', '¬_hypernym', '05497741')], '05497741')
([('15128711', '_instance_hypernym', '15243730'), ('15243730', 'NO_OP', '15243730'), ('15243730', '¬_instance_hypernym', '15129220')], '15129220')
([('08953151', '¬_derivationally_related_form', '09714120'), ('09714120', 'NO_OP', '09714120'), ('09714120', '¬_derivationally_related_form', '08953324')], '08953324')
([('08800676', '_member_meronym', '09696124'), ('09696124', 'NO_OP', '09696124'), ('09696124', '¬_member_meronym', '08801099')], '08801099')
([('05510702', '¬_hypernym', '05300507'), ('05300507', '_has_part', '05320899'), ('05320899', '_hypernym', '05299178')], '05299178')
([('05556943', '_derivationally_related_form', '02934594'), ('02934594', '_derivationally_related_form', '05558345'), ('05558345', '¬_derivationally_related_form', '02934594')], '05558345')
([('08916316', '_member_of_domain_region', '08916832'), ('08916832', '_member_of_domain_region', '08917503'), ('08917503', '_instance_hypernym', '08574314')], '08917503')
([('00490569', '_has_part', '06737112'), ('06737112', '¬_hypernym', '06737394'), ('06737394', '¬_derivationally_related_form', '02300549')], '06737394')
([('00529224', '_hypernym', '00428270'), ('00428270', '¬_hypernym', '00526259'), ('00526259', 'NO_OP', '00526259')], '00526259')
([('06461077', '_has_part', '06460295'), ('06460295', '_instance_hypernym', '06394865'), ('06394865', '¬_instance_hypernym', '06437308')], '06437308')
([('08913434', '_has_part', '09038990'), ('09038990', '¬_has_part', '09033333'), ('09033333', '_has_part', '09173023')], '09173023')
([('14399116', '_derivationally_related_form', '03054551'), ('03054551', 'NO_OP', '03054551'), ('03054551', '_derivationally_related_form', '14545045')], '14545045')
([('13727209', '_hypernym', '13609507'), ('13609507', '¬_hypernym', '13726947'), ('13726947', 'NO_OP', '13726947')], '13726947')
([('13723712', '_hypernym', '13717155'), ('13717155', '¬_hypernym', '13723577'), ('13723577', '¬_has_part', '13723712')], '13723577')
([('09029457', '_has_part', '09171674'), ('09171674', '_instance_hypernym', '08505573'), ('08505573', '¬_instance_hypernym', '09170788')], '09170788')
([('03467984', '_has_part', '03469493'), ('03469493', '_hypernym', '02677718'), ('02677718', '¬_hypernym', '03469493')], '02677718')
([('15279596', '_hypernym', '15286249'), ('15286249', '¬_hypernym', '15279104'), ('15279104', 'NO_OP', '15279104')], '15279104')
([('08890097', '_member_meronym', '09730533'), ('09730533', '¬_hypernym', '10174695'), ('10174695', '¬_derivationally_related_form', '08891595')], '08891595')
([('03446528', '_has_part', '02920369'), ('02920369', '_hypernym', '03501152'), ('03501152', 'NO_OP', '03501152')], '03501152')
([('09211266', '_has_part', '09292545'), ('09292545', '_has_part', '09211735'), ('09211735', '¬_has_part', '09211266')], '09211735')
([('00470966', '¬_synset_domain_topic_of', '00471277'), ('00471277', '_synset_domain_topic_of', '00470966'), ('00470966', '_hypernym', '00468480')], '00471277')
([('15203565', '_has_part', '15225249'), ('15225249', '¬_hypernym', '15225929'), ('15225929', '_hypernym', '15225249')], '15225929')
([('04538552', '_hypernym', '03525827'), ('03525827', 'NO_OP', '03525827'), ('03525827', '¬_hypernym', '03594277')], '03594277')
([('05427946', '_hypernym', '05303402'), ('05303402', '¬_hypernym', '05428136'), ('05428136', 'NO_OP', '05428136')], '05428136')
([('15254550', '_has_part', '15231765'), ('15231765', '_synset_domain_topic_of', '06144081'), ('06144081', '¬_synset_domain_topic_of', '15231415')], '15231415')
([('02775483', '_hypernym', '03945615'), ('03945615', '¬_hypernym', '03006626'), ('03006626', '¬_derivationally_related_form', '01049737')], '03006626')
([('13721529', 'NO_OP', '13721529'), ('13721529', '_hypernym', '13716084'), ('13716084', '¬_hypernym', '13721177')], '13721177')
([('03654576', '_hypernym', '03050026'), ('03050026', '¬_hypernym', '04236377'), ('04236377', '_has_part', '03145843')], '03145843')
([('09207288', '_has_part', '09019726'), ('09019726', '_instance_hypernym', '08700255'), ('08700255', 'NO_OP', '08700255')], '08700255')
([('08639058', '_has_part', '03638321'), ('03638321', 'NO_OP', '03638321'), ('03638321', '¬_hypernym', '03216828')], '03216828')
([('08843215', '_has_part', '08964288'), ('08964288', '¬_has_part', '08964099'), ('08964099', '_has_part', '08964474')], '08964099')
([('13720852', '_hypernym', '13716084'), ('13716084', '¬_hypernym', '13720096'), ('13720096', '¬_has_part', '13720600')], '13720600')
([('03030035', '_hypernym', '04103491'), ('04103491', '_hypernym', '04442831'), ('04442831', '¬_hypernym', '03338009')], '03338009')
([('01960459', '¬_derivationally_related_form', '01383511'), ('01383511', '_derivationally_related_form', '07786164'), ('07786164', 'NO_OP', '07786164')], '07786164')
([('09050730', 'NO_OP', '09050730'), ('09050730', '_has_part', '09137869'), ('09137869', '¬_has_part', '09052835')], '09052835')
([('15279957', '_hypernym', '15286249'), ('15286249', '¬_hypernym', '15279596'), ('15279596', '¬_has_part', '15279957')], '15279596')
([('03494706', '_hypernym', '04295081'), ('04295081', '¬_hypernym', '02844714'), ('02844714', '¬_has_part', '02900160')], '02900160')
([('15256915', '_has_part', '15257829'), ('15257829', '_hypernym', '05867413'), ('05867413', '¬_hypernym', '15258450')], '15258450')
([('09057311', '_has_part', '09250165'), ('09250165', '¬_has_part', '09114696'), ('09114696', '_has_part', '09288946')], '09288946')
([('13724474', 'NO_OP', '13724474'), ('13724474', '_hypernym', '13717155'), ('13717155', '¬_hypernym', '13724350')], '13724350')
([('06536227', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06535222'), ('06535222', '_hypernym', '08453464')], '06535222')
([('09307902', '_has_part', '09225146'), ('09225146', '¬_hypernym', '09426788'), ('09426788', '¬_instance_hypernym', '09350045')], '09426788')
([('13624190', '_hypernym', '13616054'), ('13616054', '¬_hypernym', '13624026'), ('13624026', '_has_part', '13623856')], '13624026')
([('03400231', '_hypernym', '03880531'), ('03880531', '¬_hypernym', '04138977'), ('04138977', '_has_part', '03485997')], '03485997')
([('09304164', '_has_part', '09459114'), ('09459114', '¬_has_part', '08975902'), ('08975902', '_has_part', '09325530')], '09325530')
([('05586446', '_has_part', '05593017'), ('05593017', '_hypernym', '05275651'), ('05275651', '_hypernym', '05269901')], '05269901')
([('08900535', '_has_part', '09396275'), ('09396275', 'NO_OP', '09396275'), ('09396275', '¬_has_part', '09458587')], '09458587')
([('08906374', '_has_part', '09266453'), ('09266453', 'NO_OP', '09266453'), ('09266453', '¬_has_part', '09303647')], '09303647')
([('15126931', '_has_part', '15127982'), ('15127982', '_instance_hypernym', '15247518'), ('15247518', '¬_instance_hypernym', '15127307')], '15127307')
([('15174218', '_has_part', '15209706'), ('15209706', '¬_hypernym', '15212455'), ('15212455', '¬_has_part', '15174218')], '15212455')
([('08900535', '_has_part', '09303647'), ('09303647', '_has_part', '09365128'), ('09365128', '_instance_hypernym', '09360122')], '09365128')
([('05499542', '_has_part', '05498048'), ('05498048', '_hypernym', '05497363'), ('05497363', '¬_hypernym', '05497741')], '05497741')
([('13631355', '_hypernym', '13601596'), ('13601596', '¬_hypernym', '13630707'), ('13630707', '_hypernym', '13601596')], '13630707')
([('09192280', 'NO_OP', '09192280'), ('09192280', '¬_has_part', '09055015'), ('09055015', '_has_part', '09349425')], '09349425')
([('15121406', '_has_part', '15254028'), ('15254028', '¬_instance_hypernym', '15259812'), ('15259812', '_instance_hypernym', '15254028')], '15259812')
([('04170515', '_hypernym', '04304375'), ('04304375', 'NO_OP', '04304375'), ('04304375', '_hypernym', '03273061')], '03273061')
([('03569964', '_has_part', '03997027'), ('03997027', '_hypernym', '03315023'), ('03315023', '¬_hypernym', '04562658')], '04562658')
([('02958343', '_has_part', '04294614'), ('04294614', '¬_has_part', '04490091'), ('04490091', '_has_part', '02918595')], '02918595')
([('13720600', '¬_has_part', '13720852'), ('13720852', '_has_part', '13720096'), ('13720096', '_hypernym', '13716084')], '13720096')
([('00973077', '_has_part', '01237167'), ('01237167', '_hypernym', '00964343'), ('00964343', '_synset_domain_topic_of', '08199025')], '00964343')
([('09440400', '_has_part', '09160295'), ('09160295', '_instance_hypernym', '08702402'), ('08702402', '¬_instance_hypernym', '08720481')], '08720481')
([('07461050', 'NO_OP', '07461050'), ('07461050', '_hypernym', '00450700'), ('00450700', '¬_hypernym', '00288000')], '00288000')
([('03236423', '¬_derivationally_related_form', '01244516'), ('01244516', 'NO_OP', '01244516'), ('01244516', '¬_derivationally_related_form', '03236217')], '03236217')
([('00550771', '¬_hypernym', '00100253'), ('00100253', '_hypernym', '06157326'), ('06157326', '¬_hypernym', '00548326')], '00548326')
([('08747054', '¬_has_part', '08709038'), ('08709038', '_has_part', '08847268'), ('08847268', 'NO_OP', '08847268')], '08847268')
([('04295881', '_has_part', '04434285'), ('04434285', '¬_hypernym', '04300741'), ('04300741', '¬_has_part', '02782778')], '04300741')
([('08852843', '¬_member_meronym', '08176077'), ('08176077', '_member_meronym', '08776687'), ('08776687', '_has_part', '09196611')], '09196611')
([('09370773', '_instance_hypernym', '09475292'), ('09475292', '¬_instance_hypernym', '09232165'), ('09232165', 'NO_OP', '09232165')], '09232165')
([('05511061', '¬_has_part', '05509452'), ('05509452', '_has_part', '05513020'), ('05513020', '¬_has_part', '05526384')], '05513020')
([('08082236', '¬_derivationally_related_form', '09678009'), ('09678009', '¬_member_meronym', '08082602'), ('08082602', '¬_hypernym', '08087570')], '08082602')
([('01986806', '_hypernym', '01976146'), ('01976146', '¬_hypernym', '01982650'), ('01982650', '_has_part', '02585446')], '02585446')
([('02430045', '_has_part', '02158739'), ('02158739', '_hypernym', '02157557'), ('02157557', '¬_hypernym', '02158846')], '02158846')
([('05513807', '_has_part', '05526175'), ('05526175', '¬_has_part', '05524615'), ('05524615', '¬_hypernym', '05525100')], '05524615')
([('13611207', '_hypernym', '13600097'), ('13600097', '¬_hypernym', '13611567'), ('13611567', '¬_has_part', '13611207')], '13611567')
([('01960459', 'NO_OP', '01960459'), ('01960459', '¬_derivationally_related_form', '01383511'), ('01383511', '_derivationally_related_form', '07786164')], '07786164')
([('09275473', '_has_part', '09031653'), ('09031653', '_has_part', '09349192'), ('09349192', '¬_has_part', '08801678')], '08801678')
([('09196611', '_has_part', '09341673'), ('09341673', '¬_has_part', '08711974'), ('08711974', '_has_part', '09463721')], '09463721')
([('03376595', '_hypernym', '03001627'), ('03001627', '¬_hypernym', '04331277'), ('04331277', '_has_part', '04119892')], '04119892')
([('09152944', '_has_part', '08564739'), ('08564739', '¬_has_part', '09133010'), ('09133010', '_has_part', '09438554')], '09438554')
([('08801678', '_member_of_domain_region', '08804962'), ('08804962', 'NO_OP', '08804962'), ('08804962', '¬_member_of_domain_region', '08801678')], '08804962')
([('05289297', '¬_hypernym', '05289861'), ('05289861', '_has_part', '05459769'), ('05459769', '_hypernym', '05459232')], '05459232')
([('09079153', '_has_part', '09079505'), ('09079505', '_instance_hypernym', '09316454'), ('09316454', '¬_instance_hypernym', '09080554')], '09080554')
([('13659760', '_hypernym', '13649268'), ('13649268', 'NO_OP', '13649268'), ('13649268', '¬_hypernym', '13659604')], '13659604')
([('03016953', '_hypernym', '03015254'), ('03015254', '_has_part', '03233905'), ('03233905', '_derivationally_related_form', '01995211')], '03233905')
([('13720852', '_has_part', '13720600'), ('13720600', '_has_part', '13720096'), ('13720096', '¬_has_part', '13720600')], '13720096')
([('08953151', '¬_derivationally_related_form', '09714120'), ('09714120', '_derivationally_related_form', '08953324'), ('08953324', '¬_has_part', '08953151')], '08953324')
([('04041544', '¬_derivationally_related_form', '01007495'), ('01007495', '_derivationally_related_form', '04043733'), ('04043733', '_has_part', '03181501')], '04043733')
([('15254550', '_has_part', '15231765'), ('15231765', '_synset_domain_topic_of', '06144081'), ('06144081', '¬_synset_domain_topic_of', '15231415')], '15231415')
([('07194950', '¬_derivationally_related_form', '00787049'), ('00787049', '¬_derivationally_related_form', '07195630'), ('07195630', '¬_has_part', '07194950')], '07195630')
([('02811936', 'NO_OP', '02811936'), ('02811936', '_derivationally_related_form', '02335629'), ('02335629', '_derivationally_related_form', '03130340')], '03130340')
([('03494706', '_hypernym', '04295081'), ('04295081', '¬_hypernym', '03031756'), ('03031756', '_hypernym', '04295081')], '03031756')
([('08953151', '_derivationally_related_form', '09714120'), ('09714120', '¬_derivationally_related_form', '08953324'), ('08953324', '_member_meronym', '09714120')], '08953324')
([('09055015', '_has_part', '09349425'), ('09349425', '¬_has_part', '09192280'), ('09192280', 'NO_OP', '09192280')], '09192280')
([('08967329', '_derivationally_related_form', '03084759'), ('03084759', '¬_derivationally_related_form', '08967484'), ('08967484', '_derivationally_related_form', '03084759')], '08967484')
([('03016953', 'NO_OP', '03016953'), ('03016953', '_hypernym', '03015254'), ('03015254', '_has_part', '03233905')], '03233905')
([('08906374', '_has_part', '09241047'), ('09241047', 'NO_OP', '09241047'), ('09241047', '¬_has_part', '09303647')], '09303647')
([('07461050', '_hypernym', '00450700'), ('00450700', 'NO_OP', '00450700'), ('00450700', '¬_hypernym', '00288000')], '00288000')
([('13629676', '_hypernym', '13601596'), ('13601596', '¬_hypernym', '13628955'), ('13628955', 'NO_OP', '13628955')], '13628955')
([('15121406', '_has_part', '15259812'), ('15259812', '_instance_hypernym', '15254028'), ('15254028', '¬_hypernym', '15253139')], '15253139')
([('09483129', '¬_has_part', '09167101'), ('09167101', '_has_part', '09471638'), ('09471638', '¬_has_part', '09167101')], '09471638')
([('08913434', 'NO_OP', '08913434'), ('08913434', '_has_part', '09039260'), ('09039260', '¬_has_part', '09038990')], '09038990')
([('05586446', '_has_part', '05274105'), ('05274105', 'NO_OP', '05274105'), ('05274105', '_hypernym', '05269901')], '05269901')
([('07663592', '_has_part', '07656077'), ('07656077', '¬_hypernym', '07658814'), ('07658814', 'NO_OP', '07658814')], '07658814')
