NELL-995, music_artist_genre_NELL_BASE_simple_embedding_150
([('concept_musicartist_allman_brothers', 'concept:musicartistgenre', 'concept_musicgenre_southern_rock'), ('concept_musicgenre_southern_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_grunge')], 'concept_musicgenre_rock')
([('concept_musicartist_modest_mouse', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_alice_cooper')], 'concept_musicgenre_rock')
([('concept_musicartist_bush', 'concept:musicartistgenre', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_prog')], 'concept_musicgenre_rock')
([('concept_musicartist_rush', 'concept:musicartistgenre', 'concept_musicgenre_progressive_rock'), ('concept_musicgenre_progressive_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_new_wave')], 'concept_musicgenre_rock')
([('concept_musicartist_r_e_m_', 'concept:musicartistgenre', 'concept_musicgenre_alternative'), ('concept_musicgenre_alternative', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_the_grateful_dead')], 'concept_musicgenre_rock')
([('concept_musicartist_eminem', 'concept:musicartistgenre', 'concept_musicgenre_rap'), ('concept_musicgenre_rap', '¬concept:musicartistgenre', 'concept_musicartist_public_enemy'), ('concept_musicartist_public_enemy', 'concept:musicartistgenre', 'concept_musicgenre_hip_hop')], 'concept_musicgenre_hip_hop')
([('concept_musicartist_helloween', 'concept:musicartistgenre', 'concept_musicgenre_power_metal'), ('concept_musicgenre_power_metal', 'NO_OP', 'concept_musicgenre_power_metal'), ('concept_musicgenre_power_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_beatles', 'concept:musicartistgenre', 'concept_musicgenre_blues'), ('concept_musicgenre_blues', '¬concept:musicartistgenre', 'concept_musicartist_zeppelin'), ('concept_musicartist_zeppelin', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_bad_brains', 'concept:musicartistgenre', 'concept_musicgenre_hardcore_punk'), ('concept_musicgenre_hardcore_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_anarchist_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_dream_theater', 'concept:musicartistgenre', 'concept_musicgenre_progressive_metal'), ('concept_musicgenre_progressive_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_classic_rock')], 'concept_musicgenre_metal')
([('concept_musicartist_blondie', 'concept:musicartistgenre', 'concept_musicgenre_wave'), ('concept_musicgenre_wave', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_new_wave'), ('concept_musicgenre_new_wave', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_fourplay', 'concept:musicartistgenre', 'concept_musicgenre_contemporary_jazz'), ('concept_musicgenre_contemporary_jazz', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_jazz'), ('concept_musicgenre_jazz', 'concept:atlocation', 'concept_county_salt_lake')], 'concept_musicgenre_jazz')
([('concept_musicartist_emperor', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_outkast', 'concept:musicartistgenre', 'concept_musicgenre_rap'), ('concept_musicgenre_rap', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hiphop'), ('concept_musicgenre_hiphop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rap')], 'concept_musicgenre_hiphop')
([('concept_musicartist_manowar', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_thrash_metal')], 'concept_musicgenre_heavy_metal')
([('concept_musicartist_dimmu_borgir', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hard_rock')], 'concept_musicgenre_metal')
([('concept_musicartist_decemberists', 'concept:musicartistgenre', 'concept_musicgenre_indie_rock'), ('concept_musicgenre_indie_rock', '¬concept:musicartistgenre', 'concept_musicartist_death_cab_for_cutie'), ('concept_musicartist_death_cab_for_cutie', 'concept:musicartistgenre', 'concept_musicgenre_indie')], 'concept_musicgenre_indie')
([('concept_musicartist_grateful_dead', 'concept:musicartistgenre', 'concept_musicgenre_psychedelic_rock'), ('concept_musicgenre_psychedelic_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_zepplin')], 'concept_musicgenre_rock')
([('concept_musicartist_journey', 'concept:musicartistgenre', 'concept_musicgenre_american'), ('concept_musicgenre_american', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_aerosmith', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop')], 'concept_musicgenre_rock')
([('concept_musicartist_hawkwind', 'concept:musicartistgenre', 'concept_musicgenre_space_rock'), ('concept_musicgenre_space_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_smashing_pumpkins')], 'concept_musicgenre_rock')
([('concept_musicartist_third_day', 'concept:musicartistgenre', 'concept_musicgenre_christian_rock'), ('concept_musicgenre_christian_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_synth_pop')], 'concept_musicgenre_rock')
([('concept_musicartist_die_toten_hosen', 'concept:musicartistgenre', 'concept_musicgenre_german_punk'), ('concept_musicgenre_german_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_punk')
([('concept_musicartist_cure', 'concept:musicartistgenre', 'concept_musicgenre_wave'), ('concept_musicgenre_wave', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_prog_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_hendrix', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_r_b')], 'concept_musicgenre_rock')
([('concept_musicartist_korn', 'concept:musicartistgenre', 'concept_musicgenre_nu_metal'), ('concept_musicgenre_nu_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_the_doors')], 'concept_musicgenre_rock')
([('concept_musicartist_stooges', 'concept:musicartistgenre', 'concept_musicgenre_proto_punk'), ('concept_musicgenre_proto_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_proto_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_immortal', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicartistgenre', 'concept_musicartist_emperor'), ('concept_musicartist_emperor', 'concept:musicartistgenre', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_camel', 'concept:musicartistgenre', 'concept_musicgenre_prog'), ('concept_musicgenre_prog', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_dark_funeral', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_sepultura')], 'concept_musicgenre_metal')
([('concept_musicartist_bathory', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_journey', 'concept:musicartistgenre', 'concept_musicgenre_aor'), ('concept_musicgenre_aor', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_american'), ('concept_musicgenre_american', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_zeppelin', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_manowar', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_shadows_fall')], 'concept_musicgenre_metal')
([('concept_musicartist_descendents', 'concept:musicartistgenre', 'concept_musicgenre_punk_rock'), ('concept_musicgenre_punk_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_american_punk'), ('concept_musicgenre_american_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_bush', 'concept:musicartistgenre', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', 'NO_OP', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_journey', 'concept:musicartistgenre', 'concept_musicgenre_aor'), ('concept_musicgenre_aor', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_glam_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_lynyrd_skynyrd', 'concept:musicartistgenre', 'concept_musicgenre_southern_rock'), ('concept_musicgenre_southern_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_art_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_die_toten_hosen', 'concept:musicartistgenre', 'concept_musicgenre_german_punk'), ('concept_musicgenre_german_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hardcore_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_green_day', 'concept:musicartistgenre', 'concept_musicgenre_pop_punk'), ('concept_musicgenre_pop_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_american'), ('concept_musicgenre_american', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_american')
([('concept_musicartist_fall_out_boy', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_surf'), ('concept_musicgenre_surf', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_dark_funeral', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_metal')
([('concept_musicartist_testament', 'concept:musicartistgenre', 'concept_musicgenre_thrash_metal'), ('concept_musicgenre_thrash_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'NO_OP', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_pavement', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_classic_pop')], 'concept_musicgenre_rock')
([('concept_musicartist_marilyn_manson', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_arctic_monkeys')], 'concept_musicgenre_rock')
([('concept_musicartist_immortal', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_sepultura')], 'concept_musicgenre_metal')
([('concept_musicartist_sex_pistols', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_post_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_nirvana', 'NO_OP', 'concept_musicartist_nirvana'), ('concept_musicartist_nirvana', 'concept:musicartistgenre', 'concept_musicgenre_seattle_grunge'), ('concept_musicgenre_seattle_grunge', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_grunge')], 'concept_musicgenre_grunge')
([('concept_musicartist_bush', 'concept:musicartistgenre', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', '¬concept:musicartistgenre', 'concept_musicartist_nirvana'), ('concept_musicartist_nirvana', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_white_stripes', '¬concept:musicianinmusicartist', 'concept_musician_meg_white'), ('concept_musician_meg_white', 'concept:musicianinmusicartist', 'concept_musicartist_the_white_stripes'), ('concept_musicartist_the_white_stripes', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_keane', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_the_cure')], 'concept_musicgenre_rock')
([('concept_musicartist_bathory', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_sepultura')], 'concept_musicgenre_metal')
([('concept_musicartist_dissection', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'NO_OP', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_slayer', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_the_eagles', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_surf')], 'concept_musicgenre_rock')
([('concept_musicartist_white_stripes', 'concept:musicartistgenre', 'concept_musicgenre_garage'), ('concept_musicgenre_garage', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_disco')], 'concept_musicgenre_rock')
([('concept_musicartist_mayhem', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'NO_OP', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_sex_pistols', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_prog_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_fourplay', 'concept:musicartistgenre', 'concept_musicgenre_contemporary_jazz'), ('concept_musicgenre_contemporary_jazz', 'NO_OP', 'concept_musicgenre_contemporary_jazz'), ('concept_musicgenre_contemporary_jazz', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_jazz')], 'concept_musicgenre_jazz')
([('concept_musicartist_death', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_nu_metal'), ('concept_musicgenre_nu_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_bathory', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_arcade_fire', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_david_bowie')], 'concept_musicgenre_rock')
([('concept_musicartist_metallica', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_progressive_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_satyricon', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_guns_n__roses', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_bathory', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_gamma_ray')], 'concept_musicgenre_metal')
([('concept_musicartist_bathory', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_mayhem', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_immortal', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_metal')
([('concept_musicartist_ramones', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_the_ramones'), ('concept_musicartist_the_ramones', 'concept:musicartistgenre', 'concept_musicgenre_punk_rock')], 'concept_musicgenre_punk_rock')
([('concept_musicartist_stooges', 'concept:musicartistgenre', 'concept_musicgenre_proto_punk'), ('concept_musicgenre_proto_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_garage'), ('concept_musicgenre_garage', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_bob_dylan', 'concept:musicartistgenre', 'concept_musicgenre_american_folk'), ('concept_musicgenre_american_folk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_band')], 'concept_musicgenre_rock')
([('concept_musicartist_metallica', '¬concept:musicianinmusicartist', 'concept_musician_dave_mustaine'), ('concept_musician_dave_mustaine', 'concept:musicianinmusicartist', 'concept_musicartist_megadeth'), ('concept_musicartist_megadeth', 'concept:musicartistgenre', 'concept_musicgenre_thrash_metal')], 'concept_musicgenre_thrash_metal')
([('concept_musicartist_devo', 'concept:musicartistgenre', 'concept_musicgenre_new_wave'), ('concept_musicgenre_new_wave', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_third_day', 'concept:musicartistgenre', 'concept_musicgenre_christian_rock'), ('concept_musicgenre_christian_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_grateful_dead')], 'concept_musicgenre_rock')
([('concept_musicartist_thin_lizzy', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_genesis')], 'concept_musicgenre_rock')
([('concept_musicartist_cure', 'concept:musicartistgenre', 'concept_musicgenre_wave'), ('concept_musicgenre_wave', 'NO_OP', 'concept_musicgenre_wave'), ('concept_musicgenre_wave', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_bad_brains', 'concept:musicartistgenre', 'concept_musicgenre_hardcore_punk'), ('concept_musicgenre_hardcore_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hardcore'), ('concept_musicgenre_hardcore', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_horror_punk')], 'concept_musicgenre_hardcore')
([('concept_musicartist_dimmu_borgir', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_classic_heavy_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_manowar', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_fall_out_boy', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_cradle_of_filth', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_power_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_crass', 'concept:musicartistgenre', 'concept_musicgenre_anarchist_punk'), ('concept_musicgenre_anarchist_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk_rock')], 'concept_musicgenre_punk')
([('concept_musicartist_hawkwind', 'concept:musicartistgenre', 'concept_musicgenre_space_rock'), ('concept_musicgenre_space_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_psychedelic_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_slayer', 'concept:musicartistgenre', 'concept_musicgenre_thrash_metal'), ('concept_musicgenre_thrash_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_thin_lizzy')], 'concept_musicgenre_metal')
([('concept_musicartist_green_day', 'concept:musicartistgenre', 'concept_musicgenre_pop_punk'), ('concept_musicgenre_pop_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_american'), ('concept_musicgenre_american', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_wilco', 'concept:musicartistgenre', 'concept_musicgenre_alt_country'), ('concept_musicgenre_alt_country', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_nu_metal')], 'concept_musicgenre_rock')
